command,text_orig,key,is_skippable,fit_mode,intro,volume,crossfade,delay,image,x,y,xScale,yScale,fadetime,time,name,a,r,g,b,block,xFrom,yFrom,xTo,yTo,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,duration,name2,focus,options,values,references,initr,Delay,option_number,index,text,jp_text,jp_name,text_match
header,,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,False
playmusic,,$escape_loop,,,$escape_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,False
background,,,,,,,,,bg_cher_1,0,20,1.1,1.1,1,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,False
delay,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,3,,,,False
character,,,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,,,,,,,0,4,,,,False
name,可恶......,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,,,,,0,5,可恶......,くそっ……,ドーベルマン,True
name,这里，究竟怎么了？,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,,,,,0,6,这里，究竟怎么了？,ここは、一体どうなっている？,ドーベルマン,True
blocker,,,,,,,,,,,,,,0.6,,,1,0,0,0,true,,,,,,,,,,,,,,,,,0,7,,,,False
character,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,8,,,,False
image,,,,,,,,,avg_2_2,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,0,9,,,,False
blocker,,,,,,,,,,,,,,0.6,,,0,,,,false,,,,,,,,,,,,,,,,,0,10,,,,False
imagetween,,,,,,,,,,,,,,,,,,,,,false,0,0,0,-20,1,1,1.1,1.1,15,,,,,,,,0,11,,,,False
name,这边的屋子，也都给我搜干净！,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,0,12,这边的屋子，也都给我搜干净！,こっちの家も、全部きれいに捜索しろ！,レユニオンメンバー,True
name,放开他......不！你们......,,,,,,,,,,,,,,,女性,,,,,,,,,,,,,,,,,,,,,,0,13,放开他......不！你们......,彼を離して……だめ！あなたたち……,女性,True
name,反抗？太迟了！可恨的切尔诺伯格人！,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,0,14,反抗？太迟了！可恨的切尔诺伯格人！,反抗か？もう遅い！憎きチェルノボーグ人め！,レユニオンメンバー,True
name,快跑！不要管我......孩子就......,,,,,,,,,,,,,,,男性,,,,,,,,,,,,,,,,,,,,,,0,15,快跑！不要管我......孩子就......,早く逃げろ！俺のことはいい……子供だけは……,男性,True
name,妈妈......妈妈......！,,,,,,,,,,,,,,,孩童,,,,,,,,,,,,,,,,,,,,,,0,16,妈妈......妈妈......！,お母さん……お母さん……！,子供,True
name,别管平民！先把阵线守住！这些面具混蛋，人实在是太多了！,,,,,,,,,,,,,,,乌萨斯军警,,,,,,,,,,,,,,,,,,,,,,0,17,别管平民！先把阵线守住！这些面具混蛋，人实在是太多了！,民間人は放っておけ！まずは陣地を守れ！この仮面ども、多すぎる！,ウルサス軍警,True
name,别让军警闲着！继续打！,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,0,18,别让军警闲着！继续打！,軍警に暇をやるな！続けて戦え！,レユニオンメンバー,True
name,增援怎么还没到！我们要......,,,,,,,,,,,,,,,乌萨斯军警,,,,,,,,,,,,,,,,,,,,,,0,19,增援怎么还没到！我们要......,援軍はまだ来ないのか！私たちは……,ウルサス軍警,True
name,上啊，上啊！！,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,0,20,上啊，上啊！！,かかれ、かかれ！！,レユニオンメンバー,True
blocker,,,,,,,,,,,,,,0.6,,,1,0,0,0,true,,,,,,,,,,,,,,,,,0,21,,,,False
