command,text_orig,key,is_skippable,fit_mode,image,fadetime,screenadapt,intro,volume,crossfade,delay,time,duration,xstrength,ystrength,vibrato,randomness,fadeout,block,name,a,r,g,b,afrom,rfrom,gfrom,bfrom,focus,options,values,references,name2,x,y,xScale,yScale,option_number,index,text,jp_text,jp_name,text_match
header,第一关（后）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,False
background,,,,,bg_cher_1,1,coverall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,False
playmusic,,$escape_loop,,,,,,$escape_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,False
delay,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,,,,False
camerashake,,,,,,,,,,,,,1.5,7,5,30,90,true,false,,,,,,,,,,,,,,,,,,,0,4,,,,False
character,,,,,,,,,,,,,,,,,,,,char_1002_nsabr_2,,,,,,,,,,,,,,,,,,0,5,,,,False
blocker,,,,,,0.1,,,,,,,,,,,,,true,,1,255,255,255,0,0,0,0,,,,,,,,,,0,6,,,,False
playsound,,$d_sp_ballista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,,,,False
blocker,,,,,,1.5,,,,,,,,,,,,,true,,0,,,,,,,,,,,,,,,,,0,8,,,,False
name,呃 ......,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,0,9,呃 ......,えっ……,レユニオンメンバー,True
name,你们不是......乌萨斯......人......,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,0,10,你们不是......乌萨斯......人......,あなたたちは……ウルサス……の人間じゃ……,レユニオンメンバー,True
character,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,,,,False
delay,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,,,,False
character,,,,,,,,,,,,,,,,,,,,char_013_riop,,,,,,,,,,,,,,,,,,0,13,,,,False
name,呼，呼......,,,,,,,,,,,,,,,,,,,近卫干员,,,,,,,,,,,,,,,,,,0,14,呼，呼......,はぁ、はぁ……,前衛オペレーター,True
character,,,,,,,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,,,0,15,,,,False
name,看来，他们没来得及联络同伙。,,,,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,0,16,看来，他们没来得及联络同伙。,どうやら、彼らは仲間に連絡する暇がなかったようね。,ドーベルマン,True
