command,text_orig,key,is_skippable,fit_mode,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,duration,xstrength,ystrength,vibrato,randomness,fadeout,block,a,r,g,b,name2,focus,index,text,jp_text,jp_name,text_match
header,第六关（后）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,0,,,,False
background,,,,,bg_cher_5,1,1,1,,,,,,,,,,,,,,,,,,,,1,,,,False
playmusic,,$m_bat_game02_loop,,,,,,,$m_bat_game02_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,,2,,,,False
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,,3,,,,False
character,,,,,,,,,,,,,,char_1507_Mephisto_1#4,,,,,,,,,,,,,,4,,,,False
name,这女人......怎么回事......,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,5,这女人......怎么回事......,この女……どうなっているんだ……,メフィスト,True
delay,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,6,,,,False
character,,,,,,,,,,,,,,char_148_nearl_1,,,,,,,,,,,,,,7,,,,False
name,————你。,,,,,,,,,,,,,临光,,,,,,,,,,,,,,8,————你。,―――お前だ。,リンコウ,True
name,制压切尔诺伯格军事据点的整合运动像机器一样高效——,,,,,,,,,,,,,临光,,,,,,,,,,,,,,9,制压切尔诺伯格军事据点的整合运动像机器一样高效——,チェルノボーグの軍事拠点を制圧する統合運動はまるで機械のように効率的だ――,リンコウ,True
name,而你领着的这批各个都像神经错乱的暴徒。,,,,,,,,,,,,,临光,,,,,,,,,,,,,,10,而你领着的这批各个都像神经错乱的暴徒。,だが、お前が率いるこの連中はみんな狂った暴徒のようだ。,リンコウ,True
name,屠杀，纵火，围猎......只不过是为了满足你自己残忍的趣味而已吧？,,,,,,,,,,,,,临光,,,,,,,,,,,,,,11,屠杀，纵火，围猎......只不过是为了满足你自己残忍的趣味而已吧？,虐殺、放火、狩り……全てはお前自身の残忍な趣味を満たすためだけだろう？,リンコウ,True
name,会在这时煽动如此不堪之事的人，没可能策划出足以击溃整座城市的方案。,,,,,,,,,,,,,临光,,,,,,,,,,,,,,12,会在这时煽动如此不堪之事的人，没可能策划出足以击溃整座城市的方案。,この期に及んでこんな酷いことを扇動する者が、都市全体を打倒するような計画を立てるとは思えない。,リンコウ,True
name,你的指挥官大概是命令你制造混乱，而你，顺应着自己低劣的品味肆意妄为。,,,,,,,,,,,,,临光,,,,,,,,,,,,,,13,你的指挥官大概是命令你制造混乱，而你，顺应着自己低劣的品味肆意妄为。,お前の指揮官は混乱を引き起こすよう命じたのだろうが、お前は自分の卑しい趣味のまま勝手に暴れているだけだ。,リンコウ,True
character,,,,,,,,,,,,,,char_1507_Mephisto_1#2,,,,,,,,,,,,,,14,,,,False
name,——,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,15,——,――,メフィスト,True
name,——浮士德。,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,16,——浮士德。,――ファウスト。,メフィスト,True
name,把她那张嘴给我打穿。,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,17,把她那张嘴给我打穿。,あいつのその口を撃ち抜け。,メフィスト,True
character,,,,,,,,,,,,,,char_1508_Faust_1#2,,,,,,,,,,,,,,18,,,,False
name,......,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,19,......,……,ファウスト,True
character,,,,,,,,,,,,,,char_148_nearl_1#4,,,,,,,,,,,,,,20,,,,False
name,！,,,,,,,,,,,,,临光,,,,,,,,,,,,,,21,！,！,リンコウ,True
camerashake,,,,,,,,,,,,,,,1,8,6,30,90,true,false,,,,,,,22,,,,False
blocker,,,,,,,,0.02,,,,,,,,,,,,,true,0.7,0.95,0.95,0.95,,,23,,,,False
playsound,,$d_sp_ballista,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,False
blocker,,,,,,,,0.25,,,,,,,,,,,,,true,0,0.95,0.95,0.95,,,25,,,,False
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,,26,,,,False
character,,,,,,,,,,,,,,char_148_nearl_1#3,,,,,,,,,,,,,,27,,,,False
name,咳，咳......,,,,,,,,,,,,,临光,,,,,,,,,,,,,,28,咳，咳......,ゲホッ、ゲホッ……,リンコウ,True
character,,,,,,,,,,,,,,char_002_amiya_1#7 ,,,,,,,,,,,,,,29,,,,False
