command,text_orig,key,is_skippable,fit_mode,intro,volume,crossfade,delay,a,r,g,b,fadetime,block,image,screenadapt,name,x,y,xScale,yScale,xFrom,yFrom,xTo,yTo,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,duration,name2,focus,time,index,text,jp_text,jp_name,text_match
header,第二关（前）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,False
playmusic,,$escape_loop,,,$escape_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,False
blocker,,,,,,,,,1,0,0,0,0.6,true,,,,,,,,,,,,,,,,,,,,2,,,,False
image,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,3,,,,False
background,,,,,,,,,,,,,1,,bg_cher_1,coverall,,,,,,,,,,,,,,,,,,4,,,,False
blocker,,,,,,,,,0,,,,0.6,false,,,,,,,,,,,,,,,,,,,,5,,,,False
character,,,,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,,6,,,,False
name,......这终归还是，太超乎我的想象了。,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,7,......这终归还是，太超乎我的想象了。,……やはりこれは、私の想像を遥かに超えている。,ドーベルマン,True
name,爆炸，骚乱，火光，巷战......,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,8,爆炸，骚乱，火光，巷战......,爆発、騒乱、火花、市街戦……,ドーベルマン,True
name,难道整个切尔诺伯格，都陷入了这种混乱吗？,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,9,难道整个切尔诺伯格，都陷入了这种混乱吗？,まさか、チェルノボーグ全体がこのような混乱に陥っているのか？,ドーベルマン,True
blocker,,,,,,,,,1,0,0,0,0.6,true,,,,,,,,,,,,,,,,,,,,10,,,,False
character,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,11,,,,False
image,,,,,,,,,,,,,0,,bg_0_tv,,,0,0,1,1,,,,,,,,,,,,,12,,,,False
blocker,,,,,,,,,0,,,,0.6,false,,,,,,,,,,,,,,,,,,,,13,,,,False
imagetween,,,,,,,,,,,,,,false,,,,,,,,0,0,0,-20,1,1,1.1,1.1,15,,,,14,,,,False
name,在切尔诺伯格军警的团结协作与迅速反应之下......,,,,,,,,,,,,,,,,电视主持人,,,,,,,,,,,,,,,,,15,在切尔诺伯格军警的团结协作与迅速反应之下......,チェルノボーグの軍警の団結と素早い対応のもと……,テレビ司会者,True
name,......情况已经被控制，大部分区域的意外事件已经被镇压。,,,,,,,,,,,,,,,,电视主持人,,,,,,,,,,,,,,,,,16,......情况已经被控制，大部分区域的意外事件已经被镇压。,……事態はすでに制御され、大部分の区域で予期せぬ事件は鎮圧されています。,テレビ司会者,True
name,目前，切尔诺伯格军警已经包围了盘踞在瓦舒克大道上的暴徒......,,,,,,,,,,,,,,,,电视主持人,,,,,,,,,,,,,,,,,17,目前，切尔诺伯格军警已经包围了盘踞在瓦舒克大道上的暴徒......,現在、チェルノボーグの軍警はワシュク大通りに拠点を置く暴徒たちを包囲しています……,テレビ司会者,True
name,可见，这一次无谋的袭击，将很快结束。,,,,,,,,,,,,,,,,电视主持人,,,,,,,,,,,,,,,,,18,可见，这一次无谋的袭击，将很快结束。,この無謀な襲撃も、間もなく終わることでしょう。,テレビ司会者,True
name,请各位不要惊慌，待在屋中，等待切尔诺伯格的又一场胜利......,,,,,,,,,,,,,,,,电视主持人,,,,,,,,,,,,,,,,,19,请各位不要惊慌，待在屋中，等待切尔诺伯格的又一场胜利......,皆様、慌てずに屋内でお待ちください。間もなくチェルノボーグの新たな勝利が訪れます……,テレビ司会者,True
name,乌萨斯的荣光保佑着陛下和他的人民！,,,,,,,,,,,,,,,,电视主持人,,,,,,,,,,,,,,,,,20,乌萨斯的荣光保佑着陛下和他的人民！,ウルサスの栄光が陛下とその民を守っています！,テレビ司会者,True
blocker,,,,,,,,,1,0,0,0,0.6,true,,,,,,,,,,,,,,,,,,,,21,,,,False
image,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,22,,,,False
background,,,,,,,,,,,,,1,,bg_cher_1,coverall,,,,,,,,,,,,,,,,,,23,,,,False
blocker,,,,,,,,,0,,,,0.6,false,,,,,,,,,,,,,,,,,,,,24,,,,False
character,,,,,,,,,,,,,,,,,char_1002_nsabr_2,,,,,,,,,,,,,,,,,25,,,,False
name,......,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,26,......,......,レユニオンメンバー,True
name,可恶，他们，他们......那些武器和装备，究竟是哪里来的！,,,,,,,,,,,,,,,,乌萨斯军警,,,,,,,,,,,,,,,,,27,可恶，他们，他们......那些武器和装备，究竟是哪里来的！,くそっ、奴ら、奴らは……あの武器や装備、一体どこから手に入れたんだ！,ウルサス軍警,True
name,不要畏缩！就算穿上护甲，懦夫依旧是懦夫！不过是些缺乏训练的暴徒！,,,,,,,,,,,,,,,,乌萨斯军警队长,,,,,,,,,,,,,,,,,28,不要畏缩！就算穿上护甲，懦夫依旧是懦夫！不过是些缺乏训练的暴徒！,怯むな！鎧を着ていようが、臆病者は臆病者だ！訓練も足りない暴徒どもに過ぎん！,ウルサス軍警隊長,True
name,可是，可是他们的数量......！！,,,,,,,,,,,,,,,,乌萨斯军警,,,,,,,,,,,,,,,,,29,可是，可是他们的数量......！！,でも、でも奴らの数が……！！,ウルサス軍警,True
name,我们已经干掉了我们数量三倍之多的敌人！再干掉三倍的敌人，战斗就结束了！,,,,,,,,,,,,,,,,乌萨斯军警队长,,,,,,,,,,,,,,,,,30,我们已经干掉了我们数量三倍之多的敌人！再干掉三倍的敌人，战斗就结束了！,俺たちはすでに自分達の三倍もの敵を倒した！もう三倍倒せば戦いは終わるんだ！,ウルサス軍警隊長,True
character,,,,,,,,,,,,,,,,,char_1002_nsabr_2,,,,,,,,,,,,,,,,,31,,,,False
name,少口出狂言了，切尔诺伯格的混蛋！,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,32,少口出狂言了，切尔诺伯格的混蛋！,よくもほざくな、チェルノボーグのクソ野郎が！,レユニオンメンバー,True
name,感染者渣滓，也配和我们为敌？！,,,,,,,,,,,,,,,,乌萨斯军警队长,,,,,,,,,,,,,,,,,33,感染者渣滓，也配和我们为敌？！,感染者のクズどもが、俺たちに敵うとでも思っているのか？！,ウルサス軍警隊長,True
name,逮捕你们和你们肮脏的爹妈时就该把你们全部当场处死，而不是流放和苦役！,,,,,,,,,,,,,,,,乌萨斯军警队长,,,,,,,,,,,,,,,,,34,逮捕你们和你们肮脏的爹妈时就该把你们全部当场处死，而不是流放和苦役！,お前たちやお前たちの汚い親を逮捕したとき、その場で全員処刑すべきだった！流刑や強制労働なんて、生ぬるかった！,ウルサス軍警隊長,True
character,,,,,,,,,,,,,,,,,char_1002_nsabr_2,,,,,,,,,,,,,,,,,35,,,,False
name,你们这些家伙......！！,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,36,你们这些家伙......！！,お前たち……！！,レユニオンメンバー,True
name,呃......！他们在冲击防线，前卫没法再支撑多长时间了！,,,,,,,,,,,,,,,,乌萨斯军警,,,,,,,,,,,,,,,,,37,呃......！他们在冲击防线，前卫没法再支撑多长时间了！,うっ……！奴らが防衛線に突撃している、前衛はもう長く持たない！,ウルサス軍警,True
name,为了陛下！给我顶住！！,,,,,,,,,,,,,,,,乌萨斯军警队长,,,,,,,,,,,,,,,,,38,为了陛下！给我顶住！！,陛下のために！持ちこたえろ！！,ウルサス軍警隊長,True
name,我，我要......坚持不住了......！,,,,,,,,,,,,,,,,乌萨斯军警,,,,,,,,,,,,,,,,,39,我，我要......坚持不住了......！,もう、もうダメだ……耐えられない……！,ウルサス軍警,True
name,退后的人，统统处死！,,,,,,,,,,,,,,,,乌萨斯军警队长,,,,,,,,,,,,,,,,,40,退后的人，统统处死！,退却する者は全員処刑だ！,ウルサス軍警隊長,True
name,咳......,,,,,,,,,,,,,,,,乌萨斯军警,,,,,,,,,,,,,,,,,41,咳......,ゴホッ……,ウルサス軍警,True
blocker,,,,,,,,,1,0,0,0,0.6,true,,,,,,,,,,,,,,,,,,,,42,,,,False
blocker,,,,,,,,,0,,,,0.6,true,,,,,,,,,,,,,,,,,,,,43,,,,False
character,,,,,,,,,,,,,,,,,char_013_riop,,,,,,,,,,,,,,,,,44,,,,False
name,我们......,,,,,,,,,,,,,,,,近卫干员,,,,,,,,,,,,,,,,,45,我们......,私たちは……,近衛オペレーター,True
