command,text_orig,key,is_skippable,fit_mode,intro,volume,crossfade,delay,image,fadetime,screenadapt,time,name,a,r,g,b,block,x,y,xScale,yScale,xFrom,yFrom,xTo,yTo,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,duration,width,height,index,text,jp_text,jp_name,text_match
header,第二关（后）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,False
playmusic,,$escape_loop,,,$escape_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,False
background,,,,,,,,,bg_cher_1,1,coverall,,,,,,,,,,,,,,,,,,,,,,,2,,,,False
delay,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,,,False
character,,,,,,,,,,,,,char_013_riop,,,,,,,,,,,,,,,,,,,,,4,,,,False
name,哈，哈......,,,,,,,,,,,,近卫干员,,,,,,,,,,,,,,,,,,,,,5,哈，哈......,はっ、はっ……,前衛オペレーター,True
name,整合运动还真是......精力旺盛！,,,,,,,,,,,,近卫干员,,,,,,,,,,,,,,,,,,,,,6,整合运动还真是......精力旺盛！,レユニオンは本当に……精力的だな！,前衛オペレーター,True
name,你们，是什么人？,,,,,,,,,,,,乌萨斯军警队长,,,,,,,,,,,,,,,,,,,,,7,你们，是什么人？,お前たちは、何者だ？,ウルサス軍警隊長,True
name,怎么会这个时候，出现在切尔诺伯格！,,,,,,,,,,,,乌萨斯军警队长,,,,,,,,,,,,,,,,,,,,,8,怎么会这个时候，出现在切尔诺伯格！,なぜこの時に、チェルノボーグに現れたんだ！,ウルサス軍警隊長,True
character,,,,,,,,,,,,,char_013_riop,,,,,,,,,,,,,,,,,,,,,9,,,,False
name,哈？怎，怎么回事——,,,,,,,,,,,,近卫干员,,,,,,,,,,,,,,,,,,,,,10,哈？怎，怎么回事——,え？な、何が起きてる——,前衛オペレーター,True
name,间谍吗！,,,,,,,,,,,,乌萨斯军警队长,,,,,,,,,,,,,,,,,,,,,11,间谍吗！,スパイか！,ウルサス軍警隊長,True
character,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,,,,,,12,,,,False
name,（如果泄露了身份，被乌萨斯当局盯上，后果不堪设想！）,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,,,,13,（如果泄露了身份，被乌萨斯当局盯上，后果不堪设想！）,（もし身分がバレて、ウルサス当局に目を付けられたら、後が恐ろしい！）,ドーベルマン,True
name,（必要的话......！）,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,,,,14,（必要的话......！）,（必要なら……！）,ドーベルマン,True
