command,text_orig,key,is_skippable,fit_mode,volume,screenadapt,image,fadetime,intro,crossfade,delay,time,name,a,r,g,b,block,options,values,references,name2,focus,duration,xstrength,ystrength,vibrato,randomness,fadeout,option_number,index,text,jp_text,jp_name,text_match
header,第三关（前）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,False
playsound,,$d_gen_soldiersrun,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,False
background,,,,,,coverall,bg_cher_5,1,,,,,,,,,,,,,,,,,,,,,,0,2,,,,False
playmusic,,$escape_loop,,,0.8,,,,$escape_intro,1.5,0.5,,,,,,,,,,,,,,,,,,,0,3,,,,False
delay,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,4,,,,False
character,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,,0,5,,,,False
name,Ace！,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,0,6,Ace！,エース！,ドーベルマン,True
character,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,0,7,,,,False
character,,,,,,,,0.6,,,,,char_014_riope,,,,,,,,,,,,,,,,,0,8,,,,False
character,,,,,,,,,,,,,char_014_riope,,,,,,,,,,,,,,,,,0,9,,,,False
name,看来，你们都平安无事。,,,,,,,,,,,,Ace,,,,,,,,,,,,,,,,,0,10,看来，你们都平安无事。,どうやら、みんな無事のようだな。,エース,True
character,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,,0,11,,,,False
name,这里还没到汇合点......怎么只有你一个人？,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,0,12,这里还没到汇合点......怎么只有你一个人？,ここはまだ合流地点じゃない……どうしてあなただけなの？,ドーベルマン,True
blocker,,,,,,,,0.3,,,,,,1,0,0,0,true,,,,,,,,,,,,0,13,,,,False
blocker,,,,,,,,0.3,,,,,,0,,,,true,,,,,,,,,,,,0,14,,,,False
character,,,,,,,,,,,,,char_1002_nsabr_2,,,,,,,,,,,,,,,,,0,15,,,,False
name,他们就是那些从核心区出逃的人！别放他们走！,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,0,16,他们就是那些从核心区出逃的人！别放他们走！,奴らが核心区から逃げてきた者だ！逃がすな！,レユニオン兵,True
blocker,,,,,,,,0.3,,,,,,1,0,0,0,true,,,,,,,,,,,,0,17,,,,False
blocker,,,,,,,,0.3,,,,,,0,,,,true,,,,,,,,,,,,0,18,,,,False
character,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,,0,19,,,,False
name,呿，穷追不舍！,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,0,20,呿，穷追不舍！,くっ、しつこいわね！,ドーベルマン,True
name,E2小队，应敌——,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,0,21,E2小队，应敌——,E2小隊、迎撃体勢——,ドーベルマン,True
character,,,,,,,,,,,,,char_014_riope,,,,,,,,,,,,,,,,,0,22,,,,False
name,杜宾，不要恋战，优先后撤！,,,,,,,,,,,,Ace,,,,,,,,,,,,,,,,,0,23,杜宾，不要恋战，优先后撤！,ドーベルマン、無理せず撤退を優先して！,エース,True
name,阿米娅，博士！快！,,,,,,,,,,,,Ace,,,,,,,,,,,,,,,,,0,24,阿米娅，博士！快！,アーミヤ、ドクター！早く！,エース,True
playsound,,$d_gen_soldiersrun,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,0,25,,,,False
blocker,,,,,,,,0.6,,,,,,1,0,0,0,true,,,,,,,,,,,,0,26,,,,False
blocker,,,,,,,,0.6,,,,,,0,,,,true,,,,,,,,,,,,0,27,,,,False
character,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,,0,28,,,,False
name,这里也不安全。,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,0,29,这里也不安全。,ここも安全じゃない。,ドーベルマン,True
character,,,,,,,,,,,,,char_014_riope,,,,,,,,,,,,,,,,,0,30,,,,False
name,是的，我们还要继续向下一个汇合点移动。,,,,,,,,,,,,Ace,,,,,,,,,,,,,,,,,0,31,是的，我们还要继续向下一个汇合点移动。,そうだ、次の合流地点へ移動し続ける必要がある。,エース,True
character,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,,0,32,,,,False
name,你的小队呢？,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,0,33,你的小队呢？,あなたの小隊は？,ドーベルマン,True
blocker,,,,,,,,0.3,,,,,,1,0,0,0,true,,,,,,,,,,,,0,34,,,,False
blocker,,,,,,,,0.3,,,,,,0,,,,true,,,,,,,,,,,,0,35,,,,False
character,,,,,,,,,,,,,char_1002_nsabr_2,,,,,,,,,,,,,,,,,0,36,,,,False
name,藏到哪去了？把他们找出来！,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,0,37,藏到哪去了？把他们找出来！,どこに隠れた？探し出せ！,レユニオン兵,True
character,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,,0,38,,,,False
name,又来了吗！,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,0,39,又来了吗！,また来たの！？,ドーベルマン,True
character,,,,,,,,,,,,,char_014_riope,,,,,,,,,,,,,,,,,0,40,,,,False
name,博士，请下命令吧。,,,,,,,,,,,,Ace,,,,,,,,,,,,,,,,,0,41,博士，请下命令吧。,ドクター、指示をお願いします。,エース,True
name,就像以前那样。,,,,,,,,,,,,Ace,,,,,,,,,,,,,,,,,0,42,就像以前那样。,いつものように。,エース,True
decision,......？,,,,,,,,,,,,,,,,,,......？,1,,,,,,,,,,1,43,......？,......？,null,True
predicate,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,0,44,,,,False
character,,,,,,,,,,,,,char_002_amiya_1#4,,,,,,,,,,,,,,,,,0,45,,,,False
name,啊，Ace......,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,0,46,啊，Ace......,あ、エース……,アーミヤ,True
name,其实有些，小小的变故。,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,0,47,其实有些，小小的变故。,実は、ちょっとした出来事があったんです。,アーミヤ,True
name,博士......意外失去了记忆。,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,0,48,博士......意外失去了记忆。,ドクターが……記憶を失ってしまいました。,アーミヤ,True
character,,,,,,,,,,,,,char_002_amiya_1#4,,,,,,,,,char_014_riope,2,,,,,,,0,49,,,,False
name,......原来如此。,,,,,,,,,,,,Ace,,,,,,,,,,,,,,,,,0,50,......原来如此。,……そうだったのか。,エース,True
character,,,,,,,,,,,,,char_002_amiya_1#4,,,,,,,,,,,,,,,,,0,51,,,,False
name,抱歉，Ace......事情和以前相比，有不小的区别。,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,0,52,抱歉，Ace......事情和以前相比，有不小的区别。,ごめんなさい、エース……以前とはかなり違う状況です。,アーミヤ,True
character,,,,,,,,,,,,,char_002_amiya_1#4,,,,,,,,,char_014_riope,2,,,,,,,0,53,,,,False
name,是吗。你没必要向我道歉。,,,,,,,,,,,,Ace,,,,,,,,,,,,,,,,,0,54,是吗。你没必要向我道歉。,そうか。君が謝る必要はない。,エース,True
name,博士的指挥能力，有没有因为失忆受到影响？,,,,,,,,,,,,Ace,,,,,,,,,,,,,,,,,0,55,博士的指挥能力，有没有因为失忆受到影响？,ドクターの指揮能力は、記憶喪失で影響を受けていないか？,エース,True
character,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,char_014_riope,1,,,,,,,0,56,,,,False
name,......和以前一样。,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,0,57,......和以前一样。,……以前と同じです。,アーミヤ,True
name,博士的决策依旧十分可靠，我保证。,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,0,58,博士的决策依旧十分可靠，我保证。,ドクターの判断は今でもとても信頼できます、私が保証します。,アーミヤ,True
character,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,char_014_riope,2,,,,,,,0,59,,,,False
name,那就好。我听从博士的指挥。,,,,,,,,,,,,Ace,,,,,,,,,,,,,,,,,0,60,那就好。我听从博士的指挥。,それならよかった。ドクターの指示に従う。,エース,True
name,失去了的东西是可以找回来的。,,,,,,,,,,,,Ace,,,,,,,,,,,,,,,,,0,61,失去了的东西是可以找回来的。,失ったものは取り戻せる。,エース,True
name,眼下有更棘手的问题等着我们去解决。,,,,,,,,,,,,Ace,,,,,,,,,,,,,,,,,0,62,眼下有更棘手的问题等着我们去解决。,今はもっと厄介な問題が私たちを待っている。,エース,True
blocker,,,,,,,,0.3,,,,,,1,0,0,0,true,,,,,,,,,,,,0,63,,,,False
blocker,,,,,,,,0.3,,,,,,0,,,,true,,,,,,,,,,,,0,64,,,,False
character,,,,,,,,,,,,,char_1002_nsabr_2,,,,,,,,,,,,,,,,,0,65,,,,False
name,他们在这儿！快，快攻击！！,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,0,66,他们在这儿！快，快攻击！！,奴らはここだ！早く、攻撃しろ！！,レユニオン兵,True
character,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,,0,67,,,,False
name,聊天还没结束？我已经开始战斗了！,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,0,68,聊天还没结束？我已经开始战斗了！,まだ雑談中？私はもう戦いを始めている！,ドーベルマン,True
character,,,,,,,,,,,,,char_014_riope,,,,,,,,,,,,,,,,,0,69,,,,False
name,博士，请下命令吧。,,,,,,,,,,,,Ace,,,,,,,,,,,,,,,,,0,70,博士，请下命令吧。,ドクター、指示をお願いします。,エース,True
character,,,,,,,,,,,,,char_1002_nsabr_2,,,,,,,,,,,,,,,,,0,71,,,,False
name,放，把那些畜生放出来，让他们尝尝被撕咬的滋味！,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,0,72,放，把那些畜生放出来，让他们尝尝被撕咬的滋味！,放せ、あの獣どもを解き放て！噛みつかれる痛みを味わせろ！,レユニオン兵,True
character,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,,0,73,,,,False
name,博士！Ace！敌人近在眼前了！,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,0,74,博士！Ace！敌人近在眼前了！,ドクター！エース！敵が目前にいるわ！,ドーベルマン,True
character,,,,,,,,,,,,,char_014_riope,,,,,,,,,,,,,,,,,0,75,,,,False
name,——,,,,,,,,,,,,Ace,,,,,,,,,,,,,,,,,0,76,——,——,エース,True
decision,立刻出动！,,,,,,,,,,,,,,,,,,立刻出动！;......好的。;趁现在，破坏敌人的计划吧。,1;2;3,,,,,,,,,,3,77,立刻出动！,すぐ出動！,null,True
decision,......好的。,,,,,,,,,,,,,,,,,,立刻出动！;......好的。;趁现在，破坏敌人的计划吧。,1;2;3,,,,,,,,,,3,78,......好的。,……わかった。,null,True
decision,趁现在，破坏敌人的计划吧。,,,,,,,,,,,,,,,,,,立刻出动！;......好的。;趁现在，破坏敌人的计划吧。,1;2;3,,,,,,,,,,3,79,趁现在，破坏敌人的计划吧。,今のうちに、敵の計画を壊そう。,null,True
predicate,,,,,,,,,,,,,,,,,,,,,1;2;3,,,,,,,,,0,80,,,,False
character,,,,,,,,,,,,,char_014_riope,,,,,,,,,,,,,,,,,0,81,,,,False
name,明白。,,,,,,,,,,,,Ace,,,,,,,,,,,,,,,,,0,82,明白。,了解。,エース,True
name,E3小队！支援杜宾！,,,,,,,,,,,,Ace,,,,,,,,,,,,,,,,,0,83,E3小队！支援杜宾！,E3小隊！ドーベルマンを支援しろ！,エース,True
playmusic,,$calamity_loop,,,1,,,,$calamity_intro,1.5,,,,,,,,,,,,,,,,,,,,0,84,,,,False
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,85,,,,False
dialog,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,86,,,,False
playsound,,$d_sp_ballista,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,0,87,,,,False
blocker,,,,,,,,0.1,,,,,,1,100,100,100,true,,,,,,,,,,,,0,88,,,,False
blocker,,,,,,,,0.3,,,,,,0,0,0,0,true,,,,,,,,,,,,0,89,,,,False
camerashake,,,,,,,,,,,,,,,,,,false,,,,,,1.5,7,5,30,90,true,0,90,,,,False
delay,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,91,,,,False
name,埋伏？！！,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,0,92,埋伏？！！,伏せだと？！,レユニオン兵,True
character,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,,0,93,,,,False
name,E3小队......一直隐藏着行踪，就是等着和我们配合，夹击敌人吗。,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,0,94,E3小队......一直隐藏着行踪，就是等着和我们配合，夹击敌人吗。,E3小隊……ずっと行動を隠して、私たちと連携して挟撃するつもりだったのね。,ドーベルマン,True
character,,,,,,,,,,,,,char_014_riope,,,,,,,,,,,,,,,,,0,95,,,,False
name,在通讯受到干扰的情况下，小队应该在汇合点附近行动，这样，即使是我或者侦查干员发生了意外......,,,,,,,,,,,,Ace,,,,,,,,,,,,,,,,,0,96,在通讯受到干扰的情况下，小队应该在汇合点附近行动，这样，即使是我或者侦查干员发生了意外......,通信が妨害されている状況では、小隊は合流地点の周辺で行動すべきだ。これなら、もし俺や偵察オペがトラブルに遭っても……,エース,True
name,整体的撤退计划，依然能够正常实施。这是我的判断。,,,,,,,,,,,,Ace,,,,,,,,,,,,,,,,,0,97,整体的撤退计划，依然能够正常实施。这是我的判断。,全体の撤退計画は、問題なく実施できる。これが私の判断だ。,エース,True
character,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,,0,98,,,,False
name,也就是说，Ace你把小队留在汇合点，一个人......,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,0,99,也就是说，Ace你把小队留在汇合点，一个人......,つまり、エースは小隊を合流地点に残して、一人で……,ドーベルマン,True
character,,,,,,,,,,,,,char_014_riope,,,,,,,,,,,,,,,,,0,100,,,,False
name,毕竟最重要的，是去除汇合点周围的威胁。,,,,,,,,,,,,Ace,,,,,,,,,,,,,,,,,0,101,毕竟最重要的，是去除汇合点周围的威胁。,最も重要なのは、合流地点周辺の脅威を排除することだ。,エース,True
name,优先确认你们的状况是一种冒险。我不能带上整个小队一起。,,,,,,,,,,,,Ace,,,,,,,,,,,,,,,,,0,102,优先确认你们的状况是一种冒险。我不能带上整个小队一起。,君たちの状況を優先して確認するのはリスクが高い。だから小隊全員は連れてこられなかった。,エース,True
name,小队存在的目的，本来就是为了让战术更有效，而不是固步自封，成为拖累。,,,,,,,,,,,,Ace,,,,,,,,,,,,,,,,,0,103,小队存在的目的，本来就是为了让战术更有效，而不是固步自封，成为拖累。,小隊は戦術をより効果的にするためにある、本来は足かせにならないためだ。,エース,True
character,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,,0,104,,,,False
name,哈。接下来，用实战去解决了整合运动再说吧！,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,0,105,哈。接下来，用实战去解决了整合运动再说吧！,はっ。次は実戦でレユニオンを片付けよう！,ドーベルマン,True
character,,,,,,,,,,,,,char_014_riope,,,,,,,,,,,,,,,,,0,106,,,,False
name,阿米娅，拜托你。,,,,,,,,,,,,Ace,,,,,,,,,,,,,,,,,0,107,阿米娅，拜托你。,アーミヤ、頼んだぞ。,エース,True
character,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,0,108,,,,False
name,知道了！我会辅佐博士，通过法术支援你们的！,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,0,109,知道了！我会辅佐博士，通过法术支援你们的！,了解！私はドクターを補佐して、術で皆さんを支援します！,アーミヤ,True
character,,,,,,,,,,,,,char_014_riope,,,,,,,,,,,,,,,,,0,110,,,,False
name,终于......,,,,,,,,,,,,Ace,,,,,,,,,,,,,,,,,0,111,终于......,とうとう……,エース,True
name,博士，请你，指挥罗德岛。,,,,,,,,,,,,Ace,,,,,,,,,,,,,,,,,0,112,博士，请你，指挥罗德岛。,ドクター、どうかロドスの指揮をお願いします。,エース,True
delay,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,0,113,,,,False
blocker,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,0,114,,,,False
