command,text_orig,key,is_skippable,fit_mode,image,fadetime,screenadapt,intro,volume,crossfade,delay,time,name,name2,focus,a,r,g,b,block,index,text,jp_text,jp_name,text_match
header,第三关（后）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,0,,,,False
background,,,,,bg_cher_5,1,coverall,,,,,,,,,,,,,,1,,,,False
playmusic,,$escape_loop,,,,,,$escape_intro,0.8,1.5,0.5,,,,,,,,,,2,,,,False
delay,,,,,,,,,,,,1,,,,,,,,,3,,,,False
character,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,4,,,,False
name,哈，哈......,,,,,,,,,,,,杜宾,,,,,,,,5,哈，哈......,はぁ、はぁ……,ドーベルマン,True
name,整合运动这帮丧心病狂的家伙！居然用，居然用......,,,,,,,,,,,,杜宾,,,,,,,,6,整合运动这帮丧心病狂的家伙！居然用，居然用......,レユニオンのあの連中は狂っている！まさか、まさかこんなことを……,ドーベルマン,True
character,,,,,,,,,,,,,char_013_riop,char_002_amiya_1,1,,,,,,7,,,,False
name,那些野兽......,,,,,,,,,,,,近卫干员,,,,,,,,8,那些野兽......,あの獣たち……,近衛オペレーター,True
name,是，是整合运动，布置的吗......,,,,,,,,,,,,近卫干员,,,,,,,,9,是，是整合运动，布置的吗......,これ、これもレユニオンの仕業なのか……,近衛オペレーター,True
character,,,,,,,,,,,,,char_013_riop,char_002_amiya_1,2,,,,,,10,,,,False
name,感染的野兽，被整合运动当做士兵驱使......,,,,,,,,,,,,阿米娅,,,,,,,,11,感染的野兽，被整合运动当做士兵驱使......,感染した獣をレユニオンが兵士として使っている……,アーミヤ,True
character,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,12,,,,False
name,不，那不只是野兽那么简单。,,,,,,,,,,,,杜宾,,,,,,,,13,不，那不只是野兽那么简单。,いや、ただの獣ではない。,ドーベルマン,True
name,我能感受到，那种......,,,,,,,,,,,,杜宾,,,,,,,,14,我能感受到，那种......,私には感じる……あの……,ドーベルマン,True
name,那不是单纯的野兽，它们比起野兽，更像我们......,,,,,,,,,,,,杜宾,,,,,,,,15,那不是单纯的野兽，它们比起野兽，更像我们......,あれは単なる獣ではない、獣よりも私たちに近い……,ドーベルマン,True
character,,,,,,,,,,,,,char_013_riop,,,,,,,,16,,,,False
name,杜宾教官......,,,,,,,,,,,,近卫干员,,,,,,,,17,杜宾教官......,ドーベルマン教官……,近衛オペレーター,True
character,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,18,,,,False
name,......,,,,,,,,,,,,杜宾,,,,,,,,19,......,……,ドーベルマン,True
character,,,,,,,,,,,,,char_013_riop,,,,,,,,20,,,,False
name,头儿......我们，该怎么办？,,,,,,,,,,,,近卫干员,,,,,,,,21,头儿......我们，该怎么办？,隊長……私たちは、どうすれば……？,近衛オペレーター,True
character,,,,,,,,,,,,,char_014_riope,char_013_riop,1,,,,,,22,,,,False
name,帮它们从痛苦中解脱。,,,,,,,,,,,,Ace,,,,,,,,23,帮它们从痛苦中解脱。,彼らを苦しみから解放してやろう。,エース,True
character,,,,,,,,,,,,,char_014_riope,char_013_riop,2,,,,,,24,,,,False
name,头儿......,,,,,,,,,,,,近卫干员,,,,,,,,25,头儿......,隊長……,近衛オペレーター,True
blocker,,,,,,0.6,,,,,,,,,,1,0,0,0,true,26,,,,False
blocker,,,,,,0.6,,,,,,,,,,0,,,,true,27,,,,False
character,,,,,,,,,,,,,char_130_doberm_ex,char_014_riope,2,,,,,,28,,,,False
name,战斗已经结束了，杜宾。,,,,,,,,,,,,Ace,,,,,,,,29,战斗已经结束了，杜宾。,戦いはもう終わった、ドーベルマン。,エース,True
name,我们同样也和整合运动发生了冲突。,,,,,,,,,,,,Ace,,,,,,,,30,我们同样也和整合运动发生了冲突。,我々もレユニオンと衝突した。,エース,True
name,天灾已经盘旋在我们头顶，随时都可能坠落。,,,,,,,,,,,,Ace,,,,,,,,31,天灾已经盘旋在我们头顶，随时都可能坠落。,天災がすでに我々の頭上を巡り、いつ落ちてもおかしくない。,エース,True
