command,text_orig,key,is_skippable,fit_mode,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,name2,focus,a,r,g,b,block,duration,xstrength,ystrength,vibrato,randomness,index,text,jp_text,jp_name,text_match
header,第四关（后）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,0,,,,False
background,,,,,bg_cher_5,1,1,1,,,,,,,,,,,,,,,,,,,1,,,,False
playmusic,,$escape_loop,,,,,,,$escape_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,2,,,,False
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,3,,,,False
playsound,,$d_gen_soldiersrun,,,,,,,,0.5,,,,,,,,,,,,,,,,,4,,,,False
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,False
character,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,6,,,,False
name,依照既定路线，我们已经很接近切城南边的中城区了。,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,7,依照既定路线，我们已经很接近切城南边的中城区了。,予定されたルートに従って、私たちはもうすぐチェルノボーグ南側の中央区に近づいている。,ドーベルマン,True
name,穿过这个公园，就是汇合点。不出意外的话，临光和E4小队应该已经在那里等着我们了。,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,8,穿过这个公园，就是汇合点。不出意外的话，临光和E4小队应该已经在那里等着我们了。,この公園を抜ければ、合流地点だ。問題がなければ、リュウグァンとE4小隊がすでにそこで私たちを待っているはずだ。,ドーベルマン,True
character,,,,,,,,,,,,,,char_013_riop,char_130_doberm_ex,1,,,,,,,,,,,9,,,,False
name,可是......,,,,,,,,,,,,,近卫干员,,,,,,,,,,,,,10,可是......,でも……,近衛オペレーター,True
name,要是临光......被袭击了，会怎么样？,,,,,,,,,,,,,近卫干员,,,,,,,,,,,,,11,要是临光......被袭击了，会怎么样？,もしリュウグァンが……襲われていたら、どうなりますか？,近衛オペレーター,True
name,要是他们原本想用通讯设施警告我们，却发现信号遭到干扰......,,,,,,,,,,,,,近卫干员,,,,,,,,,,,,,12,要是他们原本想用通讯设施警告我们，却发现信号遭到干扰......,もし彼らが通信設備で私たちに警告しようとしたのに、信号が妨害されていたら……,近衛オペレーター,True
name,我们该怎么办？,,,,,,,,,,,,,近卫干员,,,,,,,,,,,,,13,我们该怎么办？,私たちはどうすればいいんですか？,近衛オペレーター,True
