command,text_orig,key,is_skippable,fit_mode,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,name2,focus,duration,xstrength,ystrength,vibrato,randomness,block,a,r,g,b,index,text,jp_text,jp_name,text_match
header,第五关（前）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,0,,,,False
background,,,,,bg_cher_5,1,1,1,,,,,,,,,,,,,,,,,,,1,,,,False
playmusic,,$escape_loop,,,,,,,$escape_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,2,,,,False
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,3,,,,False
character,,,,,,,,,,,,,,char_1507_Mephisto_1#6,char_1502_crowns#1,2,,,,,,,,,,,4,,,,False
name,......,,,,,,,,,,,,,弑君者,,,,,,,,,,,,,5,......,......,王殺し,True
name,梅菲斯特？,,,,,,,,,,,,,弑君者,,,,,,,,,,,,,6,梅菲斯特？,メフィスト？,王殺し,True
character,,,,,,,,,,,,,,char_1507_Mephisto_1#6,char_1502_crowns#1,1,,,,,,,,,,,7,,,,False
name,你没有拒绝的理由吧？一些不小心飞进来的小虫子......值得你亲自追击吗？,,,,,,,,,,,,,？？？,,,,,,,,,,,,,8,你没有拒绝的理由吧？一些不小心飞进来的小虫子......值得你亲自追击吗？,君には断る理由はないだろう？うっかり入り込んだ小さな虫けら……君がわざわざ自ら追いかける価値があるのかい？,？？？,True
name,我的部队已经接到了你的情报，你已经尽到了你的责任。,,,,,,,,,,,,,？？？,,,,,,,,,,,,,9,我的部队已经接到了你的情报，你已经尽到了你的责任。,私の部隊はすでに君の情報を受け取っている、君はもう自分の責務は果たした。,？？？,True
name,接下来，请你回去吧。毕竟你负责的是核心能源区及其外围......,,,,,,,,,,,,,？？？,,,,,,,,,,,,,10,接下来，请你回去吧。毕竟你负责的是核心能源区及其外围......,このあとは、君は戻ってくれ。そもそも君の担当はコアエネルギー地区とその周辺だろう……,？？？,True
character,,,,,,,,,,,,,,char_1507_Mephisto_1#6,char_1502_crowns#1,2,,,,,,,,,,,11,,,,False
name,少做多余的事......！,,,,,,,,,,,,,弑君者,,,,,,,,,,,,,12,少做多余的事......！,余計なことはするな……！,王殺し,True
character,,,,,,,,,,,,,,char_1507_Mephisto_1#6,char_1502_crowns#1,1,,,,,,,,,,,13,,,,False
name,你还有其他事情要做，对吧？,,,,,,,,,,,,,？？？,,,,,,,,,,,,,14,你还有其他事情要做，对吧？,君にはまだほかにやるべきことがあるだろう？,？？？,True
character,,,,,,,,,,,,,,char_1507_Mephisto_1#6,char_1502_crowns#1,2,,,,,,,,,,,15,,,,False
name,——,,,,,,,,,,,,,弑君者,,,,,,,,,,,,,16,——,——,王殺し,True
name,好。随便你。,,,,,,,,,,,,,弑君者,,,,,,,,,,,,,17,好。随便你。,わかった。好きにしろ。,王殺し,True
name,我已经等不及要观赏你的惨败了。,,,,,,,,,,,,,弑君者,,,,,,,,,,,,,18,我已经等不及要观赏你的惨败了。,君が惨敗するのを見るのが待ちきれないよ。,王殺し,True
character,,,,,,,,,,,,,,char_1507_Mephisto_1#6,char_1502_crowns#1,1,,,,,,,,,,,19,,,,False
name,哦......,,,,,,,,,,,,,？？？,,,,,,,,,,,,,20,哦......,ああ……,？？？,True
character,,,,,,,,,,,,,,char_1502_crowns#1,,,,,,,,,,,,,21,,,,False
name,收队。,,,,,,,,,,,,,弑君者,,,,,,,,,,,,,22,收队。,撤収。,王殺し,True
playsound,,$d_gen_walk_n,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,False
character,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,24,,,,False
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,25,,,,False
character,,,,,,,,,,,,,,char_1002_nsabr_2,,,,,,,,,,,,,26,,,,False
name,——,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,27,——,——,レユニオンメンバー,True
playsound,,$d_gen_soldiersrun,,,,,,,,0.5,,,,,,,,,,,,,,,,,28,,,,False
character,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,29,,,,False
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,30,,,,False
character,,,,,,,,,,,,,,char_002_amiya_1#6,,,,,,,,,,,,,31,,,,False
name,......敌人的头目......带着一部分整合运动的部队，撤离了？,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,32,......敌人的头目......带着一部分整合运动的部队，撤离了？,……敵の首領が……レユニオンの一部の部隊を連れて、撤退したの？,アーミヤ,True
character,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,33,,,,False
name,这小子，在做什么？,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,34,这小子，在做什么？,あのガキ、何をしている？,ドーベルマン,True
name,不能放松警惕......敌人的数量，依然是我们的数倍之多！,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,35,不能放松警惕......敌人的数量，依然是我们的数倍之多！,警戒を解くな……敵の数はこちらの数倍もいるんだ！,ドーベルマン,True
playsound,,$d_gen_walk_n,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,False
character,,,,,,,,,,,,,,char_1507_Mephisto_1#6,,,,,,,,,,,,,37,,,,False
name,唉唉，弑君者的口气一直不是很礼貌，请允许我代她道歉。,,,,,,,,,,,,,？？？,,,,,,,,,,,,,38,唉唉，弑君者的口气一直不是很礼貌，请允许我代她道歉。,やれやれ、王殺しの口調がいつも失礼で申し訳ない、代わりに謝罪させてくれ。,？？？,True
character,,,,,,,,1,,,,,,char_1507_Mephisto_1#1,,,,,,,,,,,,,39,,,,False
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,40,,,,False
name,你们可以称呼我，梅菲斯特。,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,41,你们可以称呼我，梅菲斯特。,私はメフィストと呼んでください。,メフィスト,True
character,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,42,,,,False
name,你们整合运动，究竟要做什么？,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,43,你们整合运动，究竟要做什么？,君たちレユニオンは、一体何をしようとしている？,ドーベルマン,True
character,,,,,,,,,,,,,,char_1507_Mephisto_1#1,,,,,,,,,,,,,44,,,,False
