command,text_orig,key,is_skippable,fit_mode,image,width,height,fadetime,intro,volume,crossfade,time,name,duration,xstrength,ystrength,vibrato,randomness,fadeout,a,r,g,b,block,name2,focus,delay,index,text,jp_text,jp_name,text_match
header,第五关（后）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,0,,,,False
background,,,,,bg_cher_5,1,1,1,,,,,,,,,,,,,,,,,,,,1,,,,False
playmusic,,$calamity_loop,,,,,,,$calamity_intro,1,1.5,,,,,,,,,,,,,,,,,2,,,,False
delay,,,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,,False
character,,,,,,,,,,,,,char_1002_nsabr_2,,,,,,,,,,,,,,,4,,,,False
playsound,,Sound_Beta_2/Enemy/e_skill/e_skill_skulsrsword,,,,,,,,0.6,,,,,,,,,,,,,,,,,,5,,,,False
camerashake,,,,,,,,,,,,,,1,6,10,50,90,true,,,,,,,,,6,,,,False
blocker,,,,,,,,0.2,,,,,,,,,,,,1,1,1,1,true,,,,7,,,,False
blocker,,,,,,,,0.2,,,,,,,,,,,,0,0,0,0,true,,,,8,,,,False
delay,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,9,,,,False
character,,,,,,,,,,,,,char_016_medic,,,,,,,,,,,,,,,10,,,,False
name,咿——！,,,,,,,,,,,,医疗干员,,,,,,,,,,,,,,,11,咿——！,いーっ！,医療オペレーター,True
character,,,,,,,,,,,,,char_013_riop,,,,,,,,,,,,char_016_medic,1,,12,,,,False
name,小心！！,,,,,,,,,,,,近卫干员,,,,,,,,,,,,,,,13,小心！！,気をつけて！！,前衛オペレーター,True
character,,,,,,,,,,,,,char_013_riop,,,,,,,,,,,,char_016_medic,2,,14,,,,False
name,我没事，只是擦伤而已，不要紧......,,,,,,,,,,,,医疗干员,,,,,,,,,,,,,,,15,我没事，只是擦伤而已，不要紧......,私は大丈夫、擦り傷だけです、心配いりません……,医療オペレーター,True
character,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,16,,,,False
name,还不够......再这样下去，包围圈会越来越小。,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,17,还不够......再这样下去，包围圈会越来越小。,まだ足りない……このままだと包囲がどんどん狭まってしまう。,アーミヤ,True
character,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,char_130_doberm_ex,2,,18,,,,False
name,我们已经找到了可突破口，但没有增援，我们只能采取守势，没法突围！,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,19,我们已经找到了可突破口，但没有增援，我们只能采取守势，没法突围！,突破口は見つけたが、増援が無ければ守勢にまわるしかない、突破できない！,ドーベルマン,True
character,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,20,,,,False
name,......请再坚持一下！优先用火力压制敌方射手！,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,21,......请再坚持一下！优先用火力压制敌方射手！,……もう少し耐えてください！火力で敵の射手を優先的に制圧して！,アーミヤ,True
name,敌人的先锋，就由我们术师来处理！,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,22,敌人的先锋，就由我们术师来处理！,敵の前衛は、術師たちで対処します！,アーミヤ,True
character,,,,,,,,,,,,,char_1507_Mephisto_1#1,,,,,,,,,,,,,,,23,,,,False
name,没错，没错！就该这样！接下来，f3，e5！,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,24,没错，没错！就该这样！接下来，f3，e5！,そうだ、そうだ！それでいい！次は、f3、e5！,メフィスト,True
character,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,25,,,,False
name,可憎的小子......！,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,26,可憎的小子......！,憎たらしいやつめ……！,ドーベルマン,True
character,,,,,,,,,,,,,char_1507_Mephisto_1#1,,,,,,,,,,,,,,,27,,,,False
name,很好！那么，b4，b5！,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,28,很好！那么，b4，b5！,いいぞ！それじゃあ、b4、b5！,メフィスト,True
character,,,,,,,,,,,,,char_013_riop,,,,,,,,,,,,,,,29,,,,False
name,敌人正在向我们侧后方迂回！,,,,,,,,,,,,近卫干员,,,,,,,,,,,,,,,30,敌人正在向我们侧后方迂回！,敵がこちらの側面と後方に回り込んでいます！,前衛オペレーター,True
character,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,31,,,,False
