command,text_orig,key,is_skippable,fit_mode,intro,volume,crossfade,delay,screenadapt,image,width,height,fadetime,time,name,name2,focus,a,r,g,b,block,x,y,xScale,yScale,xFrom,yFrom,xTo,yTo,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,duration,initr,index,text,jp_text,jp_name,text_match
header,第七关（前）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,False
playmusic,,$escape_loop,,,$escape_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,False
background,,,,,,,,,coverall,bg_cher_1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,False
delay,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,3,,,,False
character,,,,,,,,,,,,,,,char_130_doberm_ex,char_013_riop,2,,,,,,,,,,,,,,,,,,,,4,,,,False
name,是我的错觉，还是天确实越来越暗了？,,,,,,,,,,,,,,近卫干员,,,,,,,,,,,,,,,,,,,,,,5,是我的错觉，还是天确实越来越暗了？,私の勘違いでしょうか、それとも空が本当にどんどん暗くなっていますか？,前衛オペレーター,True
character,,,,,,,,,,,,,,,char_130_doberm_ex,char_013_riop,1,,,,,,,,,,,,,,,,,,,,6,,,,False
name,......我也希望是你的错觉。,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,,,,,7,......我也希望是你的错觉。,……私も君の勘違いであってほしいわ。,ドーベルマン,True
name,不过我们本来时间就不多。,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,,,,,8,不过我们本来时间就不多。,でも、元々私たちに残された時間は多くないわ。,ドーベルマン,True
blocker,,,,,,,,,,,,,1,,,,,1,0,0,0,true,,,,,,,,,,,,,,,9,,,,False
image,,,,,,,,,,avg_9_2,,,0,,,,,,,,,,50,30,1.15,1.15,,,,,,,,,,,10,,,,False
imagetween,,,,,,,,,,,,,,,,,,,,,,false,,,,,50,20,0,0,1.15,1.15,1,1,15,,11,,,,False
blocker,,,,,,,,,,,,,1,,,,,0,,,,true,,,,,,,,,,,,,,,12,,,,False
name,天灾云的形状比刚才黑压压的一片更加清晰了。,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,,,,,13,天灾云的形状比刚才黑压压的一片更加清晰了。,天災雲の形がさっきよりもはっきりと黒々しくなってきたわ。,ドーベルマン,True
name,啧，裸眼看着它慢慢在头上凝聚显形，可不是什么好兆头。,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,,,,,14,啧，裸眼看着它慢慢在头上凝聚显形，可不是什么好兆头。,ちっ、肉眼でそれが頭上にゆっくりと集まって現れるのを見るなんて、いい兆しではないわね。,ドーベルマン,True
blocker,,,,,,,,,,,,,0.5,,,,,1,0,0,0,true,,,,,,,,,,,,,,,15,,,,False
character,,,,,,,,,,,,,,,char_130_doberm_ex,char_148_nearl_1,1,,,,,,,,,,,,,,,,,,,,16,,,,False
image,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,17,,,,False
blocker,,,,,,,,,,,,,0.5,,,,,0,0,0,0,true,,,,,,,,,,,,,,,18,,,,False
character,,,,,,,,,,,,,,,char_130_doberm_ex,char_148_nearl_1,1,,,,,,,,,,,,,,,,,,,,19,,,,False
name,加上，下城区的每一条街道都可能埋伏着整合运动......,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,,,,,20,加上，下城区的每一条街道都可能埋伏着整合运动......,さらに、下層区のどの通りにも統合運動が潜んでいるかもしれない……,ドーベルマン,True
name,不，这个说法太过保守了。,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,,,,,,,21,不，这个说法太过保守了。,いや、この言い方は慎重すぎるわね。,ドーベルマン,True
character,,,,,,,,,,,,,,,char_130_doberm_ex,char_148_nearl_1,2,,,,,,,,,,,,,,,,,,,,22,,,,False
name,该说是，整合运动满满当当地挤在街上。,,,,,,,,,,,,,,临光,,,,,,,,,,,,,,,,,,,,,,23,该说是，整合运动满满当当地挤在街上。,むしろ、統合運動が通りにぎゅうぎゅうに詰まっていると言うべきでしょう。,ニアール,True
blocker,,,,,,,,,,,,,1,,,,,0,0,0,0,true,,,,,,,,,,,,,,2,24,,,,False
character,,,,,,,,,,,,,,,char_016_medic,,,,,,,,,,,,,,,,,,,,,,25,,,,False
