command,text_orig,key,is_skippable,fit_mode,intro,volume,crossfade,delay,a,r,g,b,fadetime,block,image,x,y,xScale,yScale,time,name,name2,focus,initr,width,height,duration,fadeout,xstrength,ystrength,vibrato,randomness,options,values,references, fadetime,option_number,index,text,jp_text,jp_name,text_match
header,第十一关（后）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,False
playmusic,,$darkness01_loop,,,$darkness01_intro,0.8,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,False
blocker,,,,,,,,,1,0,0,0,0.6,true,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,False
image,,,,,,,,,,,,,0,,avg_11_2,0,0,1.1,1.1,,,,,,,,,,,,,,,,,,0,3,,,,False
blocker,,,,,,,,,0,0,0,0,0.6,true,,,,,,,,,,,,,,,,,,,,,,,0,4,,,,False
delay,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,0,5,,,,False
name,已经突破了整合运动的拦截！,,,,,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,0,6,已经突破了整合运动的拦截！,統合運動の迎撃を突破した！,ドーベルマン,True
name,但是——他们——,,,,,,,,,,,,,,,,,,,,临光,,,,,,,,,,,,,,,,0,7,但是——他们——,でも――彼らは――,ニアール,True
name,......我......啊......,,,,,,,,,,,,,,,,,,,,临光,,,,,,,,,,,,,,,,0,8,......我......啊......,……私……ああ……,ニアール,True
playmusic,,$darkness01_loop,,,$darkness01_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,,,,False
character,,,,,,,,,,,,,,,,,,,,,char_148_nearl_1#3,char_130_doberm_ex,2,,,,,,,,,,,,,,0,10,,,,False
name,嘘。,,,,,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,0,11,嘘。,静かに。,ドーベルマン,True
name,......别让阿米娅她们听见。,,,,,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,0,12,......别让阿米娅她们听见。,……アーミヤたちに聞かせないように。,ドーベルマン,True
character,,,,,,,,,,,,,,,,,,,,,char_148_nearl_1#7,char_130_doberm_ex,1,,,,,,,,,,,,,,0,13,,,,False
name,阿米娅心里清楚得很！她比我们想象的成熟得多......！,,,,,,,,,,,,,,,,,,,,临光,,,,,,,,,,,,,,,,0,14,阿米娅心里清楚得很！她比我们想象的成熟得多......！,アーミヤはとてもよく分かってるの！私たちが思っているよりずっと大人なんだから……！,ニアール,True
name,......唔......,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,0,15,......唔......,……う……,アーミヤ,True
name,......嗯......？,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,0,16,......嗯......？,……ん……？,アーミヤ,True
blocker,,,,,,,,,1,0,0,0,0.6,true,,,,,,,,,,,,,,,,,,,,,,,0,17,,,,False
blocker,,,,,,,,,0,0,0,0,0.6,true,,,,,,,,,,,,,,,,,,,,,,,0,18,,,,False
character,,,,,,,,,,,,,,,,,,,,,char_148_nearl_1#3,char_130_doberm_ex,2,,,,,,,,,,,,,,0,19,,,,False
name,就算这样，也不能让她听见！,,,,,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,0,20,就算这样，也不能让她听见！,それでも、彼女に聞かせてはいけない！,ドーベルマン,True
name,再去加深她内心的煎熬是不明智的。她已经背负......太多东西了。,,,,,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,0,21,再去加深她内心的煎熬是不明智的。她已经背负......太多东西了。,彼女の心の苦しみをこれ以上深めるのは賢明じゃない。彼女は……もうたくさん背負っている。,ドーベルマン,True
name,......不要让......他们的努力白费！,,,,,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,0,22,......不要让......他们的努力白费！,……彼らの努力を……無駄にするな！,ドーベルマン,True
name,既然他们让我们活下来，我们就应该让博士和阿米娅......安全回去。,,,,,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,0,23,既然他们让我们活下来，我们就应该让博士和阿米娅......安全回去。,彼らが私たちを生かした以上、私たちはドクターとアーミヤを……安全に帰すべきだ。,ドーベルマン,True
character,,,,,,,,,,,,,,,,,,,,,char_148_nearl_1#2,char_130_doberm_ex,1,,,,,,,,,,,,,,0,24,,,,False
name,......,,,,,,,,,,,,,,,,,,,,临光,,,,,,,,,,,,,,,,0,25,......,……,ニアール,True
name,是的。,,,,,,,,,,,,,,,,,,,,临光,,,,,,,,,,,,,,,,0,26,是的。,はい。,ニアール,True
character,,,,,,,,,,,,,,,,,,,,,char_148_nearl_1#2,char_130_doberm_ex,2,,,,,,,,,,,,,,0,27,,,,False
name,还不是垂头丧气的时候。,,,,,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,0,28,还不是垂头丧气的时候。,まだ落ち込んでいる場合じゃない。,ドーベルマン,True
name,作为耀骑士，无论在什么时候，都该成为指引众人的光吧？,,,,,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,0,29,作为耀骑士，无论在什么时候，都该成为指引众人的光吧？,輝く騎士として、いついかなる時もみんなを導く光であるべきだろう？,ドーベルマン,True
character,,,,,,,,,,,,,,,,,,,,,char_148_nearl_1#4,char_130_doberm_ex,1,,,,,,,,,,,,,,0,30,,,,False
name,——,,,,,,,,,,,,,,,,,,,,临光,,,,,,,,,,,,,,,,0,31,——,——,ニアール,True
name,——我不清楚。但，我会去做我该做的事。,,,,,,,,,,,,,,,,,,,,临光,,,,,,,,,,,,,,,,0,32,——我不清楚。但，我会去做我该做的事。,――よく分からない。でも、私はやるべきことをやるよ。,ニアール,True
character,,,,,,,,,,,,,,,,,,,,,char_148_nearl_1#3,,,,,,,,,,,,,,,,0,33,,,,False
name,重整队形！不要懈怠！我们就快到了！,,,,,,,,,,,,,,,,,,,,临光,,,,,,,,,,,,,,,,0,34,重整队形！不要懈怠！我们就快到了！,隊形を整えて！油断するな！もうすぐだ！,ニアール,True
character,,,,,,,,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,0,35,,,,False
name,......,,,,,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,0,36,......,……,ドーベルマン,True
name,呵......,,,,,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,0,37,呵......,はは……,ドーベルマン,True
name,嘴里说着让我放心的人，真的一个都没回来过。,,,,,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,0,38,嘴里说着让我放心的人，真的一个都没回来过。,「安心しろ」って言ってくれた人は、誰一人帰ってきたことがないわ。,ドーベルマン,True
blocker,,,,,,,,,1,0,0,0,0.6,true,,,,,,,,,,2,,,,,,,,,,,,,0,39,,,,False
character,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,40,,,,False
background,,,,,,,,,,,,,1,true,bg_cher_2,,,,,,,,,,1,1,,,,,,,,,,,0,41,,,,False
blocker,,,,,,,,,0,,,,0.6,true,,,,,,,,,,,,,,,,,,,,,,,0,42,,,,False
character,,,,,,,,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,,,,,0,43,,,,False
name,......,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,0,44,......,……,アーミヤ,True
name,博士......？发生了......什么......,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,0,45,博士......？发生了......什么......,ドクター……？何が……あったの……,アーミヤ,True
name,请，请放我......放我下来吧......,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,0,46,请，请放我......放我下来吧......,お、お願いします……おろして……ください……,アーミヤ,True
playsound,,$d_gen_walk_n,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,47,,,,False
camerashake,,,,,,,,,,,,,,true,,,,,,,,,,,,,2,true,2,5,10,90,,,,,0,48,,,,False
name,嗯，没问题我可以自己走......,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,0,49,嗯，没问题我可以自己走......,うん、大丈夫、自分で歩けるから……,アーミヤ,True
name,我只是......失去意识了一会儿......没事的。,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,0,50,我只是......失去意识了一会儿......没事的。,ちょっと……気を失っていただけ……大丈夫だよ。,アーミヤ,True
name,......我们逃出来了吗？,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,0,51,......我们逃出来了吗？,……私たち、逃げられたの？,アーミヤ,True
name,Ace他们......,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,0,52,Ace他们......,Aceたちは……,アーミヤ,True
decision,......,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,......,1,,,1,53,......,……,null,True
predicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,54,,,,False
character,,,,,,,,,,,,,,,,,,,,,char_002_amiya_1#4,,,,,,,,,,,,,,,,0,55,,,,False
name,是嘛。,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,0,56,是嘛。,そうなんだ。,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,,,char_002_amiya_1#2,,,,,,,,,,,,,,,,0,57,,,,False
name,没关系的。如果是Ace的话，一定没问题的。,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,0,58,没关系的。如果是Ace的话，一定没问题的。,大丈夫。Aceなら、きっと平気だよ。,アーミヤ,True
name,罗德岛的大家，都是很强的。,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,0,59,罗德岛的大家，都是很强的。,ロドスのみんなは、みんな強いから。,アーミヤ,True
