command,text_orig,key,is_skippable,fit_mode,name,image,width,height,fadetime,screenadapt,time,intro,volume,crossfade,delay,a,r,g,b,block,duration,xstrength,ystrength,vibrato,randomness,fadeout,name2,focus,options,values,references,option_number,index,text,jp_text,jp_name,text_match
header,第十二关（前）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,False
name,时间未知 \ 天气未知 \ 能见度 低,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,时间未知 \ 天气未知 \ 能见度 低,時間不明\\天気不明\\視界 悪い,,True
name,切尔诺伯格 行动组E0所在地,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,切尔诺伯格 行动组E0所在地,チェルノボーグ　作戦チームE0の所在地,,True
name,博士营救行动 最终撤退阶段,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,博士营救行动 最终撤退阶段,ドクター救出作戦 最終撤退段階,,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,,,,False
background,,,,,,bg_cher_3,1,1,1,coverall,,,,,,,,,,,,,,,,,,,,,,0,5,,,,False
stopmusic,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,6,,,,False
delay,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,0,7,,,,False
character,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,,,,False
name,可恶！,,,,杜宾,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,可恶！,くそっ！,ドーベルマン,True
name,明明已经在出口了！,,,,杜宾,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,明明已经在出口了！,もう出口なのに！,ドーベルマン,True
character,,,,,char_1504_cqbw#2,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,,,,False
name,这么轻松就想离开切尔诺伯格......,,,,？？？,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,这么轻松就想离开切尔诺伯格......,そんなに簡単にチェルノボーグを出られると思ったのか……,？？？,True
