command,text_orig,key,is_skippable,fit_mode,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,name2,focus,a,initr,r,g,b,block,effect,keep,amount,duration,xstrength,ystrength,vibrato,randomness,fadeout,screenadapt,x,y,xScale,yScale,index,text,jp_text,jp_name,text_match
header,第十二关（后）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,False
background,,,,,bg_cher_3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,False
playmusic,,$escape_loop,,,,,,,$escape_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,False
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,,,,False
character,,,,,,,,,,,,,,char_1504_cqbw,,,,,,,,,,,,,,,,,,,,,,,4,,,,False
name,这个感觉......真是让人感到，十分熟悉啊。,,,,,,,,,,,,,W,,,,,,,,,,,,,,,,,,,,,,,5,这个感觉......真是让人感到，十分熟悉啊。,この感じ……とても懐かしいな。,W,True
name,阿米娅，是吗。,,,,,,,,,,,,,W,,,,,,,,,,,,,,,,,,,,,,,6,阿米娅，是吗。,アーミヤ、だろ？,W,True
name,——,,,,,,,,,,,,,W,,,,,,,,,,,,,,,,,,,,,,,7,——,——,W,True
name,啊，啊，哈哈......是这样......原来是这样。,,,,,,,,,,,,,W,,,,,,,,,,,,,,,,,,,,,,,8,啊，啊，哈哈......是这样......原来是这样。,あぁ、あぁ、はは……そうか……なるほど、そういうことか。,W,True
name,我记住了，阿米娅。,,,,,,,,,,,,,W,,,,,,,,,,,,,,,,,,,,,,,9,我记住了，阿米娅。,覚えておくよ、アーミヤ。,W,True
character,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,,10,,,,False
name,......什么？,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,11,......什么？,……何？,アーミヤ,True
character,,,,,,,,,,,,,,char_1504_cqbw,,,,,,,,,,,,,,,,,,,,,,,12,,,,False
name,我已经得到我想要的了。你们可以走了，快走哦。,,,,,,,,,,,,,W,,,,,,,,,,,,,,,,,,,,,,,13,我已经得到我想要的了。你们可以走了，快走哦。,もう欲しかったものは手に入れた。君たちは行っていいよ、早く行きな。,W,True
character,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,,14,,,,False
name,你——！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,15,你——！,あなた――！,アーミヤ,True
character,,,,,,,,,,,,,,char_1504_cqbw,char_1002_nsabr_2,2,,,,,,,,,,,,,,,,,,,,,16,,,,False
name,W......？,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,17,W......？,W……？,レユニオンメンバー,True
character,,,,,,,,,,,,,,char_1504_cqbw,char_1002_nsabr_2,1,,,,,,,,,,,,,,,,,,,,,18,,,,False
name,——你们，要留下来送死？我没问题哦，你们爱怎么样就怎么样。,,,,,,,,,,,,,W,,,,,,,,,,,,,,,,,,,,,,,19,——你们，要留下来送死？我没问题哦，你们爱怎么样就怎么样。,――君たち、死にたくて残るの？私は構わないよ、好きにするといい。,W,True
character,,,,,,,,,,,,,,char_1504_cqbw,char_1002_nsabr_2,2,,,,,,,,,,,,,,,,,,,,,20,,,,False
name,......,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,21,......,……,レユニオンメンバー,True
name,......撤回下城区。放他们走。塔露拉的命令。,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,22,......撤回下城区。放他们走。塔露拉的命令。,……下層区へ撤退だ。彼らを行かせろ。タルラの命令だ。,レユニオンメンバー,True
character,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,,23,,,,False
name,......？,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,24,......？,……？,アーミヤ,True
character,,,,,,,,,,,,,,char_1504_cqbw,,,,,,,,,,,,,,,,,,,,,,,25,,,,False
name,算了，事情再拖下去，就要变得没趣了。我很讨厌无聊的，就这样。,,,,,,,,,,,,,W,,,,,,,,,,,,,,,,,,,,,,,26,算了，事情再拖下去，就要变得没趣了。我很讨厌无聊的，就这样。,もういい、これ以上長引かせるとつまらなくなる。退屈なのは嫌いだから、これで終わり。,W,True
name,我还是挺期待下次再会的哦，阿米娅。,,,,,,,,,,,,,W,,,,,,,,,,,,,,,,,,,,,,,27,我还是挺期待下次再会的哦，阿米娅。,次会うのを楽しみにしてるよ、アーミヤ。,W,True
