command,text_orig,key,is_skippable,fit_mode,intro,volume,crossfade,delay,image,width,height,fadetime,duration,xstrength,ystrength,vibrato,randomness,fadeout,block,name,a,r,g,b,initr,name2,focus,time,index,text,jp_text,jp_name,text_match
header,第八关（后）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,False
playmusic,,$chernormal_loop,,,$chernormal_intro,0.8,1,0.5,,,,,,,,,,,,,,,,,,,,,1,,,,False
background,,,,,,,,,bg_cher_1,1,1,0,,,,,,,,,,,,,,,,,2,,,,False
playsound,,$d_gen_soldiersrun,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,3,,,,False
camerashake,,,,,,,,,,,,,3,2,3,10,90,true,true,,,,,,,,,,4,,,,False
character,,,,,,,,,,,,,,,,,,,,char_148_nearl_1#3,,,,,,,,,5,,,,False
name,冲锋——！！,,,,,,,,,,,,,,,,,,,临光,,,,,,,,,6,冲锋——！！,突撃ーー！！,リンコウ,True
character,,,,,,,,,,,,,,,,,,,,char_1002_nsabr_2,,,,,,,,,7,,,,False
name,啊？,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,8,啊？,あ？,レユニオン構成員,True
name,——是谁在那边？！,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,9,——是谁在那边？！,――誰だ、あそこにいるのは？！,レユニオン構成員,True
character,,,,,,,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,10,,,,False
name,呿，你在看哪里！接招！,,,,,,,,,,,,,,,,,,,杜宾,,,,,,,,,11,呿，你在看哪里！接招！,ちっ、どこ見てる！喰らえ！,ドーベルマン,True
playsound,,$p_imp_whip_h,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,12,,,,False
blocker,,,,,,,,,,,,0.02,,,,,,,true,,0.7,0.95,0.95,0.95,,,,,13,,,,False
blocker,,,,,,,,,,,,0.25,,,,,,,true,,0,0.95,0.95,0.95,,,,,14,,,,False
character,,,,,,,,,,,,,,,,,,,,char_1002_nsabr_2,,,,,,,,,15,,,,False
camerashake,,,,,,,,,,,,,3,2,3,10,90,true,false,,,,,,,,,,16,,,,False
name,呃啊！！,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,17,呃啊！！,うあっ！！,レユニオン構成員,True
blocker,,,,,,,,,,,,0.6,,,,,,,true,,1,0,0,0,2,,,,18,,,,False
character,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,19,,,,False
blocker,,,,,,,,,,,,0.6,,,,,,,true,,0,,,,,,,,20,,,,False
character,,,,,,,,,,,,,,,,,,,,char_013_riop,,,,,,char_148_nearl_1,1,,21,,,,False
name,呼......,,,,,,,,,,,,,,,,,,,近卫干员,,,,,,,,,22,呼......,はぁ……,前衛オペレーター,True
name,整合运动正在我们后方......组织进攻！,,,,,,,,,,,,,,,,,,,近卫干员,,,,,,,,,23,整合运动正在我们后方......组织进攻！,レユニオンは私たちの背後で……攻撃を組織している！,前衛オペレーター,True
character,,,,,,,,,,,,,,,,,,,,char_013_riop,,,,,,char_148_nearl_1#3,2,,24,,,,False
name,他们跟不上我们的速度！继续冲刺！,,,,,,,,,,,,,,,,,,,临光,,,,,,,,,25,他们跟不上我们的速度！继续冲刺！,やつらは私たちの速さについて来れない！このまま突っ走れ！,リンコウ,True
character,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,26,,,,False
playsound,,$d_gen_soldiersrun,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,27,,,,False
camerashake,,,,,,,,,,,,,3,2,3,10,90,true,true,,,,,,,,,,28,,,,False
character,,,,,,,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,char_148_nearl_1#3,1,,29,,,,False
name,马上就能离开整合运动控制的区域了！不要停下！！,,,,,,,,,,,,,,,,,,,杜宾,,,,,,,,,30,马上就能离开整合运动控制的区域了！不要停下！！,もうすぐレユニオンの支配地域を抜けられる！止まるな！！,ドーベルマン,True
character,,,,,,,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,char_148_nearl_1#3,2,,31,,,,False
name,区区暴徒——,,,,,,,,,,,,,,,,,,,临光,,,,,,,,,32,区区暴徒——,ただの暴徒ごとき――,リンコウ,True
name,怎么能阻止我们！,,,,,,,,,,,,,,,,,,,临光,,,,,,,,,33,怎么能阻止我们！,私たちを止められるものか！,リンコウ,True
delay,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,34,,,,False
blocker,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,35,,,,False
