command,text_orig,key,is_skippable,fit_mode,screenadapt,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,a,r,g,b,block,name2,duration,xstrength,ystrength,vibrato,randomness,initr,focus,channel,x,y,xScale,yScale,xFrom,yFrom,xTo,yTo,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,fadeout,stop,index,text,jp_text,jp_name,text_match
header,第九关（后）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,False
background,,,,,coverall,bg_cher_0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,False
playmusic,,$chernormal_loop,,,,,,,,$chernormal_intro,0.8,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,False
delay,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,False
character,,,,,,,,,,,,,,,char_1507_Mephisto_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,False
name,是的，他们不知道自己被浮士德跟踪。我从浮士德派回来的斥候那里了解到了一些情报。,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,是的，他们不知道自己被浮士德跟踪。我从浮士德派回来的斥候那里了解到了一些情报。,そうだ、彼らは自分たちがファウストに追跡されていることに気付いていない。ファウストから戻った斥候からいくつかの情報を得た。,メフィスト,True
name,罗德岛确实被困在中城区的外围了。,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,罗德岛确实被困在中城区的外围了。,ロドスは確かに中央区の外縁部に閉じ込められている。,メフィスト,True
name,虽然是些虫子，但他们也可能趁着天灾带来混乱逃跑。,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,虽然是些虫子，但他们也可能趁着天灾带来混乱逃跑。,奴らは虫けらだが、天災による混乱に乗じて逃げ出す可能性もある。,メフィスト,True
name,以他们对切尔诺伯格现状的了解，说不定会干扰到我们的计划。,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,以他们对切尔诺伯格现状的了解，说不定会干扰到我们的计划。,チェルノボーグの現状を知っている彼らなら、俺たちの計画を妨害するかもしれない。,メフィスト,True
name,——至少，把他们铲除掉没有任何坏处。,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,——至少，把他们铲除掉没有任何坏处。,――少なくとも、奴らを排除しておいて損はない。,メフィスト,True
