command,text_orig,key,is_skippable,fit_mode,intro,volume,crossfade,delay,a,r,g,b,block,image,fadetime,time,duration,xstrength,ystrength,vibrato,randomness,fadeout,name,options,values,references,name2,option_number,index,text,jp_text,jp_name,text_match
header,第十关（前）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,False
playmusic,,$calamity_loop,,,$calamity_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,,,,,,0,1,,,,False
blocker,,,,,,,,,1,0,0,0,true,,,,,,,,,,,,,,,0,2,,,,False
background,,,,,,,,,,,,,,bg_cher_10,1,,,,,,,,,,,,,0,3,,,,False
blocker,,,,,,,,,0,0,0,0,true,,0.5,,,,,,,,,,,,,0,4,,,,False
delay,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,0,5,,,,False
playsound,,$d_gen_explo_n,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,,,,False
camerashake,,,,,,,,,,,,,,,,,1,3,5,30,90,false,,,,,,0,7,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,char_130_doberm_ex,,,,,0,8,,,,False
name,抗冲击准备！！,,,,,,,,,,,,,,,,,,,,,,杜宾,,,,,0,9,抗冲击准备！！,衝撃に備えろ！！,ドーベルマン,True
name,各自散开——！！！,,,,,,,,,,,,,,,,,,,,,,杜宾,,,,,0,10,各自散开——！！！,各自散開——！！！,ドーベルマン,True
name,规模太大了......这样下去，整个街区的建筑都会被彻底摧毁！,,,,,,,,,,,,,,,,,,,,,,杜宾,,,,,0,11,规模太大了......这样下去，整个街区的建筑都会被彻底摧毁！,規模が大きすぎる……このままだと、街区全体の建物が完全に壊されてしまう！,ドーベルマン,True
name,不行，糟了———！,,,,,,,,,,,,,,,,,,,,,,杜宾,,,,,0,12,不行，糟了———！,ダメだ、まずい———！,ドーベルマン,True
image,,,,,,,,,,,,,,,1,,,,,,,,,,,,,0,13,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,char_014_riope,,,,,0,14,,,,False
name,——！,,,,,,,,,,,,,,,,,,,,,,Ace,,,,,0,15,——！,——！,エース,True
name,快转移！,,,,,,,,,,,,,,,,,,,,,,Ace,,,,,0,16,快转移！,早く移動しろ！,エース,True
character,,,,,,,,,,,,,,,,,,,,,,,char_016_medic,,,,,0,17,,,,False
name,......！,,,,,,,,,,,,,,,,,,,,,,医疗干员,,,,,0,18,......！,......！,医療オペレーター,True
character,,,,,,,,,,,,,,,,,,,,,,,char_014_riope,,,,,0,19,,,,False
name,坚持住！！,,,,,,,,,,,,,,,,,,,,,,Ace,,,,,0,20,坚持住！！,持ちこたえろ！！,エース,True
playsound,,$d_gen_explo_n,,,,0.7,,,,,,,,,,,,,,,,,,,,,,0,21,,,,False
camerashake,,,,,,,,,,,,,false,,,,3,25,25,30,90,true,,,,,,0,22,,,,False
blocker,,,,,,,,,0.2,0.93,0.7,0.2,true,,0.1,,,,,,,,,,,,,0,23,,,,False
blocker,,,,,,,,,0,0.93,0.75,0.32,true,,0.2,,,,,,,,,,,,,0,24,,,,False
name,啊——！！掉，掉下来了！,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,0,25,啊——！！掉，掉下来了！,ああ——！！落ち、落ちてきた！,レユニオンメンバー,True
name,天空掉下来了！,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,0,26,天空掉下来了！,空が落ちてきた！,レユニオンメンバー,True
playsound,,$d_gen_explo_n,,,,0.7,,,,,,,,,,,,,,,,,,,,,,0,27,,,,False
camerashake,,,,,,,,,,,,,false,,,,3,25,25,30,90,true,,,,,,0,28,,,,False
blocker,,,,,,,,,0.2,0.93,0.7,0.2,true,,0.1,,,,,,,,,,,,,0,29,,,,False
blocker,,,,,,,,,0,0.93,0.75,0.32,true,,0.2,,,,,,,,,,,,,0,30,,,,False
name,不，不，啊好疼......,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,0,31,不，不，啊好疼......,いや、いや、ああ痛い……,レユニオンメンバー,True
name,我的手，我的手！我的手哪里去了......,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,0,32,我的手，我的手！我的手哪里去了......,俺の手、俺の手だ！俺の手はどこへ……,レユニオンメンバー,True
name,怎，怎么会！！我不想死......！,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,0,33,怎，怎么会！！我不想死......！,な、なんでだ！！死にたくない……！,レユニオンメンバー,True
name,啊啊啊啊！！！,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,0,34,啊啊啊啊！！！,あああああっ！！！,レユニオンメンバー,True
playsound,,$d_gen_thunders_amb,,,,0.5,,2,,,,,,,,,,,,,,,,,,,,0,35,,,,False
blocker,,,,,,,,,0.2,0.93,0.8,0.4,true,,0.1,,,,,,,,,,,,,0,36,,,,False
image,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,37,,,,False
blocker,,,,,,,,,0,0.93,0.75,0.32,true,,0.2,,,,,,,,,,,,,0,38,,,,False
camerashake,,,,,,,,,,,,,,,,,1,10,12,30,90,true,,,,,,0,39,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,char_148_nearl_1#3,,,,,0,40,,,,False
name,重装干员！,,,,,,,,,,,,,,,,,,,,,,临光,,,,,0,41,重装干员！,重装オペレーター！,ニアール,True
name,保护我方术师！！,,,,,,,,,,,,,,,,,,,,,,临光,,,,,0,42,保护我方术师！！,うちの術師を守れ！！,ニアール,True
name,——！！,,,,,,,,,,,,,,,,,,,,,,临光,,,,,0,43,——！！,——！！,ニアール,True
name,那是什么声音？！,,,,,,,,,,,,,,,,,,,,,,临光,,,,,0,44,那是什么声音？！,あの音は何！？」,ニアール,True
character,,,,,,,,,,,,,,,,,,,,,,,char_014_riope,,,,,0,45,,,,False
name,巨大的坠岩击垮了临街的建筑！卧倒！！,,,,,,,,,,,,,,,,,,,,,,Ace,,,,,0,46,巨大的坠岩击垮了临街的建筑！卧倒！！,巨大な落石が通り沿いの建物を壊した！伏せろ！！,エース,True
playsound,,$d_gen_explo_n,,,,0.7,,,,,,,,,,,,,,,,,,,,,,0,47,,,,False
camerashake,,,,,,,,,,,,,false,,,,3,25,25,30,90,true,,,,,,0,48,,,,False
blocker,,,,,,,,,0.2,0.93,0.7,0.2,true,,0.1,,,,,,,,,,,,,0,49,,,,False
blocker,,,,,,,,,0,0.93,0.75,0.32,true,,0.2,,,,,,,,,,,,,0,50,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,char_016_medic,,,,,0,51,,,,False
name,啊......！,,,,,,,,,,,,,,,,,,,,,,医疗干员,,,,,0,52,啊......！,あっ……！,医療オペレーター,True
character,,,,,,,,,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,0,53,,,,False
name,——那个位置——医生！危险！,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,0,54,——那个位置——医生！危险！,——その位置——ドクター！危ない！,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,,,,,char_013_riop,,,,,0,55,,,,False
name,糟糕，医生，快闪开！,,,,,,,,,,,,,,,,,,,,,,近卫干员,,,,,0,56,糟糕，医生，快闪开！,まずい、ドクター、早く避けて！,前衛オペレーター,True
blocker,,,,,,,,,1,0,0,0,true,,0.3,,,,,,,,,,,,,0,57,,,,False
blocker,,,,,,,,,0,,,,true,,0.3,,,,,,,,,,,,,0,58,,,,False
decision,......！,,,,,,,,,,,,,,,,,,,,,,,......！,1,,,1,59,......！,......！,,True
predicate,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,60,,,,False
blocker,,,,,,,,,1,0,0,0,true,,0.3,,,,,,,,,,,,,0,61,,,,False
blocker,,,,,,,,,0,,,,true,,0.3,,,,,,,,,,,,,0,62,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,char_016_medic,,,,,0,63,,,,False
name,啊！,,,,,,,,,,,,,,,,,,,,,,医疗干员,,,,,0,64,啊！,あっ！,医療オペレーター,True
name,......唔，博，博士？,,,,,,,,,,,,,,,,,,,,,,医疗干员,,,,,0,65,......唔，博，博士？,……うっ、ド、ドクター？,医療オペレーター,True
character,,,,,,,,,,,,,,,,,,,,,,,char_013_riop,,,,,0,66,,,,False
