command,text_orig,key,is_skippable,fit_mode,intro,volume,crossfade,delay,a,r,g,b,block,image,fadetime,time,duration,xstrength,ystrength,vibrato,randomness,fadeout,name,name2,focus,x,y,xScale,yScale,xFrom,yFrom,xTo,yTo,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,initr,index,text,jp_text,jp_name,text_match
header,第十关（后）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,False
playmusic,,$chernormal_loop,,,$chernormal_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,False
blocker,,,,,,,,,1,0,0,0,true,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,False
background,,,,,,,,,,,,,,bg_cher_7,0,,,,,,,,,,,,,,,,,,,,,,,,3,,,,False
blocker,,,,,,,,,0,0,0,0,true,,0.5,,,,,,,,,,,,,,,,,,,,,,,,4,,,,False
delay,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,5,,,,False
playsound,,$d_gen_explo_n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,False
camerashake,,,,,,,,,,,,,,,,,1,3,5,30,90,false,,,,,,,,,,,,,,,,,7,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,8,,,,False
name,哈，哈，哈.....,,,,,,,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,9,哈，哈，哈.....,はっ、はっ、はっ……,ドーベルマン,True
character,,,,,,,,,,,,,,,,,,,,,,,char_148_nearl_1#3,,,,,,,,,,,,,,,,10,,,,False
name,成功了......！,,,,,,,,,,,,,,,,,,,,,,临光,,,,,,,,,,,,,,,,11,成功了......！,成功した……！,ニアール,True
name,我们不仅击退了整合运动......,,,,,,,,,,,,,,,,,,,,,,临光,,,,,,,,,,,,,,,,12,我们不仅击退了整合运动......,我々は統合運動を撃退しただけでなく……,ニアール,True
name,灾势也在以肉眼可见的程度衰弱！,,,,,,,,,,,,,,,,,,,,,,临光,,,,,,,,,,,,,,,,13,灾势也在以肉眼可见的程度衰弱！,災厄の勢いも目に見えて弱まってきている！,ニアール,True
name,情况太糟糕了......各位还是要多加小心！,,,,,,,,,,,,,,,,,,,,,,临光,,,,,,,,,,,,,,,,14,情况太糟糕了......各位还是要多加小心！,状況は最悪だ……みんな、もっと注意して！,ニアール,True
character,,,,,,,,,,,,,,,,,,,,,,,char_002_amiya_1#5,,,,,,,,,,,,,,,,15,,,,False
name,天灾......,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,16,天灾......,天災……,アーミヤ,True
name,原本的街道都被倒塌的废墟掩盖，被摧毁的建筑，形成了障碍物......,,,,,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,17,原本的街道都被倒塌的废墟掩盖，被摧毁的建筑，形成了障碍物......,元々の街道は倒壊した瓦礫に覆われ、破壊された建物が障害物となっている……,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,,,,,char_130_doberm_ex,,,,,,,,,,,,,,,,18,,,,False
name,源石，已经开始疯长了吗......,,,,,,,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,19,源石，已经开始疯长了吗......,源石、もう暴走し始めているのか……,ドーベルマン,True
name,明明到了最后关头，所有事情却都在阻挠我们！,,,,,,,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,20,明明到了最后关头，所有事情却都在阻挠我们！,最後の場面なのに、すべてが私たちを邪魔している！,ドーベルマン,True
name,如果我们能——,,,,,,,,,,,,,,,,,,,,,,杜宾,,,,,,,,,,,,,,,,21,如果我们能——,もし私たちが——,ドーベルマン,True
