command,text_orig,key,is_skippable,fit_mode,intro,volume,crossfade,delay,a,r,g,b,block,image,fadetime,time,name,name2,focus,Delay,duration,xstrength,ystrength,vibrato,randomness,afrom,rfrom,gfrom,bfrom,width,height,initr,x,y,xScale,yScale,xFrom,yFrom,xTo,yTo,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,fadeout,screenadapt,index,text,jp_text,jp_name,text_match
header,第十一关（前）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,False
playmusic,,$calamity_loop,,,$calamity_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,False
blocker,,,,,,,,,1,0,0,0,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,False
background,,,,,,,,,,,,,,bg_cher_7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,False
blocker,,,,,,,,,0,0,0,0,true,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,False
delay,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,False
character,,,,,,,,,,,,,,,,,char_148_nearl_1#3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,False
name,阿米娅，带博士离开。,,,,,,,,,,,,,,,,临光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,阿米娅，带博士离开。,アーミヤ、ドクターを連れて離れろ。,ニアール,True
name,......立刻！,,,,,,,,,,,,,,,,临光,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,......立刻！,……今すぐだ！,ニアール,True
character,,,,,,,,,,,,,,,,,char_002_amiya_1#4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,False
name,不行！我不能......,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,不行！我不能......,だめです！私にはできません……,アーミヤ,True
character,,,,,,,,,,,,,,,,,char_002_amiya_1#4,char_148_nearl_1#3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,False
