command,text_orig,key,is_skippable,fit_mode,a,r,g,b,fadetime,block,image,screenadapt,effect,amount,keep,volume,time,slot ,duration,isblock,name,end,layer,id,x,y,alignment,size,delay,width,xstrength,ystrength,vibrato,randomness,fadeout,loop,channel,options,values,references,slot,posfrom,posto,afrom,ato,intro,focus,xScale,yScale,xFrom,xTo,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,imagegroup,solidwidth,solidheight,duration ,ease,type,from,to,style,sfrom,sto,sduration,option_number,index,text,jp_text,jp_name,text_match
header,,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,False
blocker,,,,,0,0,0,0,0,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,False
blocker,,,,,1,0,0,0,2,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,False
background,,,,,,,,,,,60_g2_rhodeslivingroom_bc,coverall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,,,,False
cameraeffect,,,,,,,,,,,,,Grayscale,0.8,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,,,,False
playmusic,,$calm_loop,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,,,,False
blocker,,,,,0,0,0,0,3,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,,,,False
playsound,,$d_avg_openftstpwalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,,,,False
delay,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,,,,False
charslot,,,,,,,,,,,,,,,,,,"m"", name = ""avg_npc_1718_1#2$1",1.5,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,,,,False
delay,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,,,,False
name,你看上去有些低落，{@nickname}。,,,,,,,,,,,,,,,,,,,,普瑞赛斯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,你看上去有些低落，{@nickname}。,{@nickname}、少し落ち込んでいるようですね。,プライセス,True
name,是什么原因呢？愿意与我分享吗？,,,,,,,,,,,,,,,,,,,,普瑞赛斯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,是什么原因呢？愿意与我分享吗？,どうしてですか？私に話してくれますか？,プライセス,True
charslot,,,,,,,,,,,,,,,,,,"m"", name = ""avg_npc_1360_1#1$1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,,,,False
name,QHU9112，又一个褪色的星系。,,,,,,,,,,,,,,,,,,,,预言家,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,QHU9112，又一个褪色的星系。,QHU9112、また一つ色褪せた銀河だ。,予言者,True
name,这是新一轮的涨潮，波及我们周围的仅仅是第一波前浪，祂的到来比我们预算的还要快一些。,,,,,,,,,,,,,,,,,,,,预言家,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,这是新一轮的涨潮，波及我们周围的仅仅是第一波前浪，祂的到来比我们预算的还要快一些。,これは新たな潮の高まりで、私たちの周囲に届くのは最初の波に過ぎない。そして、あれの到来は私たちの予想よりも早かった。,予言者,True
name,我们的时间不多了......,,,,,,,,,,,,,,,,,,,,预言家,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16,我们的时间不多了......,私たちの時間はもうあまり残されていない……,予言者,True
charslot,,,,,,,,,,,,,,,,,,"m"", name = ""avg_npc_1718_1#1$1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,17,,,,False
name,不过我们已经做好准备了，对吗？,,,,,,,,,,,,,,,,,,,,普瑞赛斯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,18,不过我们已经做好准备了，对吗？,でも、私たちはもう準備ができていますよね？,プライセス,True
name,我们已经种下了希望的种子，接下来，只需要静待它长出答案即可。,,,,,,,,,,,,,,,,,,,,普瑞赛斯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,19,我们已经种下了希望的种子，接下来，只需要静待它长出答案即可。,私たちはすでに希望の種を蒔きました。これからは、それが答えをもたらすのを静かに待つだけです。,プライセス,True
name,不要担心，就当作是一次寻常的休眠吧。除了时间要稍微漫长一点，和以往的时间旅行并无本质不同。,,,,,,,,,,,,,,,,,,,,普瑞赛斯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20,不要担心，就当作是一次寻常的休眠吧。除了时间要稍微漫长一点，和以往的时间旅行并无本质不同。,心配しないで、ただの普通の休眠だと思ってください。少し長くなるだけで、これまでのタイムトラベルと本質的に違いはありません。,プライセス,True
charslot,,,,,,,,,,,,,,,,,,"m"", name = ""avg_npc_1718_1#8$1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,21,,,,False
name,何况这一次，我会在你身边的。,,,,,,,,,,,,,,,,,,,,普瑞赛斯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,22,何况这一次，我会在你身边的。,しかも、今回は私があなたのそばにいます。,プライセス,True
name,我希望在跨越了寂静的永夜后，再次睁开眼时，还能第一时间看到你。,,,,,,,,,,,,,,,,,,,,普瑞赛斯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,23,我希望在跨越了寂静的永夜后，再次睁开眼时，还能第一时间看到你。,静寂な永い夜を越えて再び目を開ける時、最初にあなたを見たいのです。,プライセス,True
charslot,,,,,,,,,,,,,,,,,,"m"", name = ""avg_npc_1360_1#1$1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,24,,,,False
name,可我们的辩论依然没有得出一个答案......,,,,,,,,,,,,,,,,,,,,预言家,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,25,可我们的辩论依然没有得出一个答案......,でも、私たちの議論はまだ答えにたどり着いていません……,予言者,True
