command,text_orig,key,is_skippable,fit_mode,a,initr,r,g,b,fadetime,block,intro,volume,crossfade,delay,image,width,height,name,time,name2,focus,duration,xstrength,ystrength,vibrato,randomness,fadeout,options,values,references,x,y,xScale,yScale,xFrom,yFrom,xTo,yTo,screenadapt,option_number,index,text,jp_text,jp_name,text_match
header,第十三关（后）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,False
blocker,,,,,1,2,0,0,0,0.6,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,False
playmusic,,$mist_loop,,,,,,,,,,$mist_loop,0.8,1.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,False
character,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,,,,False
background,,,,,,,,,,0,,,,,,bg_lungmen_station,1,1,,,,,,,,,,,,,,,,,,,,,,,0,4,,,,False
name,10:14 p.m. \ 晴 \ 能见度 19公里,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,10:14 p.m. \ 晴 \ 能见度 19公里,午後10時14分 \ 晴れ \ 視程19キロメートル,,True
name,龙门5区外 检疫口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,龙门5区外 检疫口,龍門第5区外　検疫所,,True
delay,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,0,7,,,,False
character,,,,,,,,,,,,,,,,,,,char_015_lmg,,,,,,,,,,,,,,,,,,,,,,0,8,,,,False
name,长官。,,,,,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,,,,,,0,9,长官。,長官。,？？？,True
blocker,,,,,0,,,,,0.6,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,,,,False
name,他们来了。,,,,,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,,,,,,0,11,他们来了。,彼らが来ました。,？？？,True
character,,,,,,,,,,,,,,,,,,,char_010_chen_1,,char_015_lmg,1,,,,,,,,,,,,,,,,,,,0,12,,,,False
name,......,,,,,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,,,,,,0,13,......,......,？？？,True
character,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,,,,False
playsound,,$radio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,,,,False
name,请注意——,,,,,,,,,,,,,,,,,,广播,,,,,,,,,,,,,,,,,,,,,,0,16,请注意——,ご注意ください——,放送,True
