command,text_orig,key,is_skippable,fit_mode,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,name2,focus,duration,xstrength,ystrength,vibrato,randomness,fadeout,block,a,r,g,b, name,index,text,jp_text,jp_name,text_match
header,第二十二关（前）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,False
background,,,,,bg_lungmen_r,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,False
playmusic,,$loading_loop,,,,,,,$loading_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,,,2,,,,False
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,,False
character,,,,,,,,,,,,,,char_106_franka_1,char_107_liskam_1,1,,,,,,,,,,,,,4,,,,False
name,雷蛇！防线还撑得住吗？,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,5,雷蛇！防线还撑得住吗？,レイズ！防衛線はまだ持ちこたえられる？,フランカ,True
character,,,,,,,,,,,,,,char_106_franka_1,char_107_liskam_1,2,,,,,,,,,,,,,6,,,,False
name,我这边，没有问题！,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,7,我这边，没有问题！,こっちは問題ない！,レイズ,True
name,芙兰卡，注意敌人侧翼进攻！,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,8,芙兰卡，注意敌人侧翼进攻！,フランカ、敵の側面攻撃に気をつけて！,レイズ,True
character,,,,,,,,,,,,,,char_106_franka_1,char_107_liskam_1,1,,,,,,,,,,,,,9,,,,False
name,真是没完没了......！,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,10,真是没完没了......！,本当にきりがないな……！,フランカ,True
character,,,,,,,,,,,,,,char_1002_nsabr_2,,,,,,,,,,,,,,,11,,,,False
name,这样的防御你们就别想打破了。,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,12,这样的防御你们就别想打破了。,こんな防御、お前たちに突破できるわけがない。,レユニオン構成員,True
name,看我就这样把你撞......,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,13,看我就这样把你撞......,これでお前をぶつけてやる……,レユニオン構成員,True
playsound,,Sound_Beta_2/Enemy/e_skill/e_skill_skulsrsword,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,14,,,,False
camerashake,,,,,,,,,,,,,,,,,1,6,10,50,90,true,true,,,,,,15,,,,False
name,唔？！,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,16,唔？！,うっ？!,レユニオン構成員,True
character,,,,,,,,,,,,,,char_1002_nsabr_2,,,,,,,,,,,,,,,17,,,,False
name,呃，呃呃呃啊！,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,18,呃，呃呃呃啊！,あっ、ああああ！,レユニオン構成員,True
name,这是什么？！,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,19,这是什么？！,これは何だ？!,レユニオン構成員,True
character,,,,,,,,,,,,,,char_106_franka_1,,,,,,,,,,,,,,,20,,,,False
name,是铝热剑哦。,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,21,是铝热剑哦。,テルミットソードだよ。,フランカ,True
name,切开算打破吗？,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,22,切开算打破吗？,切り裂いたら突破したってことになる？,フランカ,True
blocker,,,,,,,,2,,,,,,,,,,,,,,,true,1,0,0,0,,23,,,,False
delay,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,24,,,,False
blocker,,,,,,,,2,,,,,,,,,,,,,,,true,0,0,0,0,,25,,,,False
character,,,,,,,,,,,,,,char_106_franka_1,,,,,,,,,,,,,,,26,,,,False
name,烦人......,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,27,烦人......,うざいな……,フランカ,True
