command,text_orig,key,is_skippable,fit_mode,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,name2,focus,duration,xstrength,ystrength,vibrato,randomness,block,a,r,g,b,options,values,references,initr,x,y,xScale,yScale,screenadapt,option_number,index,text,jp_text,jp_name,text_match
header,第二十二关（后）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,False
background,,,,,bg_lungmen_r,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,False
playmusic,,$loading_loop,,,,,,,$loading_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,False
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,3,,,,False
character,,,,,,,,,,,,,,char_1500_skulsr,,,,,,,,,,,,,,,,,,,,,,0,4,,,,False
name,唔......,,,,,,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,,,,,0,5,唔......,うっ……,スイグツ,True
character,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,,,,,,,,,,,0,6,,,,False
name,哈，哈......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,7,哈，哈......,はぁ、はぁ……,アーミヤ,True
character,,,,,,,,,,,,,,char_1002_nsabr_2,,,,,,,,,,,,,,,,,,,,,,0,8,,,,False
name,咿——！,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,0,9,咿——！,ひっ——！,統合運動メンバー,True
name,碎骨，没事吧！,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,0,10,碎骨，没事吧！,スイグツ、大丈夫か！,統合運動メンバー,True
character,,,,,,,,,,,,,,char_1002_nsabr_2,char_1500_skulsr,2,,,,,,,,,,,,,,,,,,,,0,11,,,,False
name,嘁，这帮家伙确实很棘手！,,,,,,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,,,,,0,12,嘁，这帮家伙确实很棘手！,ちっ、こいつらは本当に厄介だな！,スイグツ,True
character,,,,,,,,,,,,,,char_1002_nsabr_2,char_1500_skulsr,1,,,,,,,,,,,,,,,,,,,,0,13,,,,False
name,碎骨，W在通讯里说，她那边已经结束了！,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,0,14,碎骨，W在通讯里说，她那边已经结束了！,スイグツ、Wが通信で、向こうはもう終わったって言ってる！,統合運動メンバー,True
name,已经成功劫到了任务目标。,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,0,15,已经成功劫到了任务目标。,任務目標の強奪に成功したって。,統合運動メンバー,True
character,,,,,,,,,,,,,,char_1002_nsabr_2,char_1500_skulsr,2,,,,,,,,,,,,,,,,,,,,0,16,,,,False
name,......W她，得手了？,,,,,,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,,,,,0,17,......W她，得手了？,……Wが、やったのか？,スイグツ,True
character,,,,,,,,,,,,,,char_1002_nsabr_2,char_1500_skulsr,1,,,,,,,,,,,,,,,,,,,,0,18,,,,False
name,是的，她的袭击非常顺利！,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,0,19,是的，她的袭击非常顺利！,はい、彼女の襲撃はとても順調でした！,統合運動メンバー,True
name,是不是，我们也该撤退了？,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,0,20,是不是，我们也该撤退了？,私たちも撤退すべきじゃないですか？,統合運動メンバー,True
character,,,,,,,,,,,,,,char_1002_nsabr_2,char_1500_skulsr,2,,,,,,,,,,,,,,,,,,,,0,21,,,,False
name,......,,,,,,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,,,,,0,22,......,……,スイグツ,True
name,给塔露拉发送信号。,,,,,,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,,,,,0,23,给塔露拉发送信号。,タルラに信号を送れ。,スイグツ,True
