command,text_orig,key,is_skippable,fit_mode,name,time,volume,image,width,height,fadetime,intro,crossfade,delay,name2,focus,options,values,references,a,r,g,b,block,x,y,xScale,yScale,xFrom,yFrom,xTo,yTo,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,duration,channel,loop,widgetID,style,fadestyle,offsetx,xstrength,ystrength,vibrato,randomness,fadeout,option_number,index,text,jp_text,jp_name,text_match
header,第十四关（前）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,False
name,进来吧。,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,进来吧。,入ってきて。,チェン,True
delay,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,False
playsound,,$d_gen_dooropen,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,,,,False
background,,,,,,,,bg_lungmen_o,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,,,,False
playmusic,,$mist_loop,,,,,0.8,,,,,$mist_loop,1.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,,,,False
character,,,,,char_003_kalts_1,,,,,,,,,,char_2005_weiyw_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,,,,False
character,,,,,char_002_amiya_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,,,,False
name,......凯尔希医生！,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,......凯尔希医生！,……ケルシー・ドクター！,アーミヤ,True
character,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,,,,False
delay,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,,,,False
name,——阿米娅......,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,——阿米娅......,――アーミヤ……,ケルシー,True
character,,,,,char_003_kalts_1#3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,,,,False
name,......{@nickname}。,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,......{@nickname}。,……{@nickname}。,ケルシー,True
name,你来了。,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,你来了。,来たのね。,ケルシー,True
playsound,,$d_gen_doorclose,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,,,,False
delay,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16,,,,False
character,,,,,char_003_kalts_1#3,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,17,,,,False
decision,......,,,,,,,,,,,,,,,,......,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,18,......,……,,True
predicate,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,19,,,,False
character,,,,,char_010_chen_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20,,,,False
name,咳咳。,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,21,咳咳。,コホン。,チェン,True
name,魏长官，罗德岛的另外两位代表也到了。,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,22,魏长官，罗德岛的另外两位代表也到了。,ウェイ長官、ロドスのもう二人の代表も到着しました。,チェン,True
character,,,,,char_2005_weiyw_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,23,,,,False
delay,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,24,,,,False
name,哦，正好。,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,25,哦，正好。,お、ちょうどよかった。,ウェイ・イェンウ,True
name,请坐。凯尔希小姐正向我说明现在的局势呢。,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,26,请坐。凯尔希小姐正向我说明现在的局势呢。,座ってください。ケルシーさんが今、現在の状況を説明してくれてます。,ウェイ・イェンウ,True
character,,,,,char_003_kalts_1,,,,,,,,,,char_2005_weiyw_1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,27,,,,False
name,那我就继续吧。关于现在的局势，我想魏先生也已经很清楚了。,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,28,那我就继续吧。关于现在的局势，我想魏先生也已经很清楚了。,それでは続けます。現在の情勢については、ウェイさんもすでにご存知でしょう。,ケルシー,True
blocker,,,,,,,,,,,0.6,,,,,,,,,1,0,0,0,true,,,,,,,,,,,,,,,,,,,,,,,,,0,29,,,,False
image,,,,,,,,bg_0_tv,,,0,,,,,,,,,,,,,,0,-20,1.1,1.1,,,,,,,,,,,,,,,,,,,,,0,30,,,,False
imagetween,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,0,-20,0,0,1.1,1.1,1,1,7,,,,,,,,,,,,0,31,,,,False
blocker,,,,,,,,,,,0.6,,,,,,,,,0,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,0,32,,,,False
playsound,,$slideshow,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,true,,,,,,,,,,0,33,,,,False
blocker,,,,,,,,,,,1.5,,,,,,,,,0,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,0,34,,,,False
name,龙门的情报网每天都在搜集大量针对整合运动的信息，想必也对这件事情极为重视。,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,35,龙门的情报网每天都在搜集大量针对整合运动的信息，想必也对这件事情极为重视。,龍門の情報網は毎日、大量の統合運動に関する情報を集めていますから、この件を非常に重視していることでしょう。,ケルシー,True
name,不过仅凭这样，龙门仍然还缺乏一些关键信息。,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,36,不过仅凭这样，龙门仍然还缺乏一些关键信息。,しかし、それだけでは龍門にはまだいくつかの重要な情報が欠けています。,ケルシー,True
blocker,,,,,,,,,,,0.6,,,,,,,,,1,0,0,0,true,,,,,,,,,,,,,,,,,,,,,,,,,0,37,,,,False
blocker,,,,,,,,,,,0.6,,,,,,,,,0,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,0,38,,,,False
character,,,,,char_003_kalts_1,,,,,,,,,,char_010_chen_1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,39,,,,False
name,......,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,40,......,……,チェン,True
character,,,,,char_003_kalts_1,,,,,,,,,,char_010_chen_1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,41,,,,False
name,简单的感染者检疫是不能对抗整合运动的，想必龙门近卫局再清楚不过。,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,42,简单的感染者检疫是不能对抗整合运动的，想必龙门近卫局再清楚不过。,単純な感染者の検疫では統合運動には対抗できません。それは龍門近衛局もよく分かっているはずです。,ケルシー,True
name,整合运动不会乖乖过检，更不会等到当局反应过来才行动。所以————,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,43,整合运动不会乖乖过检，更不会等到当局反应过来才行动。所以————,統合運動は大人しく検査を受けることもなく、当局が対応するまで待つこともありません。ですから―――,ケルシー,True
name,如果没有罗德岛的协助，龙门依靠目前对待感染者的策略，抵挡接下来整合运动的攻击会面临巨大损失。,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,44,如果没有罗德岛的协助，龙门依靠目前对待感染者的策略，抵挡接下来整合运动的攻击会面临巨大损失。,ロドスの協力がなければ、龍門は今の感染者対策だけでは、次の統合運動の攻撃を防ぐのは大きな損失を被ることになるでしょう。,ケルシー,True
character,,,,,char_003_kalts_1,,,,,,,,,,char_010_chen_1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,45,,,,False
