command,text_orig,key,is_skippable,fit_mode,intro,volume,crossfade,delay,image,width,height,fadetime,time,name,a,initr,r,g,b,block,duration,xstrength,ystrength,vibrato,randomness,fadeout,name2,focus,widgetID,style,fadestyle,offsetx,options,values,references,option_number,index,text,jp_text,jp_name,text_match
header,第十五关（前）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,False
playmusic,,$loading_loop,,,$loading_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,False
background,,,,,,,,,bg_lungmen_b,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,False
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,3,,,,False
character,,,,,,,,,,,,,,char_012_misa_1,,,,,,,,,,,,,,,,,,,,,,0,4,,,,False
name,快藏起来！,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,,,,,,0,5,快藏起来！,早く隠れて！,？？？,True
name,我......我必须走了。,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,,,,,,0,6,我......我必须走了。,私……私、もう行かなくちゃ。,？？？,True
name,这个......这个，给你们。,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,,,,,,0,7,这个......这个，给你们。,これ……これ、君たちにあげる。,？？？,True
name,这是我们的护身符，是我妈妈亲手教我做的......,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,,,,,,0,8,这是我们的护身符，是我妈妈亲手教我做的......,これは私たちのお守りで、私のお母さんが手作りする方法を教えてくれたの……,？？？,True
name,给你们的这个是我做的。,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,,,,,,0,9,给你们的这个是我做的。,君たちに渡すこれは私が作ったんだ。,？？？,True
name,亲手做的布偶，能保证重要的人平安无事。,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,,,,,,0,10,亲手做的布偶，能保证重要的人平安无事。,手作りのぬいぐるみは、大切な人の無事を守ってくれるよ。,？？？,True
character,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,11,,,,False
name,嗯，米莎姐姐，我们会好好保管它的！,,,,,,,,,,,,,小孩们,,,,,,,,,,,,,,,,,,,,,,0,12,嗯，米莎姐姐，我们会好好保管它的！,うん、ミーシャお姉ちゃん、ちゃんと大事にするよ！,子供たち,True
character,,,,,,,,,,,,,,char_012_misa_1#3,,,,,,,,,,,,,,,,,,,,,,0,13,,,,False
name,真乖。,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,,0,14,真乖。,本当にいい子だね。,ミーシャ,True
character,,,,,,,,,,,,,,char_012_misa_1,,,,,,,,,,,,,,,,,,,,,,0,15,,,,False
name,藏好！别出声。,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,,0,16,藏好！别出声。,しっかり隠れて！声を出さないで。,ミーシャ,True
character,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,17,,,,False
name,嗯！,,,,,,,,,,,,,小孩们,,,,,,,,,,,,,,,,,,,,,,0,18,嗯！,うん！,子供たち,True
delay,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,0,19,,,,False
blocker,,,,,,,,,,,,0.6,,,1,2,0,0,0,true,,,,,,,,,,,,,,,,0,20,,,,False
character,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,21,,,,False
blocker,,,,,,,,,,,,0.6,,,0,,,,,true,,,,,,,,,,,,,,,,0,22,,,,False
playsound,,$d_gen_soldiersrun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,23,,,,False
name,往哪去了？！你们，追！看那些感染者还能跑多远！,,,,,,,,,,,,,暴民,,,,,,,,,,,,,,,,,,,,,,0,24,往哪去了？！你们，追！看那些感染者还能跑多远！,どこへ行った？！お前たち、追え！あの感染者たちがどこまで逃げられるか見てみろ！,暴徒,True
name,嗯？这里......看来还有些东西呢？,,,,,,,,,,,,,暴民,,,,,,,,,,,,,,,,,,,,,,0,25,嗯？这里......看来还有些东西呢？,ん？ここは……まだ何かあるようだな？,暴徒,True
blocker,,,,,,,,,,,,0.6,,,1,2,0,0,0,true,,,,,,,,,,,,,,,,0,26,,,,False
character,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,27,,,,False
blocker,,,,,,,,,,,,0.6,,,0,,,,,true,,,,,,,,,,,,,,,,0,28,,,,False
character,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,,,,,,,,,,,0,29,,,,False
name,......依据能天使的情报，任务目标一定在这附近逗留过才对......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,30,......依据能天使的情报，任务目标一定在这附近逗留过才对......,……エンジェルの情報によると、任務目標はこの近くにいたはず……,アーミヤ,True
name,啊啊，这里的地形真是很复杂，光凭罗德岛，这个任务果然也有些麻烦呢......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,31,啊啊，这里的地形真是很复杂，光凭罗德岛，这个任务果然也有些麻烦呢......,ああ、ここの地形は本当に複雑だ。ロドスだけじゃ、この任務はやっぱり大変だな……,アーミヤ,True
name,幸好联系了企鹅物流......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,32,幸好联系了企鹅物流......,ペンギン急便と連絡しておいてよかった……,アーミヤ,True
character,,,,,,,,,,,,,,char_002_amiya_1#6,,,,,,,,,,,,,,,,,,,,,,0,33,,,,False
name,......有人？,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,34,......有人？,……誰かいる？,アーミヤ,True
name,这些人是......！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,0,35,这些人是......！,この人たちは……！,アーミヤ,True
blocker,,,,,,,,,,,,0.6,,,1,,0,0,0,true,,,,,,,,,,,,,,,,0,36,,,,False
character,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,37,,,,False
blocker,,,,,,,,,,,,0.6,,,0,,,,,true,,,,,,,,,,,,,,,,0,38,,,,False
character,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,39,,,,False
name,坏蛋！你们这些坏蛋！放开我！放——开——！,,,,,,,,,,,,,小孩,,,,,,,,,,,,,,,,,,,,,,0,40,坏蛋！你们这些坏蛋！放开我！放——开——！,悪者！あなたたち悪者だ！放して！放ーーしーーてーー！,子供,True
name,说！她往哪跑了？,,,,,,,,,,,,,暴民,,,,,,,,,,,,,,,,,,,,,,0,41,说！她往哪跑了？,言え！あいつはどっちに逃げた？,暴徒,True
