command,text_orig,key,is_skippable,fit_mode,image,width,height,fadetime,screenadapt,intro,volume,crossfade,delay,time,name,name2,focus,a,initr,r,g,b,block,index,text,jp_text,jp_name,text_match
header,第十五关（后）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,0,,,,False
background,,,,,bg_indoor_2,1,1,1,coverall,,,,,,,,,,,,,,,1,,,,False
playmusic,,$loading_loop,,,,,,,,$loading_intro,0.8,1.5,0.5,,,,,,,,,,,2,,,,False
delay,,,,,,,,,,,,,,1,,,,,,,,,,3,,,,False
character,,,,,,,,,,,,,,,char_012_misa_1,,,,,,,,,4,,,,False
name,......呼。,,,,,,,,,,,,,,米莎,,,,,,,,,5,......呼。,......はあ。,ミーシャ,True
name,......躲在这里，就不会被发现了吧。,,,,,,,,,,,,,,米莎,,,,,,,,,6,......躲在这里，就不会被发现了吧。,......ここに隠れていれば、見つからないよね。,ミーシャ,True
name,就算这样，也没法再回孩子们那里去了。,,,,,,,,,,,,,,米莎,,,,,,,,,7,就算这样，也没法再回孩子们那里去了。,それでも、もう子供たちの所には戻れない。,ミーシャ,True
name,他们不会有事吧......,,,,,,,,,,,,,,米莎,,,,,,,,,8,他们不会有事吧......,みんな無事だよね......,ミーシャ,True
name,唉，为什么......,,,,,,,,,,,,,,米莎,,,,,,,,,9,唉，为什么......,あぁ、どうして......,ミーシャ,True
name,——！,,,,,,,,,,,,,,米莎,,,,,,,,,10,——！,——！,ミーシャ,True
name,是谁？,,,,,,,,,,,,,,米莎,,,,,,,,,11,是谁？,誰？,ミーシャ,True
character,,,,,,,,,,,,,,,char_002_amiya_1,char_012_misa_1,1,,,,,,,12,,,,False
name,......,,,,,,,,,,,,,,阿米娅,,,,,,,,,13,......,......,アーミヤ,True
character,,,,,,,,,,,,,,,char_002_amiya_1#2,char_012_misa_1,1,,,,,,,14,,,,False
name,是米莎小姐吗？,,,,,,,,,,,,,,阿米娅,,,,,,,,,15,是米莎小姐吗？,ミーシャさんですか？,アーミヤ,True
character,,,,,,,,,,,,,,,char_002_amiya_1#2,char_012_misa_1#4,2,,,,,,,16,,,,False
name,......咦？,,,,,,,,,,,,,,米莎,,,,,,,,,17,......咦？,......えっ？,ミーシャ,True
blocker,,,,,,,,0.6,,,,,,,,,,1,2,0,0,0,true,18,,,,False
character,,,,,,,,0,,,,,,,,,,,,,,,,19,,,,False
blocker,,,,,,,,0.6,,,,,,,,,,0,,,,,true,20,,,,False
character,,,,,,,,,,,,,,,char_012_misa_1,,,,,,,,,21,,,,False
name,......,,,,,,,,,,,,,,米莎,,,,,,,,,22,......,......,ミーシャ,True
character,,,,,,,,,,,,,,,char_002_amiya_1,char_012_misa_1,1,,,,,,,23,,,,False
name,抱歉，米莎小姐，希望没有吓到你......,,,,,,,,,,,,,,阿米娅,,,,,,,,,24,抱歉，米莎小姐，希望没有吓到你......,ごめんなさい、ミーシャさん。驚かせてしまっていないでしょうか......,アーミヤ,True
name,这是我的同事，芙兰卡小姐和雷蛇小姐。,,,,,,,,,,,,,,阿米娅,,,,,,,,,25,这是我的同事，芙兰卡小姐和雷蛇小姐。,こちらは私の同僚、フランカさんとレイズさんです。,アーミヤ,True
character,,,,,,,,,,,,,,,char_106_franka_1,,,,,,,,,26,,,,False
name,你好呀。,,,,,,,,,,,,,,芙兰卡,,,,,,,,,27,你好呀。,こんにちは。,フランカ,True
character,,,,,,,,,,,,,,,char_107_liskam_1,,,,,,,,,28,,,,False
name,中午好。,,,,,,,,,,,,,,雷蛇,,,,,,,,,29,中午好。,こんにちは。,レイズ,True
character,,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,30,,,,False
name,我们是罗德岛制药。作为一个为感染者服务的组织，至少......,,,,,,,,,,,,,,阿米娅,,,,,,,,,31,我们是罗德岛制药。作为一个为感染者服务的组织，至少......,私たちはロドス製薬です。感染者のための組織として、少なくとも……,アーミヤ,True
name,我们也希望能帮到你什么。所以想和你，交流一下。,,,,,,,,,,,,,,阿米娅,,,,,,,,,32,我们也希望能帮到你什么。所以想和你，交流一下。,あなたのお力になりたいと思っています。だから、お話したくて。,アーミヤ,True
character,,,,,,,,,,,,,,,char_002_amiya_1,char_012_misa_1,2,,,,,,,33,,,,False
name,交流一下？,,,,,,,,,,,,,,米莎,,,,,,,,,34,交流一下？,話すだけ？,ミーシャ,True
character,,,,,,,,,,,,,,,char_002_amiya_1#3,char_012_misa_1,1,,,,,,,35,,,,False
name,嗯。,,,,,,,,,,,,,,阿米娅,,,,,,,,,36,嗯。,うん。,アーミヤ,True
name,这里也不太合适......,,,,,,,,,,,,,,阿米娅,,,,,,,,,37,这里也不太合适......,ここはあまり良い場所じゃないですね……,アーミヤ,True
name,不过现在，最需要的是能保证米莎小姐你的安全。,,,,,,,,,,,,,,阿米娅,,,,,,,,,38,不过现在，最需要的是能保证米莎小姐你的安全。,でも今一番必要なのは、ミーシャさんの安全です。,アーミヤ,True
name,这段时间里，我们会保护你，请不用担心。,,,,,,,,,,,,,,阿米娅,,,,,,,,,39,这段时间里，我们会保护你，请不用担心。,しばらくの間、私たちが守ります。どうか安心してください。,アーミヤ,True
character,,,,,,,,,,,,,,,char_002_amiya_1,char_012_misa_1,2,,,,,,,40,,,,False
name,......你在说什么......啊。,,,,,,,,,,,,,,米莎,,,,,,,,,41,......你在说什么......啊。,......何を言ってるの……ああ。,ミーシャ,True
name,......,,,,,,,,,,,,,,米莎,,,,,,,,,42,......,......,ミーシャ,True
name,不就是把我抓住关起来吗？！,,,,,,,,,,,,,,米莎,,,,,,,,,43,不就是把我抓住关起来吗？！,どうせ私を捕まえて、閉じ込めるつもりでしょ?!,ミーシャ,True
name,走开！我的爪子很锋利的......！不想受伤的话......,,,,,,,,,,,,,,米莎,,,,,,,,,44,走开！我的爪子很锋利的......！不想受伤的话......,近寄らないで！私の爪は鋭いんだから……！怪我したくなかったら……,ミーシャ,True
character,,,,,,,,,,,,,,,char_106_franka_1,char_012_misa_1,1,,,,,,,45,,,,False
name,......噗。,,,,,,,,,,,,,,芙兰卡,,,,,,,,,46,......噗。,……ぷっ。,フランカ,True
character,,,,,,,,,,,,,,,char_106_franka_1,char_012_misa_1#4,2,,,,,,,47,,,,False
name,你......笑什么......,,,,,,,,,,,,,,米莎,,,,,,,,,48,你......笑什么......,あなた……何笑ってるのよ……,ミーシャ,True
character,,,,,,,,,,,,,,,char_106_franka_1,char_012_misa_1#4,1,,,,,,,49,,,,False
name,如果我们真的想抓你，你是根本没机会反抗啦。,,,,,,,,,,,,,,芙兰卡,,,,,,,,,50,如果我们真的想抓你，你是根本没机会反抗啦。,もし本気で捕まえようと思えば、あなたには抵抗する暇もないわよ。,フランカ,True
character,,,,,,,,,,,,,,,char_106_franka_1,char_012_misa_1,2,,,,,,,51,,,,False
name,......,,,,,,,,,,,,,,米莎,,,,,,,,,52,......,......,ミーシャ,True
character,,,,,,,,,,,,,,,char_002_amiya_1,char_012_misa_1,1,,,,,,,53,,,,False
name,米莎小姐......我们是真的想帮助你，所以才......,,,,,,,,,,,,,,阿米娅,,,,,,,,,54,米莎小姐......我们是真的想帮助你，所以才......,ミーシャさん……本当に助けたいと思っているんです、そのために……,アーミヤ,True
character,,,,,,,,,,,,,,,char_002_amiya_1,char_012_misa_1,2,,,,,,,55,,,,False
name,我不相信你......,,,,,,,,,,,,,,米莎,,,,,,,,,56,我不相信你......,あなたを信じられない……,ミーシャ,True
name,龙门对待感染者，比对待罪犯还严苛！,,,,,,,,,,,,,,米莎,,,,,,,,,57,龙门对待感染者，比对待罪犯还严苛！,龍門は感染者を犯罪者以上に厳しく扱ってる！,ミーシャ,True
name,你凭什么，凭什么要帮助感染者？,,,,,,,,,,,,,,米莎,,,,,,,,,58,你凭什么，凭什么要帮助感染者？,あなたたちは、なぜ感染者を助けようとするの？,ミーシャ,True
character,,,,,,,,,,,,,,,char_002_amiya_1,char_012_misa_1,1,,,,,,,59,,,,False
name,......,,,,,,,,,,,,,,阿米娅,,,,,,,,,60,......,......,アーミヤ,True
character,,,,,,,,,,,,,,,char_002_amiya_1#4,char_012_misa_1,1,,,,,,,61,,,,False
name,——米莎小姐，你看......,,,,,,,,,,,,,,阿米娅,,,,,,,,,62,——米莎小姐，你看......,――ミーシャさん、見て……,アーミヤ,True
character,,,,,,,,,,,,,,,char_002_amiya_1#4,char_012_misa_1,2,,,,,,,63,,,,False
name,你在——干什么？,,,,,,,,,,,,,,米莎,,,,,,,,,64,你在——干什么？,あなた、――何をしてるの？,ミーシャ,True
character,,,,,,,,,,,,,,,char_002_amiya_1#4,char_012_misa_1,2,,,,,,,65,,,,False
name,......你......,,,,,,,,,,,,,,米莎,,,,,,,,,66,......你......,……あなた……,ミーシャ,True
name,......你的手......,,,,,,,,,,,,,,米莎,,,,,,,,,67,......你的手......,……あなたの手が……,ミーシャ,True
name,你也是......感染者？,,,,,,,,,,,,,,米莎,,,,,,,,,68,你也是......感染者？,あなたも……感染者なの？,ミーシャ,True
character,,,,,,,,,,,,,,,char_002_amiya_1#4,char_012_misa_1,1,,,,,,,69,,,,False
name,是的，我和你一样。,,,,,,,,,,,,,,阿米娅,,,,,,,,,70,是的，我和你一样。,はい、私もあなたと同じです。,アーミヤ,True
character,,,,,,,,,,,,,,,char_002_amiya_1#7,char_012_misa_1,1,,,,,,,71,,,,False
name,龙门贫民区藏匿着许多感染者......刚才的孩子们......她们很信任你。,,,,,,,,,,,,,,阿米娅,,,,,,,,,72,龙门贫民区藏匿着许多感染者......刚才的孩子们......她们很信任你。,龍門のスラムには多くの感染者が隠れていて……さっきの子供たちも……彼女たちはあなたをとても信頼しています。,アーミヤ,True
name,米莎，你已经让他们陷入了危险。,,,,,,,,,,,,,,阿米娅,,,,,,,,,73,米莎，你已经让他们陷入了危险。,ミーシャ、あなたはすでに彼女たちを危険にさらしてしまったんです。,アーミヤ,True
character,,,,,,,,,,,,,,,char_002_amiya_1#7,char_012_misa_1,2,,,,,,,74,,,,False
name,......你是想用孩子们威胁我吗？,,,,,,,,,,,,,,米莎,,,,,,,,,75,......你是想用孩子们威胁我吗？,……子供たちを使って私を脅すつもり？,ミーシャ,True
character,,,,,,,,,,,,,,,char_002_amiya_1#7,char_012_misa_1,1,,,,,,,76,,,,False
name,不，我不会。但已经有人这么做了......,,,,,,,,,,,,,,阿米娅,,,,,,,,,77,不，我不会。但已经有人这么做了......,いいえ、私はそんなことしません。でも、もう誰かがそうしてるんです……,アーミヤ,True
name,罗德岛刚刚赶走过一批胁迫孩子们的人。,,,,,,,,,,,,,,阿米娅,,,,,,,,,78,罗德岛刚刚赶走过一批胁迫孩子们的人。,ロドスはさっき、子供たちを脅していた人たちを追い払いました。,アーミヤ,True
character,,,,,,,,,,,,,,,char_002_amiya_1#7,char_012_misa_1,2,,,,,,,79,,,,False
name,.......！,,,,,,,,,,,,,,米莎,,,,,,,,,80,.......！,.......！,ミーシャ,True
character,,,,,,,,,,,,,,,char_002_amiya_1#7,char_012_misa_1,1,,,,,,,81,,,,False
name,龙门同样也在搜查感染者。等到龙门发现你的话，可能就晚了。,,,,,,,,,,,,,,阿米娅,,,,,,,,,82,龙门同样也在搜查感染者。等到龙门发现你的话，可能就晚了。,龍門もまた感染者を捜索しています。もし見つかったら、手遅れかもしれません。,アーミヤ,True
name,我们想通过你把暴徒们从孩子们身边引开——,,,,,,,,,,,,,,阿米娅,,,,,,,,,83,我们想通过你把暴徒们从孩子们身边引开——,あなたを使って暴徒たちを子供たちから遠ざけたい――,アーミヤ,True
name,另一方面，我们也可以保护你，让你不受伤害。,,,,,,,,,,,,,,阿米娅,,,,,,,,,84,另一方面，我们也可以保护你，让你不受伤害。,その一方で、私たちはあなたも守ることができます。,アーミヤ,True
character,,,,,,,,,,,,,,,char_002_amiya_1#7,char_012_misa_1,2,,,,,,,85,,,,False
name,......你知道他们为什么抓我？,,,,,,,,,,,,,,米莎,,,,,,,,,86,......你知道他们为什么抓我？,……あなたは彼らがなぜ私を捕まえようとしているか知ってるの？,ミーシャ,True
name,你们......又为什么要保护我？,,,,,,,,,,,,,,米莎,,,,,,,,,87,你们......又为什么要保护我？,あなたたちは……どうして私を守るの？,ミーシャ,True
