command,text_orig,key,is_skippable,fit_mode,image,width,height,fadetime,screenadapt,intro,volume,crossfade,delay,time,name,a,initr,r,g,b,block,name2,focus,xScale,yScale,x,y,xScaleTo,yScaleTo,duration,xTo,yTo,ease,index,text,jp_text,jp_name,text_match
header,第十七关（前）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,False
background,,,,,bg_indoor_2,1,1,1,coverall,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,False
playmusic,,$mist_loop,,,,,,,,$mist_loop,0.8,1.5,0.5,,,,,,,,,,,,,,,,,,,,,2,,,,False
delay,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,3,,,,False
character,,,,,,,,,,,,,,,char_102_texas_1,,,,,,,,,,,,,,,,,,,4,,,,False
name,......,,,,,,,,,,,,,,德克萨斯,,,,,,,,,,,,,,,,,,,5,......,……,テキサス,True
name,罗德岛，好慢。,,,,,,,,,,,,,,德克萨斯,,,,,,,,,,,,,,,,,,,6,罗德岛，好慢。,ロドス、遅いよ。,テキサス,True
name,——哦——,,,,,,,,,,,,,,德克萨斯,,,,,,,,,,,,,,,,,,,7,——哦——,——ああ——,テキサス,True
delay,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,8,,,,False
character,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,False
playsound,,$d_gen_soldiersrun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,False
character,,,,,,,,,,,,,,,char_1002_nsabr_2,,,,,,,,,,,,,,,,,,,11,,,,False
name,快到截击地点了！,,,,,,,,,,,,,,整合运动,,,,,,,,,,,,,,,,,,,12,快到截击地点了！,もうすぐ迎撃地点だ！,レユニオン,True
character,,,,,,,,,,,,,,,char_102_texas_1,,,,,,,,,,,,,,,,,,,13,,,,False
name,啧，终于......明明刚打开包装。,,,,,,,,,,,,,,德克萨斯,,,,,,,,,,,,,,,,,,,14,啧，终于......明明刚打开包装。,ちっ、やっと……せっかく開けたばかりなのに。,テキサス,True
name,浪费。,,,,,,,,,,,,,,德克萨斯,,,,,,,,,,,,,,,,,,,15,浪费。,無駄だな。,テキサス,True
