command,text_orig,key,is_skippable,fit_mode,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,name2,focus,a,initr,r,g,b,block,widgetID,style,fadestyle,offsetx,duration,xstrength,ystrength,vibrato,randomness,fadeout,screenadapt,options,values,references,option_number,index,text,jp_text,jp_name,text_match
header,第十七关（后）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,False
background,,,,,bg_indoor_2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,False
playmusic,,$mist_loop,,,,,,,$mist_loop,0.8,1.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,False
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0,3,,,,False
character,,,,,,,,,,,,,,char_106_franka_1,,,,,,,,,,,,,,,,,,,,,,,0,4,,,,False
name,阿米娅！走！,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,,,,,0,5,阿米娅！走！,アーミヤ！行くよ！,フランカ,True
character,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,,0,6,,,,False
name,米莎小姐！请跟上！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,0,7,米莎小姐！请跟上！,ミーシャさん！ついてきて！,アーミヤ,True
character,,,,,,,,,,,,,,char_012_misa_1#4,,,,,,,,,,,,,,,,,,,,,,,0,8,,,,False
name,......怎么......会......,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,,,0,9,......怎么......会......,……どうして……こうなって……,ミーシャ,True
character,,,,,,,,,,,,,,char_102_texas_1,,,,,,,,,,,,,,,,,,,,,,,0,10,,,,False
name,这边，快！,,,,,,,,,,,,,德克萨斯,,,,,,,,,,,,,,,,,,,,,,,0,11,这边，快！,こっちだ、急いで！,テキサス,True
character,,,,,,,,,,,,,,char_106_franka_1,,,,,,,,,,,,,,,,,,,,,,,0,12,,,,False
name,区域clear！小心敌方追击！,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,,,,,0,13,区域clear！小心敌方追击！,エリアクリア！敵の追撃に注意して！,フランカ,True
character,,,,,,,,,,,,,,char_002_amiya_1,char_012_misa_1#4,2,,,,,,,,,,,,,,,,,,,,,0,14,,,,False
name,......,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,,,0,15,......,……,ミーシャ,True
name,他们也是......？,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,,,0,16,他们也是......？,彼らも……？,ミーシャ,True
character,,,,,,,,,,,,,,char_002_amiya_1,char_012_misa_1#4,1,,,,,,,,,,,,,,,,,,,,,0,17,,,,False
name,......是。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,0,18,......是。,……そうです。,アーミヤ,True
name,整合运动......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,0,19,整合运动......,レユニオン……,アーミヤ,True
name,他们确实是......感染者。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,0,20,他们确实是......感染者。,彼らは確かに……感染者です。,アーミヤ,True
character,,,,,,,,,,,,,,char_012_misa_1#4,,,,,,,,,,,,,,,,,,,,,,,0,21,,,,False
name,......,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,,,0,22,......,……,ミーシャ,True
name,为什么？,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,,,0,23,为什么？,なぜ？,ミーシャ,True
name,为什么感染者之间要......,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,,,,,0,24,为什么感染者之间要......,なぜ感染者同士で……,ミーシャ,True
blocker,,,,,,,,0.6,,,,,,,,,1,2,0,0,0,true,,,,,,,,,,,,,,,0,25,,,,False
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,26,,,,False
blocker,,,,,,,,0.6,,,,,,,,,0,,,,,true,,,,,,,,,,,,,,,0,27,,,,False
character,,,,,,,,,,,,,,char_1500_skulsr,,,,,,,,,,,,,,,,,,,,,,,0,28,,,,False
name,......,,,,,,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,,,,,,0,29,......,……,スカルシュレッダー,True
character,,,,,,,,,,,,,,char_1002_nsabr_2,,,,,,,,,,,,,,,,,,,,,,,0,30,,,,False
name,碎骨......,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,0,31,碎骨......,スカルシュレッダー……,レユニオンメンバー,True
name,你......你放他们逃了？,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,0,32,你......你放他们逃了？,お前……彼らを逃がしたのか？,レユニオンメンバー,True
character,,,,,,,,,,,,,,char_1500_skulsr,char_1002_nsabr_2,1,,,,,,,,,,,,,,,,,,,,,0,33,,,,False
name,没关系......,,,,,,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,,,,,,0,34,没关系......,構わない……,スカルシュレッダー,True
name,他们逃不了。,,,,,,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,,,,,,0,35,他们逃不了。,あいつらは逃げられない。,スカルシュレッダー,True
name,......但我找到她了——不，不......,,,,,,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,,,,,,0,36,......但我找到她了——不，不......,……だが、俺は彼女を見つけた―いや、違う……,スカルシュレッダー,True
name,我是......等到她......,,,,,,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,,,,,,0,37,我是......等到她......,俺は……彼女を待つ……,スカルシュレッダー,True
character,,,,,,,,,,,,,,char_1500_skulsr,char_1002_nsabr_2,2,,,,,,,,,,,,,,,,,,,,,0,38,,,,False
name,......,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,0,39,......,……,レユニオンメンバー,True
blocker,,,,,,,,0.6,,,,,,,,,1,2,0,0,0,true,,,,,,,,,,,,,,,0,40,,,,False
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,41,,,,False
blocker,,,,,,,,0.6,,,,,,,,,0,,,,,true,,,,,,,,,,,,,,,0,42,,,,False
character,,,,,,,,,,,,,,char_102_texas_1,char_106_franka_1,1,,,,,,,,,,,,,,,,,,,,,0,43,,,,False
name,我们到了。,,,,,,,,,,,,,德克萨斯,,,,,,,,,,,,,,,,,,,,,,,0,44,我们到了。,着いたぞ。,テキサス,True
character,,,,,,,,,,,,,,char_102_texas_1,char_106_franka_1,2,,,,,,,,,,,,,,,,,,,,,0,45,,,,False
name,——你认真的？,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,,,,,0,46,——你认真的？,――本気なの？,フランカ,True
character,,,,,,,,,,,,,,char_102_texas_1,char_106_franka_1,1,,,,,,,,,,,,,,,,,,,,,0,47,,,,False
name,标记是这么写的。,,,,,,,,,,,,,德克萨斯,,,,,,,,,,,,,,,,,,,,,,,0,48,标记是这么写的。,標識にはそう書いてある。,テキサス,True
character,,,,,,,,,,,,,,char_106_franka_1,,,,,,,,,,,,,,,,,,,,,,,0,49,,,,False
name,可这......这是向上啊？,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,,,,,0,50,可这......这是向上啊？,でもこれ……上方向だよ？,フランカ,True
name,纵向移动，真的会有用吗？,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,,,,,0,51,纵向移动，真的会有用吗？,縦移動、本当に意味ある？,フランカ,True
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,52,,,,False
charactercutin,,,,,,200,,0.5,,,,,,char_103_angel_1,,,,,,,,true,1,cutin,horiz_expand_center,0,,,,,,,,,,,0,53,,,,False
name,阿米娅，阿米娅！上来，对对，就是上面！,,,,,,,,,,,,,能天使,,,,,,,,,,,,,,,,,,,,,,,0,54,阿米娅，阿米娅！上来，对对，就是上面！,アーミヤ、アーミヤ！上に来て、そうそう、上に！,エクシア,True
charactercutin,,,,,,,,0.5,,,,,,,,,,,,,,true,1,,,,,,,,,,,,,,0,55,,,,False
character,,,,,,,,,,,,,,char_002_amiya_1#6,,,,,,,,,,,,,,,,,,,,,,,0,56,,,,False
name,——能天使！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,0,57,——能天使！,――エクシア！,アーミヤ,True
name,你......确定吗？,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,0,58,你......确定吗？,あなた……本当に大丈夫？,アーミヤ,True
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,59,,,,False
charactercutin,,,,,,200,,0.5,,,,,,char_103_angel_1,,,,,,,,true,1,cutin,horiz_expand_center,0,,,,,,,,,,,0,60,,,,False
name,相信我，不会有错的~,,,,,,,,,,,,,能天使,,,,,,,,,,,,,,,,,,,,,,,0,61,相信我，不会有错的~,信じて、間違いないよ～,エクシア,True
name,龙门的路，我实在是太熟啦！,,,,,,,,,,,,,能天使,,,,,,,,,,,,,,,,,,,,,,,0,62,龙门的路，我实在是太熟啦！,龍門の道なら、私めっちゃ詳しいんだよ！,エクシア,True
charactercutin,,,,,,,,0.5,,,,,,,,,,,,,,true,1,,,,,,,,,,,,,,0,63,,,,False
character,,,,,,,,,,,,,,char_002_amiya_1#5,,,,,,,,,,,,,,,,,,,,,,,0,64,,,,False
name,啊哈......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,0,65,啊哈......,あはは……,アーミヤ,True
character,,,,,,,,,,,,,,char_102_texas_1,,,,,,,,,,,,,,,,,,,,,,,0,66,,,,False
name,爬楼吧。,,,,,,,,,,,,,德克萨斯,,,,,,,,,,,,,,,,,,,,,,,0,67,爬楼吧。,階段を登ろう。,テキサス,True
character,,,,,,,,,,,,,,char_106_franka_1,,,,,,,,,,,,,,,,,,,,,,,0,68,,,,False
name,这岂不是......等着敌人来包围我们？,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,,,,,0,69,这岂不是......等着敌人来包围我们？,これって……敵が包囲しに来るのを待ってるみたいじゃない？,フランカ,True
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,70,,,,False
name,快点，要是被整合运动发现就真的难说了！,,,,,,,,,,,,,能天使,,,,,,,,,,,,,,,,,,,,,,,0,71,快点，要是被整合运动发现就真的难说了！,早く！レユニオンに見つかったら大変だよ！,エクシア,True
character,,,,,,,,,,,,,,char_106_franka_1,,,,,,,,,,,,,,,,,,,,,,,0,72,,,,False
name,啧，等等，你们先进去......,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,,,,,0,73,啧，等等，你们先进去......,ちっ、待って、君たち先に入って……,フランカ,True
name,我会焊死入口处的大门，堵住整合运动。,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,,,,,0,74,我会焊死入口处的大门，堵住整合运动。,私が入口のドアを溶接して、レユニオンを塞ぐよ。,フランカ,True
camerashake,,,,,,,,,,,,,,,,,,,,,,true,,,,,1,8,10,30,90,true,,,,,0,75,,,,False
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,76,,,,False
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0,77,,,,False
character,,,,,,,,,,,,,,char_002_amiya_1#6,,,,,,,,,,,,,,,,,,,,,,,0,78,,,,False
name,这里楼梯的墙上，有一个企鹅的标记，是这里吗？,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,0,79,这里楼梯的墙上，有一个企鹅的标记，是这里吗？,ここ、階段の壁にペンギンのマークがあるけど、ここ？,アーミヤ,True
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80,,,,False
name,没错，前方左转，沿着楼梯向上。,,,,,,,,,,,,,能天使,,,,,,,,,,,,,,,,,,,,,,,0,81,没错，前方左转，沿着楼梯向上。,そうそう、前で左に曲がって、階段を上がって。,エクシア,True
character,,,,,,,,,,,,,,char_002_amiya_1#2,,,,,,,,,,,,,,,,,,,,,,,0,82,,,,False
name,进入建筑——,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,0,83,进入建筑——,建物に入る――,アーミヤ,True
name,我们不是要从地下走吗？,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,0,84,我们不是要从地下走吗？,地下から行くんじゃなかったの？,アーミヤ,True
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,85,,,,False
