command,text_orig,key,is_skippable,fit_mode,name,image,width,height,fadetime,intro,volume,crossfade,delay,time,name2,focus,duration,xstrength,ystrength,vibrato,randomness,fadeout,block,widgetID,style,fadestyle,offsetx,index,text,jp_text,jp_name,text_match
header,第十八关（后）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,0,,,,False
name,到了。,,,,德克萨斯,,,,,,,,,,,,,,,,,,,,,,,1,到了。,着いた。,テキサス,True
background,,,,,,bg_lungmen_b,1,1,1,,,,,,,,,,,,,,,,,,,2,,,,False
playmusic,,$loading_loop,,,,,,,,$loading_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,3,,,,False
delay,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,False
character,,,,,char_002_amiya_1#6,,,,,,,,,,,,,,,,,,,,,,,5,,,,False
name,——？！,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,6,——？！,——？！,アーミヤ,True
name,还要上天台吗？,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,7,还要上天台吗？,まだ屋上に行くの？,アーミヤ,True
name,......这道门，这道门是锁着的。,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,8,......这道门，这道门是锁着的。,……このドア、このドアは鍵がかかってる。,アーミヤ,True
character,,,,,char_002_amiya_1,,,,,,,,,,char_107_liskam_1,2,,,,,,,,,,,,9,,,,False
name,退后，让我用法术把门锁——,,,,雷蛇,,,,,,,,,,,,,,,,,,,,,,,10,退后，让我用法术把门锁——,下がって、魔法で鍵を開ける——,レイズ,True
character,,,,,char_102_texas_1,,,,,,,,,,char_107_liskam_1,1,,,,,,,,,,,,11,,,,False
name,......,,,,德克萨斯,,,,,,,,,,,,,,,,,,,,,,,12,......,……,テキサス,True
name,用不着吧。,,,,德克萨斯,,,,,,,,,,,,,,,,,,,,,,,13,用不着吧。,必要ないだろ。,テキサス,True
playsound,,$e_atk_blunt_n,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,False
camerashake,,,,,,,,,,,,,,,,,1,5,3,30,90,true,true,,,,,15,,,,False
name,踹开就得了。,,,,德克萨斯,,,,,,,,,,,,,,,,,,,,,,,16,踹开就得了。,蹴り飛ばせばいい。,テキサス,True
character,,,,,char_102_texas_1,,,,,,,,,,char_107_liskam_1,2,,,,,,,,,,,,17,,,,False
name,......,,,,雷蛇,,,,,,,,,,,,,,,,,,,,,,,18,......,……,レイズ,True
character,,,,,char_106_franka_1,,,,,,,,,,char_107_liskam_1,1,,,,,,,,,,,,19,,,,False
name,雷蛇，多学学。,,,,芙兰卡,,,,,,,,,,,,,,,,,,,,,,,20,雷蛇，多学学。,レイズ、もっと学ばないとね。,フランカ,True
character,,,,,char_106_franka_1,,,,,,,,,,char_107_liskam_1,2,,,,,,,,,,,,21,,,,False
name,各有各的风格不行吗？！,,,,雷蛇,,,,,,,,,,,,,,,,,,,,,,,22,各有各的风格不行吗？！,それぞれ自分のやり方じゃ駄目なの？！,レイズ,True
character,,,,,char_002_amiya_1,,,,,,,,,,,,,,,,,,,,,,,23,,,,False
name,......前面是屋顶。,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,24,......前面是屋顶。,……前は屋上だ。,アーミヤ,True
character,,,,,char_002_amiya_1#6,,,,,,,,,,,,,,,,,,,,,,,25,,,,False
name,我大概明白了......,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,26,我大概明白了......,なんとなく分かってきた……,アーミヤ,True
character,,,,,,,,,0,,,,,,,,,,,,,,,,,,,27,,,,False
charactercutin,,,,,char_103_angel_1,,200,,0.5,,,,,,,,,,,,,,true,1,cutin,horiz_expand_center,0,28,,,,False
name,阿米娅，那边！从那边就能到另外一边！,,,,能天使,,,,,,,,,,,,,,,,,,,,,,,29,阿米娅，那边！从那边就能到另外一边！,アーミヤ、こっち！こっちから向こうに行ける！,エクシア,True
charactercutin,,,,,,,,,0.5,,,,,,,,,,,,,,true,1,,,,30,,,,False
character,,,,,char_002_amiya_1#6,,,,,,,,,,,,,,,,,,,,,,,31,,,,False
name,“那边”是哪......你是说我们可以从——,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,32,“那边”是哪......你是说我们可以从——,「こっち」ってどこ……つまり私たち、ここから——,アーミヤ,True
name,从楼顶转移？,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,33,从楼顶转移？,屋上から移動するの？,アーミヤ,True
character,,,,,,,,,0,,,,,,,,,,,,,,,,,,,34,,,,False
name,Bingo——！,,,,能天使,,,,,,,,,,,,,,,,,,,,,,,35,Bingo——！,ビンゴ——！,エクシア,True
name,谁能想到呢！万无一失了是不是！,,,,能天使,,,,,,,,,,,,,,,,,,,,,,,36,谁能想到呢！万无一失了是不是！,誰も思いつかないよね！完璧だろ？,エクシア,True
name,龙门啊，可是一座有着很多秘密的好——,,,,能天使,,,,,,,,,,,,,,,,,,,,,,,37,龙门啊，可是一座有着很多秘密的好——,龍門だもんね、秘密がいっぱいある町さ——,エクシア,True
playsound,,$d_gen_soldiersrun,,,,,,,,,0.7,,,,,,,,,,,,,,,,,38,,,,False
camerashake,,,,,,,,,,,,,,,,,1,5,3,30,90,true,true,,,,,39,,,,False
charactercutin,,,,,char_1002_nsabr_2,,200,,0.5,,,,,,,,,,,,,,true,1,cutin,horiz_expand_center,-200,40,,,,False
name,别想跑——！,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,41,别想跑——！,逃がさないぞ——！,レユニオンメンバー,True
charactercutin,,,,,,,,,0.5,,,,,,,,,,,,,,true,1,,,,42,,,,False
delay,,,,,,,,,,,,,,1,,,,,,,,,,,,,,43,,,,False
character,,,,,,,,,0,,,,,,,,,,,,,,,,,,,44,,,,False
charactercutin,,,,,char_103_angel_1,,200,,0.5,,,,,,,,,,,,,,true,1,cutin,horiz_expand_center,200,45,,,,False
name,......咦？这什么呀？！,,,,能天使,,,,,,,,,,,,,,,,,,,,,,,46,......咦？这什么呀？！,……え？これ何？！,エクシア,True
charactercutin,,,,,,,,,0.5,,,,,,,,,,,,,,true,1,,,,47,,,,False
character,,,,,char_002_amiya_1#6,,,,,,,,,,,,,,,,,,,,,,,48,,,,False
name,......,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,49,......,……,アーミヤ,True
name,能天使，敌人也用意想不到的方式出场了......,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,50,能天使，敌人也用意想不到的方式出场了......,エクシア、敵も予想外の登場の仕方をしてきたね……,アーミヤ,True
character,,,,,char_106_franka_1,,,,,,,,,,,,,,,,,,,,,,,51,,,,False
name,我已经堵住了入口，怎么会——,,,,芙兰卡,,,,,,,,,,,,,,,,,,,,,,,52,我已经堵住了入口，怎么会——,入り口はもう塞いだはずなのに、なんで——,フランカ,True
character,,,,,char_002_amiya_1,,,,,,,,,,,,,,,,,,,,,,,53,,,,False
name,难道是从附近的建筑里......,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,54,难道是从附近的建筑里......,もしかして近くの建物から……,アーミヤ,True
name,他们背着的喷气背包虽然比较简陋，但是好像完全不影响使用。,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,55,他们背着的喷气背包虽然比较简陋，但是好像完全不影响使用。,彼らの背負っているジェットパックは簡素だけど、使うのには全く問題なさそう。,アーミヤ,True
name,要是让他们从没有设防的地方进来的话，就不妙了......,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,56,要是让他们从没有设防的地方进来的话，就不妙了......,無防備なところから入られたら大変だ……,アーミヤ,True
character,,,,,,,,,0,,,,,,,,,,,,,,,,,,,57,,,,False
name,切，等着，我马上去救你们。,,,,能天使,,,,,,,,,,,,,,,,,,,,,,,58,切，等着，我马上去救你们。,チッ、待ってて、すぐ助けに行くよ。,エクシア,True
character,,,,,char_106_franka_1,,,,,,,,,,,,,,,,,,,,,,,59,,,,False
name,那就麻烦你动作快些了，拉特兰的救世主小姐。,,,,芙兰卡,,,,,,,,,,,,,,,,,,,,,,,60,那就麻烦你动作快些了，拉特兰的救世主小姐。,それなら早くしてね、ラテラーノの救世主さん。,フランカ,True
character,,,,,char_107_liskam_1,,,,,,,,,,,,,,,,,,,,,,,61,,,,False
name,重装小队，防御阵型！快！,,,,雷蛇,,,,,,,,,,,,,,,,,,,,,,,62,重装小队，防御阵型！快！,重装小隊、防御陣形！急げ！,レイズ,True
character,,,,,char_102_texas_1,,,,,,,,,,,,,,,,,,,,,,,63,,,,False
name,......上了。,,,,德克萨斯,,,,,,,,,,,,,,,,,,,,,,,64,......上了。,……行くぞ。,テキサス,True
character,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,,65,,,,False
name,大家，掩护先锋！,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,66,大家，掩护先锋！,みんな、前衛を援護して！,アーミヤ,True
delay,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,67,,,,False
blocker,,,,,,,,,,,,,,,,,,,,,,,true,,,,,68,,,,False
