command,text_orig,key,is_skippable,fit_mode,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,name2,focus,a,initr,r,g,b,block,duration,xstrength,ystrength,vibrato,randomness,fadeout,index,text,jp_text,jp_name,text_match
header,第十八关（后）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,False
background,,,,,bg_lungmen_b,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,False
playmusic,,$loading_loop,,,,,,,$loading_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,,,2,,,,False
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,,False
character,,,,,,,,,,,,,,char_102_texas_1,char_103_angel_1,2,,,,,,,,,,,,,4,,,,False
name,......说好让我表现一下的呢。,,,,,,,,,,,,,能天使,,,,,,,,,,,,,,,5,......说好让我表现一下的呢。,……活躍するって話だったのにね。,エクシア,True
character,,,,,,,,,,,,,,char_102_texas_1,char_103_angel_1,1,,,,,,,,,,,,,6,,,,False
name,你太慢了。,,,,,,,,,,,,,德克萨斯,,,,,,,,,,,,,,,7,你太慢了。,君は遅すぎる。,テキサス,True
character,,,,,,,,,,,,,,char_002_amiya_1#2,,,,,,,,,,,,,,,8,,,,False
name,大家都平安无事就好了。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,9,大家都平安无事就好了。,みんな無事でよかったです。,アーミヤ,True
name,我们该转移了。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,10,我们该转移了。,私たちは移動しなければなりません。,アーミヤ,True
name,从东边这座建筑物向下逐层移动吧，整合运动不会知道我们在哪里的。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,11,从东边这座建筑物向下逐层移动吧，整合运动不会知道我们在哪里的。,東側の建物から下の階へ一つずつ移動しましょう。統合運動には私たちの居場所がわかりません。,アーミヤ,True
blocker,,,,,,,,0.6,,,,,,,,,1,2,0,0,0,true,,,,,,,12,,,,False
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,13,,,,False
blocker,,,,,,,,0.6,,,,,,,,,0,,,,,true,,,,,,,14,,,,False
character,,,,,,,,,,,,,,char_002_amiya_1,char_012_misa_1,2,,,,,,,,,,,,,15,,,,False
name,......我们......安全了吗？,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,16,......我们......安全了吗？,……私たち……安全ですか？,ミーシャ,True
character,,,,,,,,,,,,,,char_002_amiya_1#2,char_012_misa_1,1,,,,,,,,,,,,,17,,,,False
name,是的......暂时。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,18,是的......暂时。,ええ……今のところは。,アーミヤ,True
character,,,,,,,,,,,,,,char_002_amiya_1#4,char_012_misa_1,1,,,,,,,,,,,,,19,,,,False
name,......你脸色不太好。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,20,......你脸色不太好。,……顔色がよくありませんよ。,アーミヤ,True
character,,,,,,,,,,,,,,char_002_amiya_1#4,char_012_misa_1,2,,,,,,,,,,,,,21,,,,False
name,......我......有一点头晕。,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,22,......我......有一点头晕。,……私……少しめまいがします。,ミーシャ,True
name,没......什么。,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,23,没......什么。,いえ……大丈夫です。,ミーシャ,True
character,,,,,,,,,,,,,,char_002_amiya_1,char_012_misa_1,1,,,,,,,,,,,,,24,,,,False
name,你来龙门......多长时间了，米莎小姐？,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,25,你来龙门......多长时间了，米莎小姐？,あなたは龍門に……どれくらいいますか、ミーシャさん？,アーミヤ,True
character,,,,,,,,,,,,,,char_002_amiya_1,char_012_misa_1,2,,,,,,,,,,,,,26,,,,False
name,一个星期......吧。,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,27,一个星期......吧。,一週間……くらいです。,ミーシャ,True
character,,,,,,,,,,,,,,char_002_amiya_1,char_012_misa_1,1,,,,,,,,,,,,,28,,,,False
name,一个星期......？,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,29,一个星期......？,一週間……？,アーミヤ,True
character,,,,,,,,,,,,,,char_002_amiya_1,char_012_misa_1,2,,,,,,,,,,,,,30,,,,False
name,嗯......城市里......出现了很多怪人......然后就......,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,31,嗯......城市里......出现了很多怪人......然后就......,うん……街に……変な人がたくさん現れて……それから……,ミーシャ,True
name,我不知道发生了什么......大家都开始跑......我也......,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,32,我不知道发生了什么......大家都开始跑......我也......,何が起きたのかわからない……みんな走り出して……私も……,ミーシャ,True
character,,,,,,,,,,,,,,char_002_amiya_1#4,char_012_misa_1,1,,,,,,,,,,,,,33,,,,False
name,是整合运动......整合运动攻击了切尔诺伯格。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,34,是整合运动......整合运动攻击了切尔诺伯格。,それは統合運動……統合運動がチェルノボーグを襲撃しました。,アーミヤ,True
character,,,,,,,,,,,,,,char_002_amiya_1#4,char_012_misa_1,2,,,,,,,,,,,,,35,,,,False
name,我不知道。,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,36,我不知道。,わかりません。,ミーシャ,True
character,,,,,,,,,,,,,,char_002_amiya_1,char_012_misa_1,1,,,,,,,,,,,,,37,,,,False
name,你......之前是感染者吗？,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,38,你......之前是感染者吗？,あなた……以前から感染者でしたか？,アーミヤ,True
character,,,,,,,,,,,,,,char_002_amiya_1,char_012_misa_1,2,,,,,,,,,,,,,39,,,,False
name,我......不知道......,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,40,我......不知道......,私……わかりません……,ミーシャ,True
name,但就是那几天，腿上......长出了这个。,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,41,但就是那几天，腿上......长出了这个。,でもあの日数の間に、足に……これができました。,ミーシャ,True
name,......我......,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,42,......我......,……私……,ミーシャ,True
name,......,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,43,......,……,ミーシャ,True
camerashake,,,,,,,,,,,,,,,,,,,,,,true,1,5,3,30,90,true,44,,,,False
character,,,,,,,,,,,,,,char_002_amiya_1#6,,,,,,,,,,,,,,,45,,,,False
name,......米莎？米莎？！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,46,......米莎？米莎？！,……ミーシャ？ミーシャ？！,アーミヤ,True
character,,,,,,,,,,,,,,char_002_amiya_1#5,,,,,,,,,,,,,,,47,,,,False
name,医疗！医疗小队！！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,48,医疗！医疗小队！！,医療班！医療班！！,アーミヤ,True
delay,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,49,,,,False
blocker,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,50,,,,False
