command,text_orig,key,is_skippable,fit_mode,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,name2,focus,duration,xstrength,ystrength,vibrato,randomness,fadeout,block,a,initr,r,g,b,index,text,jp_text,jp_name,text_match
header,第十九关（前）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,False
background,,,,,bg_lungmen_b,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,False
playmusic,,$loading_loop,,,,,,,$loading_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,,,2,,,,False
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,,False
character,,,,,,,,,,,,,,char_012_misa_1,,,,,,,,,,,,,,,4,,,,False
name,呜唔......,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,5,呜唔......,ううっ……,ミーシャ,True
character,,,,,,,,,,,,,,char_002_amiya_1#4,char_103_angel_1,2,,,,,,,,,,,,,6,,,,False
name,她......怎么了？,,,,,,,,,,,,,能天使,,,,,,,,,,,,,,,7,她......怎么了？,彼女……どうしたの？,エクシア,True
character,,,,,,,,,,,,,,char_002_amiya_1#4,char_103_angel_1,1,,,,,,,,,,,,,8,,,,False
name,这，这是矿石病发作的征兆！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,9,这，这是矿石病发作的征兆！,こ、これは鉱石病の発作の兆候です！,アーミヤ,True
name,啧，才一星期就......！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,10,啧，才一星期就......！,ちっ、たった一週間で……！,アーミヤ,True
character,,,,,,,,,,,,,,char_002_amiya_1#4,char_107_liskam_1,2,,,,,,,,,,,,,11,,,,False
name,矿石病也有急性的吗？,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,12,矿石病也有急性的吗？,鉱石病にも急性があるのか？,レイズ,True
character,,,,,,,,,,,,,,char_106_franka_1,char_107_liskam_1,2,,,,,,,,,,,,,13,,,,False
name,芙兰卡，你是哪种？,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,14,芙兰卡，你是哪种？,フランカ、お前はどっちなんだ？,レイズ,True
character,,,,,,,,,,,,,,char_106_franka_1,char_107_liskam_1,1,,,,,,,,,,,,,15,,,,False
name,怎么，关心我了吗？,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,16,怎么，关心我了吗？,どうしたの、心配してくれてるの？,フランカ,True
character,,,,,,,,,,,,,,char_106_franka_1,char_107_liskam_1,2,,,,,,,,,,,,,17,,,,False
name,阿米娅，如果芙兰卡病逝了，我希望能在罗德岛火化她。,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,18,阿米娅，如果芙兰卡病逝了，我希望能在罗德岛火化她。,アーミヤ、もしフランカが病死したら、ロドスで火葬してやりたいんだ。,レイズ,True
character,,,,,,,,,,,,,,char_106_franka_1,char_107_liskam_1,1,,,,,,,,,,,,,19,,,,False
name,喂！,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,20,喂！,おい！,フランカ,True
