command,text_orig,key,is_skippable,fit_mode,image,width,height,fadetime,screenadapt,intro,volume,crossfade,delay,time,name,a,initr,r,g,b,block,name2,focus,index,text,jp_text,jp_name,text_match
header,第十九关（后）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,0,,,,False
background,,,,,bg_lungmen_b,1,1,1,coverall,,,,,,,,,,,,,,,1,,,,False
playmusic,,$loading_loop,,,,,,,,$loading_intro,0.8,1.5,0.5,,,,,,,,,,,2,,,,False
delay,,,,,,,,,,,,,,1,,,,,,,,,,3,,,,False
name,谢谢，谢谢你们......,,,,,,,,,,,,,,感染者,,,,,,,,,4,谢谢，谢谢你们......,ありがとう、ありがとう……,感染者,True
character,,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,5,,,,False
name,这里不安全，快离开吧。,,,,,,,,,,,,,,阿米娅,,,,,,,,,6,这里不安全，快离开吧。,ここは安全じゃありません、早く離れてください。,アーミヤ,True
character,,,,,,,,0,,,,,,,,,,,,,,,,7,,,,False
name,离开......,,,,,,,,,,,,,,感染者,,,,,,,,,8,离开......,離れる……,感染者,True
name,我们......又能去哪里呢？,,,,,,,,,,,,,,感染者,,,,,,,,,9,我们......又能去哪里呢？,私たちは……これからどこに行けるんだろう？,感染者,True
name,我们把这里当成家......现在，什么都毁了......,,,,,,,,,,,,,,感染者,,,,,,,,,10,我们把这里当成家......现在，什么都毁了......,ここを家だと思っていたのに……今は、すべてが壊れてしまった……,感染者,True
character,,,,,,,,,,,,,,,char_002_amiya_1#4,,,,,,,,,11,,,,False
name,......抱歉。,,,,,,,,,,,,,,阿米娅,,,,,,,,,12,......抱歉。,……ごめんなさい。,アーミヤ,True
character,,,,,,,,0,,,,,,,,,,,,,,,,13,,,,False
name,你们......没有错。,,,,,,,,,,,,,,感染者,,,,,,,,,14,你们......没有错。,君たちは……悪くない。,感染者,True
name,没有错......,,,,,,,,,,,,,,感染者,,,,,,,,,15,没有错......,悪くない……,感染者,True
delay,,,,,,,,,,,,,,1,,,,,,,,,,16,,,,False
blocker,,,,,,,,0.6,,,,,,,,1,2,0,0,0,true,,,17,,,,False
character,,,,,,,,0,,,,,,,,,,,,,,,,18,,,,False
blocker,,,,,,,,0.6,,,,,,,,0,,,,,true,,,19,,,,False
character,,,,,,,,,,,,,,,char_102_texas_1,,,,,,,char_103_angel_1,2,20,,,,False
name,自称感染者救星的整合运动居然会攻击感染者。,,,,,,,,,,,,,,能天使,,,,,,,,,21,自称感染者救星的整合运动居然会攻击感染者。,自称“感染者の救い主”のレユニオンが、まさか感染者を攻撃するとは。,エンジェル,True
name,形象......是不是崩塌了呢。,,,,,,,,,,,,,,能天使,,,,,,,,,22,形象......是不是崩塌了呢。,イメージ……崩壊しちゃったのかな。,エンジェル,True
character,,,,,,,,,,,,,,,char_102_texas_1,,,,,,,char_103_angel_1,1,23,,,,False
name,但所谓整合运动的渗透，绝对不是自发的。,,,,,,,,,,,,,,德克萨斯,,,,,,,,,24,但所谓整合运动的渗透，绝对不是自发的。,でも、いわゆるレユニオンの浸透は、絶対に自発的なものじゃない。,テキサス,True
name,龙门一定有不少感染者，已经追随了整合运动。,,,,,,,,,,,,,,德克萨斯,,,,,,,,,25,龙门一定有不少感染者，已经追随了整合运动。,龍門にも既にレユニオンについていった感染者は少なくないはずだ。,テキサス,True
character,,,,,,,,,,,,,,,char_102_texas_1,,,,,,,char_103_angel_1,2,26,,,,False
name,唉，宁可相信整合运动也不相信罗德岛——,,,,,,,,,,,,,,能天使,,,,,,,,,27,唉，宁可相信整合运动也不相信罗德岛——,はぁ、レユニオンを信じても、ロドスを信じようとは思わない——,エンジェル,True
character,,,,,,,,,,,,,,,char_106_franka_1,,,,,,,char_103_angel_1,1,28,,,,False
name,罗德岛从来不开空头支票。,,,,,,,,,,,,,,芙兰卡,,,,,,,,,29,罗德岛从来不开空头支票。,ロドスは絶対に口約束だけはしない。,フランカ,True
name,整合运动给感染者的，哪怕只是些幻觉，都没问题。,,,,,,,,,,,,,,芙兰卡,,,,,,,,,30,整合运动给感染者的，哪怕只是些幻觉，都没问题。,レユニオンが感染者に与えるのは、たとえ幻でも、気にしない。,フランカ,True
name,感染者连幻觉都很难看得到啊。,,,,,,,,,,,,,,芙兰卡,,,,,,,,,31,感染者连幻觉都很难看得到啊。,感染者は、幻すらなかなか見られないのさ。,フランカ,True
name,即使是幻觉，大多数感染者也会不顾一切，伸手去抓那虚无缥缈的救命稻草吧。,,,,,,,,,,,,,,芙兰卡,,,,,,,,,32,即使是幻觉，大多数感染者也会不顾一切，伸手去抓那虚无缥缈的救命稻草吧。,幻だとしても、多くの感染者は必死にその儚い命綱を掴もうとするだろうな。,フランカ,True
name,又有谁会选择相信，从不忍心欺骗别人的小兔子呢？,,,,,,,,,,,,,,芙兰卡,,,,,,,,,33,又有谁会选择相信，从不忍心欺骗别人的小兔子呢？,誰が他人を騙すことができない優しい小兎を信じるだろうか？,フランカ,True
character,,,,,,,,,,,,,,,char_002_amiya_1#4,,,,,,,,,34,,,,False
name,......,,,,,,,,,,,,,,阿米娅,,,,,,,,,35,......,……,アーミヤ,True
character,,,,,,,,,,,,,,,char_012_misa_1#5,,,,,,,,,36,,,,False
name,......我相信。,,,,,,,,,,,,,,米莎,,,,,,,,,37,......我相信。,……私は信じる。,ミーシャ,True
character,,,,,,,,,,,,,,,char_002_amiya_1#6,,,,,,,,,38,,,,False
name,米莎......？,,,,,,,,,,,,,,阿米娅,,,,,,,,,39,米莎......？,ミーシャ……？,アーミヤ,True
character,,,,,,,,,,,,,,,char_012_misa_1,,,,,,,,,40,,,,False
name,唔......,,,,,,,,,,,,,,米莎,,,,,,,,,41,唔......,うっ……,ミーシャ,True
character,,,,,,,,,,,,,,,char_002_amiya_1#6,,,,,,,char_012_misa_1,1,42,,,,False
name,小心！你还不能随便走动！,,,,,,,,,,,,,,阿米娅,,,,,,,,,43,小心！你还不能随便走动！,気を付けて！まだ自由に動いたらダメです！,アーミヤ,True
character,,,,,,,,,,,,,,,char_002_amiya_1#6,,,,,,,char_012_misa_1,2,44,,,,False
name,是有点头昏......没关系的。,,,,,,,,,,,,,,米莎,,,,,,,,,45,是有点头昏......没关系的。,ちょっとふらふらするけど……大丈夫だよ。,ミーシャ,True
name,整合运动......还会追上来吧？,,,,,,,,,,,,,,米莎,,,,,,,,,46,整合运动......还会追上来吧？,レユニオン……まだ追ってくるよね？,ミーシャ,True
name,我不清楚他们的目的......,,,,,,,,,,,,,,米莎,,,,,,,,,47,我不清楚他们的目的......,彼らの目的はわからないけど……,ミーシャ,True
name,只是......,,,,,,,,,,,,,,米莎,,,,,,,,,48,只是......,でも……,ミーシャ,True
name,我们......走吧。,,,,,,,,,,,,,,米莎,,,,,,,,,49,我们......走吧。,私たち……行こう。,ミーシャ,True
name,阿米娅。,,,,,,,,,,,,,,米莎,,,,,,,,,50,阿米娅。,アーミヤ。,ミーシャ,True
character,,,,,,,,,,,,,,,char_002_amiya_1#3,,,,,,,char_012_misa_1,1,51,,,,False
name,——,,,,,,,,,,,,,,阿米娅,,,,,,,,,52,——,――,アーミヤ,True
character,,,,,,,,,,,,,,,char_002_amiya_1#2,,,,,,,char_012_misa_1,1,53,,,,False
name,我明白了。,,,,,,,,,,,,,,阿米娅,,,,,,,,,54,我明白了。,わかった。,アーミヤ,True
name,那我们就立刻动身。,,,,,,,,,,,,,,阿米娅,,,,,,,,,55,那我们就立刻动身。,それじゃあ、すぐに出発しましょう。,アーミヤ,True
name,很快，我们就能离开贫民区，与龙门近卫局会合了。,,,,,,,,,,,,,,阿米娅,,,,,,,,,56,很快，我们就能离开贫民区，与龙门近卫局会合了。,もうすぐスラムから脱出して、龍門近衛局と合流できます。,アーミヤ,True
name,谢谢你，米莎。,,,,,,,,,,,,,,阿米娅,,,,,,,,,57,谢谢你，米莎。,ありがとう、ミーシャ。,アーミヤ,True
character,,,,,,,,,,,,,,,char_002_amiya_1#3,,,,,,,char_012_misa_1,2,58,,,,False
name,不......,,,,,,,,,,,,,,米莎,,,,,,,,,59,不......,いいえ……,ミーシャ,True
name,该我......感谢你。,,,,,,,,,,,,,,米莎,,,,,,,,,60,该我......感谢你。,今度は……私があなたに感謝するよ。,ミーシャ,True
delay,,,,,,,,,,,,,,0.6,,,,,,,,,,61,,,,False
blocker,,,,,,,,,,,,,,,,,,,,,true,,,62,,,,False
