command,text_orig,key,is_skippable,fit_mode,screenadapt,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,name2,focus,a,initr,r,g,b,block,index,text,jp_text,jp_name,text_match
header,第二十关（前）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,0,,,,False
background,,,,,coverall,bg_lungmen_b,1,1,1,,,,,,,,,,,,,,,1,,,,False
playmusic,,$loading_loop,,,,,,,,$loading_intro,0.8,1.5,0.5,,,,,,,,,,,2,,,,False
delay,,,,,,,,,,,,,,1,,,,,,,,,,3,,,,False
character,,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,4,,,,False
name,芙兰卡，雷蛇，注意警戒四周。,,,,,,,,,,,,,,阿米娅,,,,,,,,,5,芙兰卡，雷蛇，注意警戒四周。,フランカ、レイズ、周囲の警戒を怠らないでください。,アーミヤ,True
name,我带米莎去见陈长官。,,,,,,,,,,,,,,阿米娅,,,,,,,,,6,我带米莎去见陈长官。,私がミーシャを連れてチェン長官に会いに行きます。,アーミヤ,True
character,,,,,,,,,,,,,,,char_012_misa_1,,,,,,,,,7,,,,False
name,......,,,,,,,,,,,,,,米莎,,,,,,,,,8,......,......,ミーシャ,True
character,,,,,,,,,,,,,,,char_010_chen_1,char_002_amiya_1,1,,,,,,,9,,,,False
name,你们又迟到了。,,,,,,,,,,,,,,陈,,,,,,,,,10,你们又迟到了。,また遅刻したな。,チェン,True
name,别给龙门增加多余的安全隐患。,,,,,,,,,,,,,,陈,,,,,,,,,11,别给龙门增加多余的安全隐患。,龍門に余計な安全リスクを増やさないで。,チェン,True
character,,,,,,,,,,,,,,,char_010_chen_1,char_002_amiya_1#7,2,,,,,,,12,,,,False
name,陈长官，整合运动多次袭击我们的护送队。,,,,,,,,,,,,,,阿米娅,,,,,,,,,13,陈长官，整合运动多次袭击我们的护送队。,チェン長官、レユニオンが何度も私たちの護衛隊を襲撃してきました。,アーミヤ,True
name,而现在，敌人仍在我们周围徘徊。,,,,,,,,,,,,,,阿米娅,,,,,,,,,14,而现在，敌人仍在我们周围徘徊。,そして今も、敵は私たちの周りをうろついています。,アーミヤ,True
name,这里并不安全，请赶快带米莎离开。,,,,,,,,,,,,,,阿米娅,,,,,,,,,15,这里并不安全，请赶快带米莎离开。,ここは安全ではありません、早くミーシャを連れて行ってください。,アーミヤ,True
character,,,,,,,,,,,,,,,char_010_chen_1,,,,,,,,,16,,,,False
name,你就是米莎？,,,,,,,,,,,,,,陈,,,,,,,,,17,你就是米莎？,君がミーシャか？,チェン,True
character,,,,,,,,,,,,,,,char_012_misa_1,,,,,,,,,18,,,,False
name,......是的。,,,,,,,,,,,,,,米莎,,,,,,,,,19,......是的。,......はい。,ミーシャ,True
character,,,,,,,,,,,,,,,char_010_chen_1,char_012_misa_1,1,,,,,,,20,,,,False
name,从现在起，你必须听从近卫局的安排。,,,,,,,,,,,,,,陈,,,,,,,,,21,从现在起，你必须听从近卫局的安排。,これからは近衛局の指示に従ってもらう。,チェン,True
character,,,,,,,,,,,,,,,char_010_chen_1,,,,,,,,,22,,,,False
name,PC94172，看好这孩子。,,,,,,,,,,,,,,陈,,,,,,,,,23,PC94172，看好这孩子。,PC94172、この子をしっかり見ていてくれ。,チェン,True
character,,,,,,,,,,,,,,,char_015_lmg,char_012_misa_1,1,,,,,,,24,,,,False
name,跟我来吧。,,,,,,,,,,,,,,近卫局队员,,,,,,,,,25,跟我来吧。,私についてきてください。,近衛局隊員,True
character,,,,,,,,,,,,,,,char_015_lmg,char_012_misa_1,2,,,,,,,26,,,,False
name,阿米娅......,,,,,,,,,,,,,,米莎,,,,,,,,,27,阿米娅......,アーミヤ......,ミーシャ,True
character,,,,,,,,,,,,,,,char_002_amiya_1#2,char_012_misa_1,1,,,,,,,28,,,,False
name,没事的。,,,,,,,,,,,,,,阿米娅,,,,,,,,,29,没事的。,大丈夫です。,アーミヤ,True
