command,text_orig,key,is_skippable,fit_mode,screenadapt,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,name2,focus,a,initr,r,g,b,block,x,y,xScale,yScale,xFrom,yFrom,xTo,yTo,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,duration,index,text,jp_text,jp_name,text_match
header,第二十关（后）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,False
background,,,,,coverall,bg_lungmen_b,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,False
playmusic,,$loading_loop,,,,,,,,$loading_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,2,,,,False
delay,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,3,,,,False
character,,,,,,,,,,,,,,,char_106_franka_1,char_002_amiya_1,1,,,,,,,,,,,,,,,,,,,,4,,,,False
name,呼，呼。,,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,,,,5,呼，呼。,はぁ、はぁ。,フランカ,True
name,近卫局的护送队已经安全离开了。,,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,,,,6,近卫局的护送队已经安全离开了。,近衛局の護衛隊は無事に離脱したわ。,フランカ,True
name,而敌人嘛——暂时也不打算放过我们的样子。,,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,,,,7,而敌人嘛——暂时也不打算放过我们的样子。,でも敵は……しばらく私たちを見逃すつもりはなさそうね。,フランカ,True
character,,,,,,,,,,,,,,,char_106_franka_1,char_002_amiya_1,2,,,,,,,,,,,,,,,,,,,,8,,,,False
name,只要敌人还不知道米莎被近卫局接走，他们就越把注意力放在我们身上。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,9,只要敌人还不知道米莎被近卫局接走，他们就越把注意力放在我们身上。,敵がまだミーシャを近衛局が連れて行ったことを知らない限り、私たちに注意を向けるはずです。,アーミヤ,True
name,这样的话，米莎那边就越安全。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,10,这样的话，米莎那边就越安全。,そうすると、ミーシャの方はより安全になるわ。,アーミヤ,True
character,,,,,,,,,,,,,,,char_107_liskam_1,char_002_amiya_1,1,,,,,,,,,,,,,,,,,,,,11,,,,False
name,其实，为什么龙门和整合运动都要找这个孩子？,,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,,,,,,,,12,其实，为什么龙门和整合运动都要找这个孩子？,ところで、なぜ龍門とレユニオンはこの子を探しているの？,レイズ,True
character,,,,,,,,,,,,,,,char_107_liskam_1,char_002_amiya_1,2,,,,,,,,,,,,,,,,,,,,13,,,,False
name,不清楚，可能性很多。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,14,不清楚，可能性很多。,はっきりとは分かりません。可能性はいくつもあります。,アーミヤ,True
name,我能想到的是，这孩子本人，或者只有她知情的什么东西......足以影响——甚至，左右龙门的安危。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,15,我能想到的是，这孩子本人，或者只有她知情的什么东西......足以影响——甚至，左右龙门的安危。,私が考えられるのは、この子自身か、彼女だけが知っている何か……それが龍門の安否を左右するほどの影響力を持っている、ということです。,アーミヤ,True
character,,,,,,,,,,,,,,,char_106_franka_1,char_002_amiya_1,1,,,,,,,,,,,,,,,,,,,,16,,,,False
name,东西？,,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,,,,17,东西？,何かって？,フランカ,True
character,,,,,,,,,,,,,,,char_106_franka_1,char_002_amiya_1,2,,,,,,,,,,,,,,,,,,,,18,,,,False
