command,text_orig,key,is_skippable,fit_mode,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,duration,xstrength,ystrength,vibrato,randomness,block,a,r,g,b,afrom,rfrom,gfrom,bfrom,name2,focus,initr,screenadapt,index,text,jp_text,jp_name,text_match
header,第二十一关（后）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,False
background,,,,,bg_lungmen_r,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,False
playmusic,,$loading_loop,,,,,,,$loading_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,,,,,,,2,,,,False
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,3,,,,False
character,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,4,,,,False
name,这是最后一批追击我们的整合运动了！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,5,这是最后一批追击我们的整合运动了！,これが私たちを追ってくる最後のインテグレーションムーブメントの集団です！,アーミヤ,True
camerashake,,,,,,,,,,,,,,,0.5,8,10,30,90,false,,,,,,,,,,,,,6,,,,False
character,,,,,,,,,,,,,,char_1002_nsabr_2,,,,,,,,,,,,,,,,,,,7,,,,False
blocker,,,,,,,,0.1,,,,,,,,,,,,true,1,1,1,1,0,0,0,0,,,,,8,,,,False
playsound,,$b_char_rockexplo,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,9,,,,False
blocker,,,,,,,,1.5,,,,,,,,,,,,false,0,,,,,,,,,,,,10,,,,False
name,......呃啊！,,,,,,,,,,,,,整合运动,,,,,,,,,,,,,,,,,,,11,......呃啊！,……うあっ！,インテグレーションムーブメント,True
character,,,,,,,,,,,,,,char_107_liskam_1,,,,,,,,,,,,,,,,,,,12,,,,False
name,确保！,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,,,,,13,确保！,確保！,レイズ,True
name,确认安全无虞！,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,,,,,14,确认安全无虞！,安全を確認、問題なし！,レイズ,True
character,,,,,,,,,,,,,,char_106_franka_1,,,,,,,,,,,,,,,char_107_liskam_1,1,,,15,,,,False
name,敌方的指挥官呢？,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,16,敌方的指挥官呢？,敵の指揮官は？,フランカ,True
character,,,,,,,,,,,,,,char_106_franka_1,,,,,,,,,,,,,,,char_107_liskam_1,2,,,17,,,,False
name,——不在这批敌人里。,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,,,,,18,——不在这批敌人里。,――この敵の中にはいない。,レイズ,True
character,,,,,,,,,,,,,,char_106_franka_1,,,,,,,,,,,,,,,char_107_liskam_1,1,,,19,,,,False
name,一直潜伏着......观察着，尾随着我们。,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,20,一直潜伏着......观察着，尾随着我们。,ずっと潜んで……観察して、私たちをつけている。,フランカ,True
name,是想消磨我们的体力，等到稳操胜券后，再发动袭击吗？,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,21,是想消磨我们的体力，等到稳操胜券后，再发动袭击吗？,体力を消耗させて、勝ち目が確実になったら襲撃するつもりなの？,フランカ,True
character,,,,,,,,,,,,,,char_106_franka_1,,,,,,,,,,,,,,,char_002_amiya_1,2,,,22,,,,False
name,整合运动的敌人非常擅长发动偷袭。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,23,整合运动的敌人非常擅长发动偷袭。,インテグレーションムーブメントの敵は奇襲がとても得意です。,アーミヤ,True
name,这点，我们在切尔诺伯格时就领教过了。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,24,这点，我们在切尔诺伯格时就领教过了。,このことはチェルノボーグで既に思い知らされました。,アーミヤ,True
name,暂时撤退——,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,25,暂时撤退——,一時撤退――,アーミヤ,True
character,,,,,,,,,,,,,,char_107_liskam_1,,,,,,,,,,,,,,,char_002_amiya_1,1,,,26,,,,False
name,我没法确保撤退路线的安全。,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,,,,,27,我没法确保撤退路线的安全。,撤退ルートの安全は保証できない。,レイズ,True
name,如果他们破坏建筑物来封锁路口，我们就危险了。,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,,,,,28,如果他们破坏建筑物来封锁路口，我们就危险了。,もし彼らが建物を壊して道を塞いだら、私たちは危険だ。,レイズ,True
character,,,,,,,,,,,,,,char_107_liskam_1,,,,,,,,,,,,,,,char_002_amiya_1#7,2,,,29,,,,False
name,——立刻侦查其他的路线！越隐蔽越好！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,30,——立刻侦查其他的路线！越隐蔽越好！,――すぐに他のルートを偵察して！できるだけ隠れやすい場所を！,アーミヤ,True
character,,,,,,,,,,,,,,char_107_liskam_1,,,,,,,,,,,,,,,,,,,31,,,,False
name,阿米娅，四点钟方向，那个向下方街道移动的阶梯如何？,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,,,,,32,阿米娅，四点钟方向，那个向下方街道移动的阶梯如何？,アーミヤ、四時の方向、下の通りに通じるあの階段はどう？,レイズ,True
character,,,,,,,,,,,,,,char_106_franka_1,,,,,,,,,,,,,,,,,,,33,,,,False
name,那里可不好走哦。,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,34,那里可不好走哦。,あそこは歩きにくいよ。,フランカ,True
character,,,,,,,,,,,,,,char_1002_nsabr_2,,,,,,,,,,,,,,,,,,,35,,,,False
name,啊啊！罗德岛！,,,,,,,,,,,,,整合运动,,,,,,,,,,,,,,,,,,,36,啊啊！罗德岛！,ああっ！ロドス！,インテグレーションムーブメント,True
character,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,37,,,,False
name,是伏击！小心！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,38,是伏击！小心！,待ち伏せです！気をつけて！,アーミヤ,True
dialog,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,False
character,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,False
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,41,,,,False
playsound,,$d_gen_soldiersrun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,False
character,,,,,,,,,,,,,,char_1500_skulsr,,,,,,,,,,,,,,,,,,,43,,,,False
name,继续给我追。,,,,,,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,,44,继续给我追。,引き続き追え。,スイコツ,True
name,别让他们有任何喘息的机会。,,,,,,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,,45,别让他们有任何喘息的机会。,やつらに一瞬の油断も与えるな。,スイコツ,True
blocker,,,,,,,,1,,,,,,,,,,,,true,1,0,0,0,,,,,,,2,,46,,,,False
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,False
blocker,,,,,,,,1,,,,,,,,,,,,true,0,,,,,,,,,,,,48,,,,False
character,,,,,,,,,,,,,,char_010_chen_1,,,,,,,,,,,,,,,char_012_misa_1,2,,,49,,,,False
name,......长官。,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,50,......长官。,……長官。,ミーシャ,True
name,——贫民区......里有一些被感染的孩子。,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,51,——贫民区......里有一些被感染的孩子。,――スラム街には……感染者の子供が何人かいる。,ミーシャ,True
name,如果可以的话......,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,52,如果可以的话......,もしできれば……,ミーシャ,True
name,希望你能......照看他们。,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,53,希望你能......照看他们。,あなたに……彼らを見てほしい。,ミーシャ,True
character,,,,,,,,,,,,,,char_010_chen_1,,,,,,,,,,,,,,,char_012_misa_1,1,,,54,,,,False
name,保护龙门是近卫局的责任。,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,55,保护龙门是近卫局的责任。,龍門を守るのは近衛局の責任だ。,チェン,True
name,感染者，并非是龙门公民。,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,56,感染者，并非是龙门公民。,感染者は龍門市民ではない。,チェン,True
character,,,,,,,,,,,,,,char_010_chen_1,,,,,,,,,,,,,,,char_012_misa_1,2,,,57,,,,False
name,......,,,,,,,,,,,,,米莎,,,,,,,,,,,,,,,,,,,58,......,……,ミーシャ,True
character,,,,,,,,,,,,,,char_010_chen_1,,,,,,,,,,,,,,,char_012_misa_1,1,,,59,,,,False
name,......,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,60,......,……,チェン,True
name,但龙门的感染者依然属于龙门。,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,61,但龙门的感染者依然属于龙门。,だが、龍門の感染者もやはり龍門の住人だ。,チェン,True
