command,text_orig,key,is_skippable,fit_mode,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,name2,focus,a,initr,r,g,b,block,widgetID,style,fadestyle,offsetx,afrom,rfrom,gfrom,bfrom,duration,xstrength,ystrength,vibrato,randomness,fadeout,index,text,jp_text,jp_name,text_match
header,第二十三关（前）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,False
background,,,,,bg_wild_m,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,False
playmusic,,$mist_loop,,,,,,,$mist_loop,0.8,1.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,False
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,,,,False
character,,,,,,,,,,,,,,char_002_amiya_1,char_010_chen_1,2,,,,,,,,,,,,,,,,,,,,,4,,,,False
name,看来你们也不怎么好过。,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,5,看来你们也不怎么好过。,どうやら君たちもうまくはいっていないようだな。,チェン,True
character,,,,,,,,,,,,,,char_002_amiya_1,char_010_chen_1,1,,,,,,,,,,,,,,,,,,,,,6,,,,False
name,陈长官，究竟发生了什么事？,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,7,陈长官，究竟发生了什么事？,チェン長官、一体何があったんですか？,アーミヤ,True
character,,,,,,,,,,,,,,char_002_amiya_1,char_010_chen_1,2,,,,,,,,,,,,,,,,,,,,,8,,,,False
name,整合运动的埋伏。,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,9,整合运动的埋伏。,レユニオンの待ち伏せだ。,チェン,True
name,没有增援，火力猛烈，近卫局的队形很快被他们冲散了。,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,10,没有增援，火力猛烈，近卫局的队形很快被他们冲散了。,援軍もなく、激しい火力で、我々の隊列はすぐに崩された。,チェン,True
character,,,,,,,,,,,,,,char_002_amiya_1,char_010_chen_1,1,,,,,,,,,,,,,,,,,,,,,11,,,,False
name,那米莎......？,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,12,那米莎......？,ミーシャは……？,アーミヤ,True
