command,text_orig,key,is_skippable,fit_mode,screenadapt,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,name2,focus,a,r,g,b,block,x,y,xScale,yScale,xFrom,yFrom,xTo,yTo,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,duration,initr,index,text,jp_text,jp_name,text_match
header,第二十三关（后）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,False
background,,,,,coverall,bg_wild_m,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,False
playmusic,,$mist_loop,,,,,,,,$mist_loop,0.8,1.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,2,,,,False
delay,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,3,,,,False
character,,,,,,,,,,,,,,,char_010_chen_1,char_015_lmg,2,,,,,,,,,,,,,,,,,,,,4,,,,False
name,长官——,,,,,,,,,,,,,,近卫局队员,,,,,,,,,,,,,,,,,,,,,,5,长官——,長官——,近衛局隊員,True
character,,,,,,,,,,,,,,,char_010_chen_1,char_015_lmg,1,,,,,,,,,,,,,,,,,,,,6,,,,False
name,说。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,7,说。,言え。,チェン,True
character,,,,,,,,,,,,,,,char_010_chen_1,char_015_lmg,2,,,,,,,,,,,,,,,,,,,,8,,,,False
name,整合运动的大部队已经撤退。,,,,,,,,,,,,,,近卫局队员,,,,,,,,,,,,,,,,,,,,,,9,整合运动的大部队已经撤退。,レユニオンの大部隊は既に撤退しました。,近衛局隊員,True
character,,,,,,,,,,,,,,,char_010_chen_1,char_002_amiya_1,2,,,,,,,,,,,,,,,,,,,,10,,,,False
name,陈长官，我这边也处理完毕了。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,11,陈长官，我这边也处理完毕了。,チェン長官、こちらも処理が終わりました。,アーミヤ,True
character,,,,,,,,,,,,,,,char_010_chen_1,,,,,,,,,,,,,,,,,,,,,,12,,,,False
name,——————啧。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,13,——————啧。,——————ちっ。,チェン,True
name,前些天抓住的那些整合运动嫌疑人——,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,14,前些天抓住的那些整合运动嫌疑人——,この前捕まえたレユニオンの容疑者たち——,チェン,True
name,刑讯科问出什么没有？,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,15,刑讯科问出什么没有？,取り調べ課は何か聞き出せたか？,チェン,True
blocker,,,,,,,,,0.6,,,,,,,,,1,0,0,0,true,,,,,,,,,,,,,,,16,,,,False
character,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,False
image,,,,,,avg_21_1,,,0,,,,,,,,,,,,,,0,0,1,1,,,,,,,,,,,18,,,,False
blocker,,,,,,,,,0.6,,,,,,,,,0,,,,false,,,,,,,,,,,,,,,19,,,,False
imagetween,,,,,,,,,,,,,,,,,,,,,,false,,,,,0,0,0,-20,1,1,1.1,1.1,15,,20,,,,False
character,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,False
name,......,,,,,,,,,,,,,,整合运动嫌疑人,,,,,,,,,,,,,,,,,,,,,,22,......,......,レユニオン容疑者,True
name,这把弩，你眼熟吗？,,,,,,,,,,,,,,近卫局队员,,,,,,,,,,,,,,,,,,,,,,23,这把弩，你眼熟吗？,このクロスボウ、見覚えがあるか？,近衛局隊員,True
name,......,,,,,,,,,,,,,,整合运动嫌疑人,,,,,,,,,,,,,,,,,,,,,,24,......,......,レユニオン容疑者,True
name,你能拉得动这把弩？,,,,,,,,,,,,,,近卫局队员,,,,,,,,,,,,,,,,,,,,,,25,你能拉得动这把弩？,このクロスボウを引けるか？,近衛局隊員,True
name,这个弹药是什么构造，怎么回事？,,,,,,,,,,,,,,近卫局队员,,,,,,,,,,,,,,,,,,,,,,26,这个弹药是什么构造，怎么回事？,この弾薬はどんな構造だ、どういうことだ？,近衛局隊員,True
name,你们在贫民区做些什么？,,,,,,,,,,,,,,近卫局队员,,,,,,,,,,,,,,,,,,,,,,27,你们在贫民区做些什么？,お前たちはスラムで何をしていた？,近衛局隊員,True
name,你来龙门，又要做些什么？,,,,,,,,,,,,,,近卫局队员,,,,,,,,,,,,,,,,,,,,,,28,你来龙门，又要做些什么？,お前は龍門に来て、何をするつもりだ？,近衛局隊員,True
name,......,,,,,,,,,,,,,,整合运动嫌疑人,,,,,,,,,,,,,,,,,,,,,,29,......,......,レユニオン容疑者,True
blocker,,,,,,,,,0.6,,,,,,,,,1,0,0,0,true,,,,,,,,,,,,,,,30,,,,False
image,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,False
character,,,,,,,,,,,,,,,char_010_chen_1,char_015_lmg,2,,,,,,,,,,,,,,,,,,,,32,,,,False
blocker,,,,,,,,,0.6,,,,,,,,,0,,,,false,,,,,,,,,,,,,,,33,,,,False
delay,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,34,,,,False
name,......没有。,,,,,,,,,,,,,,近卫局队员,,,,,,,,,,,,,,,,,,,,,,35,......没有。,......ありません。,近衛局隊員,True
name,那些人什么都不说。,,,,,,,,,,,,,,近卫局队员,,,,,,,,,,,,,,,,,,,,,,36,那些人什么都不说。,あいつらは何も話しません。,近衛局隊員,True
name,或者说......他们可能什么都不知道吧。,,,,,,,,,,,,,,近卫局队员,,,,,,,,,,,,,,,,,,,,,,37,或者说......他们可能什么都不知道吧。,というか……彼らは何も知らないかもしれません。,近衛局隊員,True
name,就和刚刚解决的整合运动一样，应该都是些听话的喽啰。,,,,,,,,,,,,,,近卫局队员,,,,,,,,,,,,,,,,,,,,,,38,就和刚刚解决的整合运动一样，应该都是些听话的喽啰。,さっき片付けたレユニオンと同じで、従順な雑魚ばかりでしょう。,近衛局隊員,True
character,,,,,,,,,,,,,,,char_010_chen_1,char_015_lmg,1,,,,,,,,,,,,,,,,,,,,39,,,,False
name,——让他们指认。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,40,——让他们指认。,——奴らに指認させろ。,チェン,True
name,用点方法也不要紧。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,41,用点方法也不要紧。,多少手段を使っても構わない。,チェン,True
name,小队信息，领导方式，来源，战术分布......,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,42,小队信息，领导方式，来源，战术分布......,分隊の情報、指導体制、出所、戦術配備……,チェン,True
name,有多少，让他们说多少。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,43,有多少，让他们说多少。,分かることは全て話させろ。,チェン,True
name,他们说多少，就给我多少。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,44,他们说多少，就给我多少。,奴らが何を言ったか、全て私に報告しろ。,チェン,True
name,无论有什么新消息，立刻通知我。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,45,无论有什么新消息，立刻通知我。,新しい情報があれば、すぐに私に知らせろ。,チェン,True
character,,,,,,,,,,,,,,,char_010_chen_1,char_015_lmg,2,,,,,,,,,,,,,,,,,,,,46,,,,False
name,明白！,,,,,,,,,,,,,,近卫局队员,,,,,,,,,,,,,,,,,,,,,,47,明白！,了解！,近衛局隊員,True
delay,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,48,,,,False
character,,,,,,,,,,,,,,,char_002_amiya_1#6,char_010_chen_1,1,,,,,,,,,,,,,,,,,,,,49,,,,False
name,难道近卫局曾经抓捕过整合运动的成员？,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,50,难道近卫局曾经抓捕过整合运动的成员？,まさか近衛局は以前にレユニオンのメンバーを捕まえたことがあるのですか？,アーミヤ,True
character,,,,,,,,,,,,,,,char_002_amiya_1#6,char_010_chen_1,2,,,,,,,,,,,,,,,,,,,,51,,,,False
name,并不能确定他们的身份。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,52,并不能确定他们的身份。,彼らの身元は特定できていない。,チェン,True
name,再怎么猜测，也只是怀疑而已。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,53,再怎么猜测，也只是怀疑而已。,どんなに推測しても、疑いに過ぎない。,チェン,True
character,,,,,,,,,,,,,,,char_015_lmg,char_010_chen_1,2,,,,,,,,,,,,,,,,,,,,54,,,,False
name,联系星熊！,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,55,联系星熊！,ホシグマに連絡しろ！,チェン,True
name,特别督查组那边怎么样了？,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,56,特别督查组那边怎么样了？,特別督察組の方はどうなってる？,チェン,True
name,还在被一个感染者——单方面压制吗？,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,57,还在被一个感染者——单方面压制吗？,まだ一人の感染者に——一方的に押されているのか？,チェン,True
character,,,,,,,,,,,,,,,char_015_lmg,char_010_chen_1,1,,,,,,,,,,,,,,,,,,,,58,,,,False
name,他们那里的整合运动似乎也已经撤退了。,,,,,,,,,,,,,,近卫局队员,,,,,,,,,,,,,,,,,,,,,,59,他们那里的整合运动似乎也已经撤退了。,あちらのレユニオンもすでに撤退したようです。,近衛局隊員,True
name,忧心这是诱敌之计的星熊督察正在排查风险......,,,,,,,,,,,,,,近卫局队员,,,,,,,,,,,,,,,,,,,,,,60,忧心这是诱敌之计的星熊督察正在排查风险......,これは敵をおびき寄せる罠ではないかと心配したホシグマ督察がリスクを調査しています……,近衛局隊員,True
character,,,,,,,,,,,,,,,char_015_lmg,char_010_chen_1,2,,,,,,,,,,,,,,,,,,,,61,,,,False
name,啧，一个人......,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,62,啧，一个人......,ちっ、一人で……,チェン,True
name,想来就来，想走就走？！,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,63,想来就来，想走就走？！,来たい時に来て、去りたい時に去るだと？！,チェン,True
name,......,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,64,......,……,チェン,True
