command,text_orig,key,is_skippable,fit_mode,image,width,height,fadetime,intro,volume,crossfade,delay,time,duration,xstrength,ystrength,vibrato,randomness,fadeout,a,r,g,b,block,name,name2,focus,screenadapt,widgetID,style,fadestyle,offsetx,initr,index,text,jp_text,jp_name,text_match
header,第二十五关（前）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,False
background,,,,,bg_wild_a,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,False
playmusic,,$loading_loop,,,,,,,$loading_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,,,,,,,,2,,,,False
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,3,,,,False
playsound,,$p_imp_sword_n,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,4,,,,False
camerashake,,,,,,,,,,,,,,1,10,8,30,90,false,,,,,,,,,,,,,,,5,,,,False
blocker,,,,,,,,0.1,,,,,,,,,,,,0.7,1,1,1,true,,,,,,,,,,6,,,,False
blocker,,,,,,,,0.2,,,,,,,,,,,,0,0.93,0.75,0.32,true,,,,,,,,,,7,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,char_1002_nsabr_2,,,,,,,,,8,,,,False
name,该死——！,,,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,9,该死——！,くそっーー！,レユニオン構成員,True
name,敌人只有两个！都给我上啊！,,,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,10,敌人只有两个！都给我上啊！,敵は2人だけだ！全員でかかれ！,レユニオン構成員,True
name,有什么好害怕的！,,,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,11,有什么好害怕的！,何を怖がることがある！,レユニオン構成員,True
playsound,,$p_imp_sword_n,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,12,,,,False
camerashake,,,,,,,,,,,,,,1,10,8,30,90,false,,,,,,,,,,,,,,,13,,,,False
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,char_1002_nsabr_2,,,,,,,,,15,,,,False
name,我们已经损失了二十几个战士！,,,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,16,我们已经损失了二十几个战士！,俺たちはすでに20人以上の戦士を失っている！,レユニオン構成員,True
name,那两个混蛋，绝对不是什么普通人......！,,,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,17,那两个混蛋，绝对不是什么普通人......！,あの2人の野郎、絶対にただ者じゃない……！,レユニオン構成員,True
delay,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,18,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,char_102_texas_1,char_103_angel_1,2,,,,,,,19,,,,False
name,小心右边！,,,,,,,,,,,,,,,,,,,,,,,,能天使,,,,,,,,,20,小心右边！,右に気をつけて！,エクシア,True
character,,,,,,,,,,,,,,,,,,,,,,,,,char_102_texas_1,char_103_angel_1,1,,,,,,,21,,,,False
name,帮我一下。,,,,,,,,,,,,,,,,,,,,,,,,德克萨斯,,,,,,,,,22,帮我一下。,手伝ってくれ。,テキサス,True
character,,,,,,,,,,,,,,,,,,,,,,,,,char_1002_nsabr_2,,,,,,,,,23,,,,False
name,压制住她！我来最后一击！,,,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,24,压制住她！我来最后一击！,彼女を押さえろ！とどめは俺が刺す！,レユニオン構成員,True
character,,,,,,,,,,,,,,,,,,,,,,,,,char_102_texas_1,char_103_angel_1,1,,,,,,,25,,,,False
name,我暂时还抽不出手对付那个扑过来的家伙。,,,,,,,,,,,,,,,,,,,,,,,,德克萨斯,,,,,,,,,26,我暂时还抽不出手对付那个扑过来的家伙。,今は飛びかかってくるあいつに手が回せない。,テキサス,True
character,,,,,,,,,,,,,,,,,,,,,,,,,char_102_texas_1,char_103_angel_1,2,,,,,,,27,,,,False
name,下次可要请我喝冻饮哦？,,,,,,,,,,,,,,,,,,,,,,,,能天使,,,,,,,,,28,下次可要请我喝冻饮哦？,次は冷たいドリンクをおごってよ？,エクシア,True
character,,,,,,,,,,,,,,,,,,,,,,,,,char_102_texas_1,char_103_angel_1,1,,,,,,,29,,,,False
name,没问题，快点。,,,,,,,,,,,,,,,,,,,,,,,,德克萨斯,,,,,,,,,30,没问题，快点。,問題ない、急げ。,テキサス,True
character,,,,,,,,,,,,,,,,,,,,,,,,,char_102_texas_1,char_103_angel_1,2,,,,,,,31,,,,False
name,好！,,,,,,,,,,,,,,,,,,,,,,,,能天使,,,,,,,,,32,好！,よし！,エクシア,True
character,,,,,,,,,,,,,,,,,,,,,,,,,char_103_angel_1,,,,,,,,,33,,,,False
name,那边的整合运动小哥？,,,,,,,,,,,,,,,,,,,,,,,,能天使,,,,,,,,,34,那边的整合运动小哥？,そっちのレユニオンのお兄さん？,エクシア,True
character,,,,,,,,,,,,,,,,,,,,,,,,,char_1002_nsabr_2,,,,,,,,,35,,,,False
name,啊？,,,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,36,啊？,あ？,レユニオン構成員,True
character,,,,,,,,,,,,,,,,,,,,,,,,,char_103_angel_1,,,,,,,,,37,,,,False
name,这颗子弹是送给你的，请好好收下~,,,,,,,,,,,,,,,,,,,,,,,,能天使,,,,,,,,,38,这颗子弹是送给你的，请好好收下~,この弾丸は君にあげるよ、受け取ってね〜,エクシア,True
character,,,,,,,,,,,,,,,,,,,,,,,,,char_1002_nsabr_2,,,,,,,,,39,,,,False
name,子弹？子弹是......,,,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,40,子弹？子弹是......,弾丸？弾丸が……,レユニオン構成員,True
playsound,,$p_atk_smg_h,,,,,,,,0.7,,,,,,,,,,,,,,true,,,,,,,,,,41,,,,False
name,咕......噗。,,,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,42,咕......噗。,ぐ……ぶっ。,レユニオン構成員,True
character,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,char_102_texas_1,char_103_angel_1,2,,,,,,,44,,,,False
name,哈，替你收拾掉了~,,,,,,,,,,,,,,,,,,,,,,,,能天使,,,,,,,,,45,哈，替你收拾掉了~,はは、片付けておいたよ〜,エクシア,True
character,,,,,,,,,,,,,,,,,,,,,,,,,char_102_texas_1,char_103_angel_1,1,,,,,,,46,,,,False
name,非常感谢。,,,,,,,,,,,,,,,,,,,,,,,,德克萨斯,,,,,,,,,47,非常感谢。,とても助かった。,テキサス,True
blocker,,,,,,,,0,,,,,,,,,,,,1,0,0,0,true,,,,,,,,,,48,,,,False
background,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,False
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,False
blocker,,,,,,,,0,,,,,,,,,,,,0,0,0,0,true,,,,,,,,,,51,,,,False
name,可，可恶啊！,,,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,52,可，可恶啊！,く、くそぉ！,レユニオン構成員,True
name,她，她那把剑......,,,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,53,她，她那把剑......,彼女、あの剣……,レユニオン構成員,True
name,哦，抱歉。,,,,,,,,,,,,,,,,,,,,,,,,德克萨斯,,,,,,,,,54,哦，抱歉。,ああ、すまない。,テキサス,True
name,——我平时，都是用两把的。,,,,,,,,,,,,,,,,,,,,,,,,德克萨斯,,,,,,,,,55,——我平时，都是用两把的。,——普段は、二刀使いだからな。,テキサス,True
playsound,,$p_imp_sword_n,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,56,,,,False
camerashake,,,,,,,,,,,,,,1,10,8,30,90,false,,,,,,,,,,,,,,,57,,,,False
blocker,,,,,,,,0.1,,,,,,,,,,,,0.7,1,1,1,true,,,,,,,,,,58,,,,False
blocker,,,,,,,,0.2,,,,,,,,,,,,0,0.93,0.75,0.32,true,,,,,,,,,,59,,,,False
name,额，额啊！！,,,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,60,额，额啊！！,う、うわぁ！！,レユニオン構成員,True
background,,,,,bg_wild_a,1,1,1,,,,,,,,,,,,,,,,true,,,,coverall,,,,,,61,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,char_102_texas_1,char_103_angel_1,2,,,,,,,62,,,,False
name,这下就全都解决掉啦。,,,,,,,,,,,,,,,,,,,,,,,,能天使,,,,,,,,,63,这下就全都解决掉啦。,これで全部片付いたね。,エクシア,True
name,我们的配合，还真是行云流水呢！,,,,,,,,,,,,,,,,,,,,,,,,能天使,,,,,,,,,64,我们的配合，还真是行云流水呢！,私たちの連携、本当に見事だったね！,エクシア,True
character,,,,,,,,,,,,,,,,,,,,,,,,,char_102_texas_1,char_103_angel_1,1,,,,,,,65,,,,False
