command,text_orig,key,is_skippable,fit_mode,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,name2,focus,a,r,g,b,block,initr,duration,xstrength,ystrength,vibrato,randomness,fadeout,afrom,rfrom,gfrom,bfrom,index,text,jp_text,jp_name,text_match
header,第二十六关（前）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,False
background,,,,,bg_wild_a,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,False
playmusic,,$m_bat_game02_loop,,,,,,,$m_bat_game02_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,,,,,,,2,,,,False
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,3,,,,False
character,,,,,,,,,,,,,,char_103_angel_1,,,,,,,,,,,,,,,,,,,4,,,,False
name,怎么样阿米娅，企鹅物流很不错吧？,,,,,,,,,,,,,能天使,,,,,,,,,,,,,,,,,,,5,怎么样阿米娅，企鹅物流很不错吧？,どう、アーミヤ？ペンギン急便はなかなかいいでしょ？,エクシア,True
character,,,,,,,,,,,,,,char_103_angel_1,char_002_amiya_1#2,2,,,,,,,,,,,,,,,,,6,,,,False
name,嗯，很厉害！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,7,嗯，很厉害！,うん、すごい！,アーミヤ,True
character,,,,,,,,,,,,,,char_103_angel_1,char_002_amiya_1#2,1,,,,,,,,,,,,,,,,,8,,,,False
name,唔，唔啊！,,,,,,,,,,,,,能天使,,,,,,,,,,,,,,,,,,,9,唔，唔啊！,う、うわっ！,エクシア,True
name,被比自己年龄小的孩子直接这么夸奖，还有点不好意思。,,,,,,,,,,,,,能天使,,,,,,,,,,,,,,,,,,,10,被比自己年龄小的孩子直接这么夸奖，还有点不好意思。,自分より年下の子にこんなに褒められたら、ちょっと恥ずかしいな。,エクシア,True
character,,,,,,,,,,,,,,char_102_texas_1,,,,,,,,,,,,,,,,,,,11,,,,False
name,她可是我们的雇主，稍微礼貌一些。,,,,,,,,,,,,,德克萨斯,,,,,,,,,,,,,,,,,,,12,她可是我们的雇主，稍微礼貌一些。,彼女は私たちの雇い主だから、もう少し礼儀正しくして。,テキサス,True
character,,,,,,,,,,,,,,char_103_angel_1,,,,,,,,,,,,,,,,,,,13,,,,False
name,唉唉，不好意思！,,,,,,,,,,,,,能天使,,,,,,,,,,,,,,,,,,,14,唉唉，不好意思！,ああ、ごめん！,エクシア,True
character,,,,,,,,,,,,,,char_002_amiya_1#2,,,,,,,,,,,,,,,,,,,15,,,,False
name,没问题的，我还得谢谢你们呢！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,16,没问题的，我还得谢谢你们呢！,大丈夫、むしろこちらこそありがとう！,アーミヤ,True
character,,,,,,,,,,,,,,char_102_texas_1,,,,,,,,,,,,,,,,,,,17,,,,False
name,这样一来，罗德岛这里也汇合了。,,,,,,,,,,,,,德克萨斯,,,,,,,,,,,,,,,,,,,18,这样一来，罗德岛这里也汇合了。,これでロドスもここで合流できたな。,テキサス,True
name,下面要做什么？,,,,,,,,,,,,,德克萨斯,,,,,,,,,,,,,,,,,,,19,下面要做什么？,次は何をすればいい？,テキサス,True
character,,,,,,,,,,,,,,char_102_texas_1,char_002_amiya_1,2,,,,,,,,,,,,,,,,,20,,,,False
name,可能需要近卫局先做判断，然后我才能给出意见。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,21,可能需要近卫局先做判断，然后我才能给出意见。,まずは近衛局に判断してもらって、それから私が意見を言う必要がありそうです。,アーミヤ,True
character,,,,,,,,,,,,,,char_102_texas_1,char_002_amiya_1,1,,,,,,,,,,,,,,,,,22,,,,False
name,是嘛。,,,,,,,,,,,,,德克萨斯,,,,,,,,,,,,,,,,,,,23,是嘛。,そうか。,テキサス,True
name,那我去问他们一下，让他们过来看看。,,,,,,,,,,,,,德克萨斯,,,,,,,,,,,,,,,,,,,24,那我去问他们一下，让他们过来看看。,じゃあ、私が彼らに聞いて、ここに来てもらう。,テキサス,True
blocker,,,,,,,,2,,,,,,,,,1,0,0,0,true,,,,,,,,,,,,25,,,,False
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,False
delay,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,27,,,,False
name,这个地形......,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,28,这个地形......,この地形は……,ホシグマ,True
name,整合运动应该是有意识把我们引到这里来的。,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,29,整合运动应该是有意识把我们引到这里来的。,レユニオンは意図的に私たちをここに誘導したはずだ。,ホシグマ,True
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,False
blocker,,,,,,,,2,,,,,,,,,0,0,0,0,true,,,,,,,,,,,,31,,,,False
character,,,,,,,,,,,,,,char_106_franka_1,,,,,,,,,,,,,,,,,,,32,,,,False
name,黄沙、荒原、岩石。真是凑齐了一切野外作战的要素。,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,33,黄沙、荒原、岩石。真是凑齐了一切野外作战的要素。,砂塵、荒野、岩石――まさに野外作戦の要素がそろっているよ。,フランカ,True
name,唯一缺的东西，大概就是敌人了吧？,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,34,唯一缺的东西，大概就是敌人了吧？,唯一足りないのは……敵くらいかな？,フランカ,True
character,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1,2,,,,,,,,,,,,,,,,,35,,,,False
name,星熊，你留下帮罗德岛一把。,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,36,星熊，你留下帮罗德岛一把。,ホシグマ、君は残ってロドスを手伝ってくれ。,チェン,True
character,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1,1,,,,,,,,,,,,,,,,,37,,,,False
name,啊？好的。,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,38,啊？好的。,え？分かった。,ホシグマ,True
character,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1,2,,,,,,,,,,,,,,,,,39,,,,False
name,我带近卫局换个位置。,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,40,我带近卫局换个位置。,私は近衛局を連れて、他の場所に移動する。,チェン,True
name,如果就这么僵持下去，整合运动的路线很可能会脱离我们的控制。,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,41,如果就这么僵持下去，整合运动的路线很可能会脱离我们的控制。,このまま膠着状態が続けば、レユニオンの動きを制御できなくなるかもしれない。,チェン,True
character,,,,,,,,,,,,,,char_136_hsguma,char_010_chen_1,1,,,,,,,,,,,,,,,,,42,,,,False
name,明白。,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,43,明白。,了解。,ホシグマ,True
name,你自己也多加小心。,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,44,你自己也多加小心。,君も気をつけて。,ホシグマ,True
character,,,,,,,,,,,,,,char_103_angel_1,,,,,,,,,,,,,,,,,,,45,,,,False
name,——唔哦，刚才那阵风好大。,,,,,,,,,,,,,能天使,,,,,,,,,,,,,,,,,,,46,——唔哦，刚才那阵风好大。,――うわっ、さっきの風すごかったな。,エクシア,True
name,唔唔，可视好差，有点施展不开呢......,,,,,,,,,,,,,能天使,,,,,,,,,,,,,,,,,,,47,唔唔，可视好差，有点施展不开呢......,うぅ、視界が悪くて、ちょっと動きにくいな……,エクシア,True
character,,,,,,,,,,,,,,char_106_franka_1,char_107_liskam_1,1,,,,,,,,,,,,,,,,,48,,,,False
name,不能再前进了。,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,49,不能再前进了。,これ以上前進できない。,フランカ,True
character,,,,,,,,,,,,,,char_106_franka_1,char_107_liskam_1,2,,,,,,,,,,,,,,,,,50,,,,False
name,整合运动可能会等到我们都进入包围圈之后，再对我们发动攻击。,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,,,,,51,整合运动可能会等到我们都进入包围圈之后，再对我们发动攻击。,レユニオンは私たちが包囲網に完全に入った後で攻撃してくるかもしれません。,レイズ,True
name,一定要避免陷入这种处境。,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,,,,,52,一定要避免陷入这种处境。,こうした状況には絶対に陥らないようにしましょう。,レイズ,True
character,,,,,,,,,,,,,,char_106_franka_1,char_002_amiya_1,1,,,,,,,,,,,,,,,,,53,,,,False
