command,text_orig,key,is_skippable,fit_mode,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,duration,xstrength,ystrength,vibrato,randomness,block,a,r,g,b,screenadapt,fadeout,stop,initr,xScale,yScale,channel,loop,ease,index,text,jp_text,jp_name,text_match
header,第二十六关（后）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,False
background,,,,,bg_wild_a,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,False
playmusic,,$mist_loop,,,,,,,$mist_loop,0.8,1.5,0.5,,,,,,,,,,,,,,,,,,,,,,2,,,,False
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,3,,,,False
character,,,,,,,,,,,,,,char_107_liskam_1,,,,,,,,,,,,,,,,,,,,4,,,,False
name,——,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,,,,,,5,——,——,レイサー,True
name,怎么会？,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,,,,,,6,怎么会？,どうして？,レイサー,True
name,我们明明只消灭了一个整合运动小队......,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,,,,,,7,我们明明只消灭了一个整合运动小队......,私たちは確かに統合運動の小隊を一つ倒しただけなのに……,レイサー,True
character,,,,,,,,,,,,,,char_106_franka_1,,,,,,,,,,,,,,,,,,,,8,,,,False
name,还顺势摁倒了一个大块头。,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,,9,还顺势摁倒了一个大块头。,ついでに大きな奴も倒したよ。,フランカ,True
name,这个才是重头戏好吗，为了对付他，我可是累坏了！,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,,10,这个才是重头戏好吗，为了对付他，我可是累坏了！,こっちが本番だったんだから！あいつを倒すのに、私はすごく疲れたんだから！,フランカ,True
character,,,,,,,,,,,,,,char_136_hsguma,,,,,,,,,,,,,,,,,,,,11,,,,False
name,不可能。,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,12,不可能。,ありえない。,ホシグマ,True
name,那么多感染者，怎么可能消失的无影无踪？,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,13,那么多感染者，怎么可能消失的无影无踪？,あれだけ多くの感染者が、どうして跡形もなく消えたのか？,ホシグマ,True
name,刚才那个大家伙，只是打个掩护而已？,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,14,刚才那个大家伙，只是打个掩护而已？,さっきの大きいやつは、ただの囮だったのか？,ホシグマ,True
character,,,,,,,,,,,,,,char_002_amiya_1#6,,,,,,,,,,,,,,,,,,,,15,,,,False
name,......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,16,......,……,アーミヤ,True
name,整合运动在这么短的时间里撤出了这个区域？,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,17,整合运动在这么短的时间里撤出了这个区域？,統合運動がこんな短時間でこの区域から撤退したの？,アーミヤ,True
character,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,18,,,,False
name,不，陈长官理应截断了他们的后路——,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,19,不，陈长官理应截断了他们的后路——,でも、チェン長官が彼らの退路を塞いだはず——,アーミヤ,True
character,,,,,,,,,,,,,,char_106_franka_1,,,,,,,,,,,,,,,,,,,,20,,,,False
name,我看不到信息点。,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,,21,我看不到信息点。,手がかりが見当たらない。,フランカ,True
name,这里......不对劲。,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,,22,这里......不对劲。,ここ……何かおかしい。,フランカ,True
name,杂草，废墟，沙丘......,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,,23,杂草，废墟，沙丘......,雑草、廃墟、砂丘……,フランカ,True
name,全是值得埋伏的地点。,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,,24,全是值得埋伏的地点。,どれも待ち伏せに適した場所だ。,フランカ,True
name,但我，什么都看不到。,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,,25,但我，什么都看不到。,でも、私には何も見えない。,フランカ,True
name,脚印，服饰刮擦植物的声音，爆炸物特有的气息......,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,,26,脚印，服饰刮擦植物的声音，爆炸物特有的气息......,足跡、服が植物に擦れる音、爆薬特有の匂い……,フランカ,True
name,我没法判断！,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,,27,我没法判断！,私には分からない！,フランカ,True
name,企鹅快递的家伙，打起精神来！,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,,28,企鹅快递的家伙，打起精神来！,ペンギン急便のやつら、しっかりしなさい！,フランカ,True
name,一切都不对劲！,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,,,29,一切都不对劲！,すべてがおかしい！,フランカ,True
character,,,,,,,,,,,,,,char_136_hsguma,,,,,,,,,,,,,,,,,,,,30,,,,False
background,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,False
name,收声！,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,32,收声！,静かに！,ホシグマ,True
name,是什么声音......？,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,33,是什么声音......？,何の音だ……？,ホシグマ,True
playsound,,$d_gen_walk_n,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,34,,,,False
character,,,,,,,,,,,,,,char_103_angel_1,,,,,,,,,,,,,,,,,,,,35,,,,False
name,————嗯？,,,,,,,,,,,,,能天使,,,,,,,,,,,,,,,,,,,,36,————嗯？,———ん？,エンジェル,True
