command,text_orig,key,is_skippable,fit_mode,intro,volume,crossfade,delay,time,name,image,width,height,fadetime,name2,focus,options,values,references,a,initr,r,g,b,block,duration,xstrength,ystrength,vibrato,randomness,fadeout,afrom,rfrom,gfrom,bfrom,option_number,index,text,jp_text,jp_name,text_match
header,第二十七关（前）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,False
playmusic,,$loading_loop,,,$loading_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,False
delay,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,False
character,,,,,,,,,,char_002_amiya_1#4,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,,,,False
name,博士......,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,博士......,ドクター……,アーミヤ,True
name,我......我不是......我......,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,我......我不是......我......,わたし……私は違……わたし……,アーミヤ,True
background,,,,,,,,,,,bg_wild_a,1,1,1,,,,,,,,,,,,,,,,,,,,,,0,6,,,,False
delay,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,,,,False
character,,,,,,,,,,char_136_hsguma,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,,,,False
name,雾散了。,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,雾散了。,霧が晴れた。,ホシグマ,True
name,近卫局发来通讯，他们发现了更多整合运动的踪迹。,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,近卫局发来通讯，他们发现了更多整合运动的踪迹。,近衛局から連絡があった。さらに多くのレユニオンの痕跡を発見したそうだ。,ホシグマ,True
name,说是在跟踪一个敌人，女性，白发——,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,说是在跟踪一个敌人，女性，白发——,敵の一人を追っているそうだ。女性で白髪――,ホシグマ,True
character,,,,,,,,,,char_002_amiya_1#4,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,,,,False
name,......,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,......,……,アーミヤ,True
character,,,,,,,,,,char_002_amiya_1#4,,,,,char_136_hsguma,2,,,,,,,,,,,,,,,,,,,,0,14,,,,False
name,阿米娅，老陈催促我，让你......,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,阿米娅，老陈催促我，让你......,アーミヤ、チンから急かされた。君に……,ホシグマ,True
dialog,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,16,,,,False
character,,,,,,,,,,char_002_amiya_1#4,,,,,,,,,,,,,,,,,,,,,,,,,,0,17,,,,False
delay,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,18,,,,False
character,,,,,,,,,,char_002_amiya_1#4,,,,,char_136_hsguma,2,,,,,,,,,,,,,,,,,,,,0,19,,,,False
name,......,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,,,0,20,......,……,ホシグマ,True
name,——你脸色不太好。,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,,,0,21,——你脸色不太好。,――顔色が良くないな。,ホシグマ,True
character,,,,,,,,,,char_002_amiya_1#4,,,,,char_136_hsguma,-1,,,,,,,,,,,,,,,,,,,,0,22,,,,False
decision,交给我吧,,,,,,,,,,,,,,,,交给我吧,1,,,,,,,,,,,,,,,,,,1,23,交给我吧,任せてくれ,,True
predicate,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,0,24,,,,False
character,,,,,,,,,,char_136_hsguma,,,,,,,,,,,,,,,,,,,,,,,,,,0,25,,,,False
name,那......,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,,,0,26,那......,それじゃ……,ホシグマ,True
name,那就交给你了，博士。,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,,,0,27,那就交给你了，博士。,それなら頼んだぞ、ドクター。,ホシグマ,True
name,最好能在五分钟内出发。,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,,,0,28,最好能在五分钟内出发。,できれば5分以内に出発したほうがいい。,ホシグマ,True
character,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,0,29,,,,False
delay,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,0,30,,,,False
character,,,,,,,,,,char_002_amiya_1#4,,,,,,,,,,,,,,,,,,,,,,,,,,0,31,,,,False
name,......,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,0,32,......,……,アーミヤ,True
name,——博士——,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,0,33,——博士——,――ドクター――,アーミヤ,True
character,,,,,,,,,,char_002_amiya_1#5,,,,,,-1,,,,,,,,,,,,,,,,,,,,0,34,,,,False
decision,阿米娅，没有必要后悔。,,,,,,,,,,,,,,,,你是在害怕吗？;......难道说，你不喜欢这种力量？;阿米娅，没有必要后悔。,1;2;3,,,,,,,,,,,,,,,,,,3,35,阿米娅，没有必要后悔。,アーミヤ、後悔する必要はないよ。,,True
decision,你是在害怕吗？,,,,,,,,,,,,,,,,你是在害怕吗？;......难道说，你不喜欢这种力量？;阿米娅，没有必要后悔。,1;2;3,,,,,,,,,,,,,,,,,,3,36,你是在害怕吗？,怖がっているのか？,,True
decision,......难道说，你不喜欢这种力量？,,,,,,,,,,,,,,,,你是在害怕吗？;......难道说，你不喜欢这种力量？;阿米娅，没有必要后悔。,1;2;3,,,,,,,,,,,,,,,,,,3,37,......难道说，你不喜欢这种力量？,……まさか、この力が好きじゃないのか？,,True
predicate,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,0,38,,,,False
character,,,,,,,,,,char_002_amiya_1#6,,,,,,,,,,,,,,,,,,,,,,,,,,0,39,,,,False
