command,text_orig,key,is_skippable,fit_mode,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,a,r,g,b,afrom,rfrom,gfrom,bfrom,block,name2,focus,duration,xstrength,ystrength,vibrato,randomness,fadeout,initr,xScale,yScale,index,text,jp_text,jp_name,text_match
header,第二十七关（后）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,False
background,,,,,bg_wild_a,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,False
playmusic,,$loading_loop,,,,,,,$loading_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,,,,,,,,,2,,,,False
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,,,False
character,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,4,,,,False
name,后撤！重整队形！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,5,后撤！重整队形！,後退してください！隊形を立て直しましょう！,アーミヤ,True
name,让他们走吧！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,6,让他们走吧！,彼らを行かせてあげてください！,アーミヤ,True
name,再这样下去，我们的队伍会被敌人分隔！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,7,再这样下去，我们的队伍会被敌人分隔！,このままだと、私たちの隊が敵に分断されてしまいます！,アーミヤ,True
name,如果敌人还有后续的战力增援，后果不堪设想......,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,8,如果敌人还有后续的战力增援，后果不堪设想......,もし敵に追加の戦力があれば、結果は想像もできません......,アーミヤ,True
name,这些整合运动......不是在针对我们！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,9,这些整合运动......不是在针对我们！,この整合運動は……私たちを狙っているわけではありません！,アーミヤ,True
name,优先保证我方干员的安全！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,10,优先保证我方干员的安全！,まずは味方オペレーターの安全を最優先してください！,アーミヤ,True
name,狙击干员，暂时停止对撤退的整合运动的攻击！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,11,狙击干员，暂时停止对撤退的整合运动的攻击！,スナイパーオペレーターのみなさん、撤退中の整合運動への攻撃は一時停止してください！,アーミヤ,True
name,优先支援星熊警官！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,12,优先支援星熊警官！,まずは星熊警官の支援を優先してください！,アーミヤ,True
character,,,,,,,,,,,,,,char_136_hsguma,,,,,,,,,,,,,,,,,,,,,13,,,,False
name,真烦人！,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,14,真烦人！,本当にうるさいな！,ホシグマ,True
character,,,,,,,,,,,,,,char_1504_cqbw,,,,,,,,,,,,,,,,,,,,,15,,,,False
name,不错不错，居然被你撑住了~,,,,,,,,,,,,,W,,,,,,,,,,,,,,,,,,,,,16,不错不错，居然被你撑住了~,いいじゃない、よく持ちこたえたね〜,W,True
name,不过，你还能撑几发呢？,,,,,,,,,,,,,W,,,,,,,,,,,,,,,,,,,,,17,不过，你还能撑几发呢？,でも、あと何発耐えられるのかな？,W,True
character,,,,,,,,,,,,,,char_136_hsguma,,,,,,,,,,,,,,,,,,,,,18,,,,False
