command,text_orig,key,is_skippable,fit_mode,screenadapt,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,name2,focus,a,initr,r,g,b,block,index,text,jp_text,jp_name,text_match
header,第二十八关（后）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,0,,,,False
background,,,,,coverall,bg_wild_a,1,1,1,,,,,,,,,,,,,,,1,,,,False
playmusic,,$loading_loop,,,,,,,,$loading_intro,0.8,1.5,0.5,,,,,,,,,,,2,,,,False
delay,,,,,,,,,,,,,,1,,,,,,,,,,3,,,,False
character,,,,,,,,,,,,,,,char_1002_nsabr_2,,,,,,,,,4,,,,False
name,不......,,,,,,,,,,,,,,整合运动成员,,,,,,,,,5,不......,いや……,レユニオンメンバー,True
name,不可能！不可能......！,,,,,,,,,,,,,,整合运动成员,,,,,,,,,6,不可能！不可能......！,ありえない！ありえない……！,レユニオンメンバー,True
name,怎，怎么会这样！碎骨，碎骨！,,,,,,,,,,,,,,整合运动成员,,,,,,,,,7,怎，怎么会这样！碎骨，碎骨！,ど、どうしてこんなことに！スカルシュレッダー、スカルシュレッダー！,レユニオンメンバー,True
name,别，别让米莎看见，这......,,,,,,,,,,,,,,整合运动成员,,,,,,,,,8,别，别让米莎看见，这......,み、ミーシャには見せるな、これを……,レユニオンメンバー,True
name,快让那几个懂急救的过来！,,,,,,,,,,,,,,整合运动成员,,,,,,,,,9,快让那几个懂急救的过来！,応急処置ができる人を早く呼んで来い！,レユニオンメンバー,True
name,可恶，梅菲斯特为什么不肯来，他在干什么！,,,,,,,,,,,,,,整合运动成员,,,,,,,,,10,可恶，梅菲斯特为什么不肯来，他在干什么！,くそっ、メフィストはなぜ来ないんだ、何をしている！,レユニオンメンバー,True
name,说什么另有计划......究竟在搞什么鬼！,,,,,,,,,,,,,,整合运动成员,,,,,,,,,11,说什么另有计划......究竟在搞什么鬼！,別の計画があるだと……一体何を考えているんだ！,レユニオンメンバー,True
name,如果有他在的话，我们能救回很多人啊！,,,,,,,,,,,,,,整合运动成员,,,,,,,,,12,如果有他在的话，我们能救回很多人啊！,彼がいれば、もっと多くの人を助けられるのに！,レユニオンメンバー,True
character,,,,,,,,,,,,,,,,,,,,,,,,13,,,,False
character,,,,,,,,,,,,,,,char_1504_cqbw,char_1002_nsabr_2,1,,,,,,,14,,,,False
name,指望那个不重视同伴的家伙，有点不太现实吧。,,,,,,,,,,,,,,W,,,,,,,,,15,指望那个不重视同伴的家伙，有点不太现实吧。,仲間を大切にしないやつに期待しても無駄でしょ。,W,True
character,,,,,,,,,,,,,,,char_1504_cqbw,char_1002_nsabr_2,2,,,,,,,16,,,,False
name,......,,,,,,,,,,,,,,整合运动成员,,,,,,,,,17,......,……,レユニオンメンバー,True
character,,,,,,,,,,,,,,,char_1504_cqbw,char_1002_nsabr_2,1,,,,,,,18,,,,False
name,没办法的事情，别太自责。,,,,,,,,,,,,,,W,,,,,,,,,19,没办法的事情，别太自责。,仕方ないことだよ、そんなに自分を責めるな。,W,True
character,,,,,,,,,,,,,,,char_1504_cqbw,char_1002_nsabr_2,2,,,,,,,20,,,,False
name,谢谢你掩护我们，W......,,,,,,,,,,,,,,整合运动成员,,,,,,,,,21,谢谢你掩护我们，W......,私たちをかばってくれてありがとう、W……,レユニオンメンバー,True
name,至少，我们把他带回来了。,,,,,,,,,,,,,,整合运动成员,,,,,,,,,22,至少，我们把他带回来了。,少なくとも、彼を連れて帰ることができた。,レユニオンメンバー,True
character,,,,,,,,,,,,,,,char_1504_cqbw,char_1002_nsabr_2,1,,,,,,,23,,,,False
name,感谢要用实际行动哦。,,,,,,,,,,,,,,W,,,,,,,,,24,感谢要用实际行动哦。,感謝は、行動で示してね。,W,True
character,,,,,,,,,,,,,,,char_1504_cqbw,char_1002_nsabr_2,2,,,,,,,25,,,,False
name,当然。我们会掩护你撤退......只是，有一个请求——,,,,,,,,,,,,,,整合运动成员,,,,,,,,,26,当然。我们会掩护你撤退......只是，有一个请求——,もちろん。私たちが撤退を援護する……ただ、一つお願いが——,レユニオンメンバー,True
name,请一定保护好米莎。,,,,,,,,,,,,,,整合运动成员,,,,,,,,,27,请一定保护好米莎。,どうか、ミーシャを必ず守ってくれ。,レユニオンメンバー,True
character,,,,,,,,,,,,,,,char_1504_cqbw,char_1002_nsabr_2,1,,,,,,,28,,,,False
name,那是当然，毕竟——,,,,,,,,,,,,,,W,,,,,,,,,29,那是当然，毕竟——,もちろんさ、だって——,W,True
character,,,,,,,,,,,,,,,char_012_misa_1#5,,,,,,,,,30,,,,False
name,毕竟我还有利用价值，是吗？,,,,,,,,,,,,,,米莎,,,,,,,,,31,毕竟我还有利用价值，是吗？,結局私はまだ利用価値があるってことですね？,ミーシャ,True
character,,,,,,,,,,,,,,,char_1002_nsabr_2,,,,,,,,,32,,,,False
name,......我们......,,,,,,,,,,,,,,整合运动成员,,,,,,,,,33,......我们......,……私たちは……,レユニオンメンバー,True
character,,,,,,,,,,,,,,,char_012_misa_1,char_1002_nsabr_2,1,,,,,,,34,,,,False
name,......让我和碎骨单独待会儿吧。,,,,,,,,,,,,,,米莎,,,,,,,,,35,......让我和碎骨单独待会儿吧。,……私とスカルシュレッダーを二人きりにしてもらえますか。,ミーシャ,True
name,我来......照看他。,,,,,,,,,,,,,,米莎,,,,,,,,,36,我来......照看他。,私が……彼を看ます。,ミーシャ,True
character,,,,,,,,,,,,,,,char_012_misa_1,char_1002_nsabr_2,2,,,,,,,37,,,,False
name,可是......,,,,,,,,,,,,,,整合运动成员,,,,,,,,,38,可是......,でも……,レユニオンメンバー,True
name,............,,,,,,,,,,,,,,整合运动成员,,,,,,,,,39,............,…………,レユニオンメンバー,True
name,......好。,,,,,,,,,,,,,,整合运动成员,,,,,,,,,40,......好。,……わかった。,レユニオンメンバー,True
name,W，说好了。你一定要做到。,,,,,,,,,,,,,,整合运动成员,,,,,,,,,41,W，说好了。你一定要做到。,W、約束だ。必ず守ってくれ。,レユニオンメンバー,True
character,,,,,,,,,,,,,,,char_1504_cqbw,char_1002_nsabr_2,1,,,,,,,42,,,,False
name,好的好的~,,,,,,,,,,,,,,W,,,,,,,,,43,好的好的~,はいはい～,W,True
dialog,,,,,,,,,0.6,,,,,,,,,,,,,,,44,,,,False
character,,,,,,,,,0.6,,,,,,,,,,,,,,,45,,,,False
delay,,,,,,,,,,,,,,0.6,,,,,,,,,,46,,,,False
character,,,,,,,,,,,,,,,char_012_misa_1,,,,,,,,,47,,,,False
delay,,,,,,,,,,,,,,0.6,,,,,,,,,,48,,,,False
name,我说的是—————,,,,,,,,,,,,,,米莎,,,,,,,,,49,我说的是—————,私は言っています———,ミーシャ,True
name,让我和碎骨单独待会儿。,,,,,,,,,,,,,,米莎,,,,,,,,,50,让我和碎骨单独待会儿。,私とスカルシュレッダーを二人きりにしてください。,ミーシャ,True
character,,,,,,,,,,,,,,,char_1504_cqbw,,,,,,,,,51,,,,False
name,可是你该走了。,,,,,,,,,,,,,,W,,,,,,,,,52,可是你该走了。,でも、君はもう行かなくちゃ。,W,True
character,,,,,,,,,,,,,,,char_012_misa_1,,,,,,,,,53,,,,False
name,......,,,,,,,,,,,,,,米莎,,,,,,,,,54,......,……,ミーシャ,True
character,,,,,,,,,,,,,,,char_012_misa_1,char_1504_cqbw,2,,,,,,,55,,,,False
name,过不了多久，龙门和罗德岛就会攻进来。,,,,,,,,,,,,,,W,,,,,,,,,56,过不了多久，龙门和罗德岛就会攻进来。,まもなく、龍門とロドスが攻めてくる。,W,True
name,这些殿后的整合运动也会死去吧。,,,,,,,,,,,,,,W,,,,,,,,,57,这些殿后的整合运动也会死去吧。,ここに残るレユニオンたちも死ぬだろうね。,W,True
name,啊呀啊呀，真麻烦。,,,,,,,,,,,,,,W,,,,,,,,,58,啊呀啊呀，真麻烦。,あーあ、本当に面倒だね。,W,True
name,米莎，因为你，会有那么多人死去......,,,,,,,,,,,,,,W,,,,,,,,,59,米莎，因为你，会有那么多人死去......,ミーシャ、君のせいでこんなに多くの人が死ぬんだよ……,W,True
name,真遗憾呢。,,,,,,,,,,,,,,W,,,,,,,,,60,真遗憾呢。,本当に残念だね。,W,True
character,,,,,,,,,,,,,,,char_012_misa_1,char_1504_cqbw,1,,,,,,,61,,,,False
name,你开始让我感到厌烦了，W。,,,,,,,,,,,,,,米莎,,,,,,,,,62,你开始让我感到厌烦了，W。,W、あなたのことがだんだんうんざりしてきました。,ミーシャ,True
name,你是没法从我这里得到任何东西的。,,,,,,,,,,,,,,米莎,,,,,,,,,63,你是没法从我这里得到任何东西的。,あなたは私から何も得ることはできません。,ミーシャ,True
character,,,,,,,,,,,,,,,char_012_misa_1,char_1504_cqbw,2,,,,,,,64,,,,False
name,哇哇，好可怕~,,,,,,,,,,,,,,W,,,,,,,,,65,哇哇，好可怕~,わあ、怖いね～,W,True
name,那只小兔子，还挺在乎你的呢？,,,,,,,,,,,,,,W,,,,,,,,,66,那只小兔子，还挺在乎你的呢？,あの小ウサギ、君のこと気にしてるみたいだね？,W,True
name,不过那个龙门的陈长官可就不一样了。,,,,,,,,,,,,,,W,,,,,,,,,67,不过那个龙门的陈长官可就不一样了。,でも、あの龍門のチェン長官は違うよ。,W,True
name,她可不会对任何人手下留情哦。,,,,,,,,,,,,,,W,,,,,,,,,68,她可不会对任何人手下留情哦。,彼女は誰にも容赦しないからね。,W,True
name,也许她会为了利用你而留你一条命——,,,,,,,,,,,,,,W,,,,,,,,,69,也许她会为了利用你而留你一条命——,もしかしたら君を利用するために生かしておくかもしれない——,W,True
name,但那之后会发生什么事，你在乌萨斯也看的够多了吧？,,,,,,,,,,,,,,W,,,,,,,,,70,但那之后会发生什么事，你在乌萨斯也看的够多了吧？,でもその後何が起こるか、ウルサスで十分見てきただろう？,W,True
character,,,,,,,,,,,,,,,char_012_misa_1,char_1504_cqbw,1,,,,,,,71,,,,False
name,......,,,,,,,,,,,,,,米莎,,,,,,,,,72,......,……,ミーシャ,True
character,,,,,,,,,,,,,,,char_012_misa_1,char_1504_cqbw,2,,,,,,,73,,,,False
name,现在和我走，还来得及。,,,,,,,,,,,,,,W,,,,,,,,,74,现在和我走，还来得及。,今ならまだ私と一緒に行けるよ。,W,True
name,尽管——要放着这些整合运动自生自灭......,,,,,,,,,,,,,,W,,,,,,,,,75,尽管——要放着这些整合运动自生自灭......,もちろん――ここにいるレユニオンを見捨てることになるけど……,W,True
name,他们的下场，大概已经定下了吧。,,,,,,,,,,,,,,W,,,,,,,,,76,他们的下场，大概已经定下了吧。,彼らの運命はもう決まっているでしょ。,W,True
name,真的很可怜哦。,,,,,,,,,,,,,,W,,,,,,,,,77,真的很可怜哦。,本当にかわいそうだね。,W,True
character,,,,,,,,,,,,,,,char_012_misa_1,char_1504_cqbw,1,,,,,,,78,,,,False
name,——,,,,,,,,,,,,,,米莎,,,,,,,,,79,——,——,ミーシャ,True
character,,,,,,,,,,,,,,,char_012_misa_1,char_1504_cqbw,2,,,,,,,80,,,,False
name,对了对了。,,,,,,,,,,,,,,W,,,,,,,,,81,对了对了。,そうだそうだ。,W,True
name,虽然你目睹了全过程——,,,,,,,,,,,,,,W,,,,,,,,,82,虽然你目睹了全过程——,君は全部を見ていたけど――,W,True
name,但是，唉，不好意思，我可没有余力把碎骨带回切尔诺伯——,,,,,,,,,,,,,,W,,,,,,,,,83,但是，唉，不好意思，我可没有余力把碎骨带回切尔诺伯——,でも、ああ、ごめんね、私にはスカルシュレッダーをチェルノボーグまで連れて帰る余裕はない――,W,True
character,,,,,,,,,,,,,,,char_012_misa_1,char_1504_cqbw,1,,,,,,,84,,,,False
name,住口！,,,,,,,,,,,,,,米莎,,,,,,,,,85,住口！,黙ってください！,ミーシャ,True
character,,,,,,,,,,,,,,,char_012_misa_1,char_1504_cqbw,2,,,,,,,86,,,,False
name,我只是说了实话。,,,,,,,,,,,,,,W,,,,,,,,,87,我只是说了实话。,私はただ本当のことを言っただけだよ。,W,True
name,毕竟这里已经毫无希望了呢~,,,,,,,,,,,,,,W,,,,,,,,,88,毕竟这里已经毫无希望了呢~,だってここにはもう希望がないからね～,W,True
name,想清楚以后，就早点告诉我哦？,,,,,,,,,,,,,,W,,,,,,,,,89,想清楚以后，就早点告诉我哦？,よく考えてから、早く教えてね？,W,True
delay,,,,,,,,,,,,,,0.6,,,,,,,,,,90,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,91,,,,False
character,,,,,,,,,,,,,,,char_1504_cqbw,,,,,,,,,92,,,,False
character,,,,,,,,,0.6,,,,,,,,,,,,,,,93,,,,False
delay,,,,,,,,,,,,,,0.6,,,,,,,,,,94,,,,False
background,,,,,,,,,1,,,,,,,,,,,,,,,95,,,,False
character,,,,,,,,,,,,,,,char_012_misa_1,,,,,,,,,96,,,,False
delay,,,,,,,,,,,,,,1,,,,,,,,,,97,,,,False
name,不。,,,,,,,,,,,,,,米莎,,,,,,,,,98,不。,いいえ。,ミーシャ,True
name,我一定会......,,,,,,,,,,,,,,米莎,,,,,,,,,99,我一定会......,私はきっと……,ミーシャ,True
name,让碎骨活过来。,,,,,,,,,,,,,,米莎,,,,,,,,,100,让碎骨活过来。,スカルシュレッダーを生き返らせます。,ミーシャ,True
name,碎骨不会死......碎骨是不会死的。,,,,,,,,,,,,,,米莎,,,,,,,,,101,碎骨不会死......碎骨是不会死的。,スカルシュレッダーは死にません……絶対に死なせません。,ミーシャ,True
name,如果是他，他一定会保护大家......保护所有人。,,,,,,,,,,,,,,米莎,,,,,,,,,102,如果是他，他一定会保护大家......保护所有人。,彼なら、必ずみんなを守ってくれます……みんなを守ります。,ミーシャ,True
name,如果是他的话，一定会的。,,,,,,,,,,,,,,米莎,,,,,,,,,103,如果是他的话，一定会的。,彼だったら、きっとしてくれます。,ミーシャ,True
name,......,,,,,,,,,,,,,,米莎,,,,,,,,,104,......,……,ミーシャ,True
name,大家都和我一样，大家都是感染者。,,,,,,,,,,,,,,米莎,,,,,,,,,105,大家都和我一样，大家都是感染者。,みんな私と同じで、皆感染者です。,ミーシャ,True
name,我也是......感染者。,,,,,,,,,,,,,,米莎,,,,,,,,,106,我也是......感染者。,私も……感染者です。,ミーシャ,True
name,我们已经无处可去了......,,,,,,,,,,,,,,米莎,,,,,,,,,107,我们已经无处可去了......,私たちはもう行く場所がありません……,ミーシャ,True
name,大家都是......需要被保护的人。,,,,,,,,,,,,,,米莎,,,,,,,,,108,大家都是......需要被保护的人。,みんな……守られるべき人たちです。,ミーシャ,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,109,,,,False
blocker,,,,,,,,,0.6,,,,,,,,,1,2,0,0,0,true,110,,,,False
background,,,,,,,,,0,,,,,,,,,,,,,,,111,,,,False
character,,,,,,,,,0,,,,,,,,,,,,,,,112,,,,False
blocker,,,,,,,,,0.6,,,,,,,,,0,,,,,true,113,,,,False
name,碎骨的......,,,,,,,,,,,,,,米莎,,,,,,,,,114,碎骨的......,スカルシュレッダーの……,ミーシャ,True
name,......,,,,,,,,,,,,,,米莎,,,,,,,,,115,......,……,ミーシャ,True
name,我必须......,,,,,,,,,,,,,,米莎,,,,,,,,,116,我必须......,私は……しなければなりません。,ミーシャ,True
delay,,,,,,,,,,,,,,0.6,,,,,,,,,,117,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,118,,,,False
delay,,,,,,,,,,,,,,1,,,,,,,,,,119,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,120,,,,False
blocker,,,,,,,,,,,,,,,,,,,,,,,true,121,,,,False
image,,,,,,,,,,,,,,,,,,,,,,,,122,,,,False
