command,text_orig,key,is_skippable,fit_mode,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,duration,xstrength,ystrength,vibrato,randomness,fadeout,block,stop,name2,focus,a,r,g,b,index,text,jp_text,jp_name,text_match
header,第二十九关（前）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,False
background,,,,,bg_wild_a,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,False
playmusic,,$mist_loop,,,,,,,$mist_loop,0.8,1.5,0.5,,,,,,,,,,,,,,,,,2,,,,False
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,,False
character,,,,,,,,,,,,,,char_106_franka_1,,,,,,,,,,,,,,,4,,,,False
name,第一防线突破！,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,5,第一防线突破！,第一防衛線、突破した！,フランカ,True
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,6,,,,False
playsound,,$e_atk_arrow_h,,,,,,,,0.4,,0.1,,,,,,,,,,,,,,,,,7,,,,False
name,术师在做什么！,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,8,术师在做什么！,術師は何をしているんだ！,統合運動メンバー,True
name,敌人的先锋明明只有一个......,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,9,敌人的先锋明明只有一个......,敵の先鋒は一人だけのはずなのに……,統合運動メンバー,True
name,为什么就看着她把我们的阵线撕得粉碎！,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,10,为什么就看着她把我们的阵线撕得粉碎！,なんで黙って彼女に陣形をボロボロにされてるんだよ！,統合運動メンバー,True
name,快，快！攻击她！,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,11,快，快！攻击她！,早く、早く！あいつを攻撃しろ！,統合運動メンバー,True
playsound,,$e_atk_arrow_h,,,,,,,,0.4,,0.1,,,,,,,,,,,,,,,,,12,,,,False
camerashake,,,,,,,,,,,,,,,1,8,6,30,90,true,true,,,,,,,,13,,,,False
camerashake,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,14,,,,False
character,,,,,,,,,,,,,,char_107_liskam_1,,,,,,,,,char_106_franka_1,1,,,,,15,,,,False
name,芙兰卡！你脱离了安全距离！,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,16,芙兰卡！你脱离了安全距离！,フランカ！安全距離から離れすぎだ！,レイズ,True
name,我没法......没法掩护你！,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,17,我没法......没法掩护你！,私は……もう援護できないぞ！,レイズ,True
character,,,,,,,,,,,,,,char_107_liskam_1,,,,,,,,,char_106_franka_1,2,,,,,18,,,,False
name,我也不像是会做些毫无把握的事的人吧？,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,19,我也不像是会做些毫无把握的事的人吧？,私が自信なしで行動するような人間に見える？,フランカ,True
character,,,,,,,,,,,,,,char_107_liskam_1,,,,,,,,,char_106_franka_1,1,,,,,20,,,,False
name,小心四点钟方向！,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,21,小心四点钟方向！,4時の方向に気をつけて！,レイズ,True
character,,,,,,,,,,,,,,char_107_liskam_1,,,,,,,,,char_106_franka_1,2,,,,,22,,,,False
name,雷蛇，你该出场了！,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,23,雷蛇，你该出场了！,レイズ、出番だよ！,フランカ,True
name,麻烦帮我抵挡一下敌人的远程攻击，谢谢！,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,24,麻烦帮我抵挡一下敌人的远程攻击，谢谢！,敵の遠距離攻撃を防いでくれる？助かる！,フランカ,True
character,,,,,,,,,,,,,,char_107_liskam_1,,,,,,,,,char_106_franka_1,1,,,,,25,,,,False
name,啧......,,,,,,,,,,,,,雷蛇,,,,,,,,,,,,,,,26,啧......,チッ……,レイズ,True
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,27,,,,False
name,快！快啊！,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,28,快！快啊！,早く！急げ！,統合運動メンバー,True
name,先压制住那个拿剑的家伙再说！,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,29,先压制住那个拿剑的家伙再说！,まず剣を持ってるやつを抑えろ！,統合運動メンバー,True
playsound,,$e_atk_arrow_h,,,,,,,,0.4,,0.1,,,,,,,,,,,,,,,,,30,,,,False
playsound,,$p_imp_blunt_h,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,False
blocker,,,,,,,,0.2,,,,,,,,,,,,,true,,,,1,0.95,0.95,0.95,32,,,,False
blocker,,,,,,,,0.25,,,,,,,,,,,,,true,,,,0,0.95,0.95,0.95,33,,,,False
camerashake,,,,,,,,,,,,,,,1,10,12,30,90,true,true,,,,,,,,34,,,,False
name,成功了吗——,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,35,成功了吗——,うまくいったか——,統合運動メンバー,True
name,......啊？,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,36,......啊？,……あれ？,統合運動メンバー,True
character,,,,,,,,,,,,,,char_136_hsguma,,,,,,,,,,,,,,,37,,,,False
