command,text_orig,key,is_skippable,fit_mode,image,width,height,fadetime,intro,volume,crossfade,delay,time,a,r,g,b,afrom,rfrom,gfrom,bfrom,block,duration,xstrength,ystrength,vibrato,randomness,fadeout,name,name2,focus,initr,xScale,yScale,xScaleTo,yScaleTo,xFrom,xTo,screenadapt,index,text,jp_text,jp_name,text_match
header,第二十九关（后）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,False
background,,,,,bg_wild_a,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,False
playmusic,,$mist_loop,,,,,,,$mist_loop,0.8,1.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,False
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,False
blocker,,,,,,,,0.1,,,,,,0.3,1,1,1,0,0,0,0,true,,,,,,,,,,,,,,,,,,4,,,,False
blocker,,,,,,,,0.1,,,,,,0,,,,,,,,true,,,,,,,,,,,,,,,,,,5,,,,False
playsound,,$p_imp_blunt_h,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,False
playsound,,$p_imp_sword_n,,,,,,,,0.3,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,False
camerashake,,,,,,,,,,,,,,,,,,,,,,true,0.6,14,20,30,90,true,,,,,,,,,,,,8,,,,False
name,不能让他们过去！！,,,,,,,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,9,不能让他们过去！！,奴らを通すな！！,レユニオンメンバー,True
name,W应该带走米莎了——————！,,,,,,,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,10,W应该带走米莎了——————！,Wがミーシャを連れて行ったはずだ——————！,レユニオンメンバー,True
name,不能让这些家伙得逞！！,,,,,,,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,11,不能让这些家伙得逞！！,こいつらの好きにはさせない！！,レユニオンメンバー,True
camerashake,,,,,,,,,,,,,,,,,,,,,,true,1,10,12,30,90,true,,,,,,,,,,,,12,,,,False
camerashake,,,,,,,,,,,,,,,,,,,,,,false,1,10,12,30,90,true,,,,,,,,,,,,13,,,,False
playsound,,$p_imp_blunt_h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_136_hsguma,,,,,,,,,,,15,,,,False
blocker,,,,,,,,0.2,,,,,,1,0.95,0.95,0.95,,,,,true,,,,,,,,,,,,,,,,,,16,,,,False
blocker,,,,,,,,0.25,,,,,,0,0.95,0.95,0.95,,,,,true,,,,,,,,,,,,,,,,,,17,,,,False
name,——给我让开！别急着寻死！,,,,,,,,,,,,,,,,,,,,,,,,,,,,星熊,,,,,,,,,,,18,——给我让开！别急着寻死！,——どけ！死に急ぐな！,ホシグマ,True
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,False
name,呃，呃啊！！,,,,,,,,,,,,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,20,呃，呃啊！！,う、うああ！！,レユニオンメンバー,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_106_franka_1,char_107_liskam_1,1,,,,,,,,,21,,,,False
name,哦，哦哦......这么粗暴的作战方式，让我想起了罗德岛的一个人。,,,,,,,,,,,,,,,,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,22,哦，哦哦......这么粗暴的作战方式，让我想起了罗德岛的一个人。,お、おお……こんな荒っぽいやり方、ロドスの誰かを思い出すわ。,フランカ,True
name,她和星熊长官大概，大概会很有共同话题吧？,,,,,,,,,,,,,,,,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,23,她和星熊长官大概，大概会很有共同话题吧？,彼女とホシグマ隊長、きっと気が合うんじゃない？,フランカ,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_106_franka_1,char_107_liskam_1,2,,,,,,,,,24,,,,False
name,不要光站在那里，芙兰卡！,,,,,,,,,,,,,,,,,,,,,,,,,,,,雷蛇,,,,,,,,,,,25,不要光站在那里，芙兰卡！,ぼーっとしてないで、フランカ！,レイズ,True
name,快做点什么！,,,,,,,,,,,,,,,,,,,,,,,,,,,,雷蛇,,,,,,,,,,,26,快做点什么！,早く何かして！,レイズ,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_106_franka_1,char_107_liskam_1,1,,,,,,,,,27,,,,False
name,好啦，好啦。,,,,,,,,,,,,,,,,,,,,,,,,,,,,芙兰卡,,,,,,,,,,,28,好啦，好啦。,分かった、分かった。,フランカ,True
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,False
delay,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_102_texas_1,char_103_angel_1,2,,,,,,,,,31,,,,False
name,哈，龙门的督察传说看来是真的啊......,,,,,,,,,,,,,,,,,,,,,,,,,,,,能天使,,,,,,,,,,,32,哈，龙门的督察传说看来是真的啊......,はぁ、龍門の監察伝説って本当なんだね……,エクシア,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_102_texas_1,char_103_angel_1,1,,,,,,,,,33,,,,False
name,别分心。,,,,,,,,,,,,,,,,,,,,,,,,,,,,德克萨斯,,,,,,,,,,,34,别分心。,気を抜くな。,テキサス,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_102_texas_1,char_103_angel_1,2,,,,,,,,,35,,,,False
name,没光是——,,,,,,,,,,,,,,,,,,,,,,,,,,,,能天使,,,,,,,,,,,36,没光是——,ただの光じゃ——,エクシア,True
name,在看别人哦！砰！,,,,,,,,,,,,,,,,,,,,,,,,,,,,能天使,,,,,,,,,,,37,在看别人哦！砰！,他を見てる場合じゃないよ！バン！,エクシア,True
blocker,,,,,,,,0.02,,,,,,0.7,0.95,0.95,0.95,,,,,true,,,,,,,,,,,,,,,,,,38,,,,False
playsound,,$p_atk_smg_h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,False
blocker,,,,,,,,0.25,,,,,,0,0.95,0.95,0.95,,,,,true,,,,,,,,,,,,,,,,,,40,,,,False
camerashake,,,,,,,,,,,,,,,,,,,,,,true,0.6,5,8,30,90,,,,,,,,,,,,,41,,,,False
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,False
name,唔啊！,,,,,,,,,,,,,,,,,,,,,,,,,,,,整合运动术师,,,,,,,,,,,43,唔啊！,うわっ！,レユニオン術師,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_102_texas_1,char_103_angel_1,2,,,,,,,,,44,,,,False
name,废墟二楼的那些火力小组，可是我发现的哦？,,,,,,,,,,,,,,,,,,,,,,,,,,,,能天使,,,,,,,,,,,45,废墟二楼的那些火力小组，可是我发现的哦？,廃墟の二階にいた火力班は、私が見つけたんだよ？,エクシア,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_102_texas_1,char_103_angel_1,1,,,,,,,,,46,,,,False
name,很棒。,,,,,,,,,,,,,,,,,,,,,,,,,,,,德克萨斯,,,,,,,,,,,47,很棒。,偉い。,テキサス,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_102_texas_1,char_103_angel_1,2,,,,,,,,,48,,,,False
name,嘿嘿。,,,,,,,,,,,,,,,,,,,,,,,,,,,,能天使,,,,,,,,,,,49,嘿嘿。,えへへ。,エクシア,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_102_texas_1,char_103_angel_1,1,,,,,,,,,50,,,,False
name,......我们走。,,,,,,,,,,,,,,,,,,,,,,,,,,,,德克萨斯,,,,,,,,,,,51,......我们走。,……行くぞ。,テキサス,True
name,不能让雇主孤身奋战。,,,,,,,,,,,,,,,,,,,,,,,,,,,,德克萨斯,,,,,,,,,,,52,不能让雇主孤身奋战。,雇い主を一人にしてはいけない。,テキサス,True
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,False
delay,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_106_franka_1,char_002_amiya_1,2,,,,,,,,,55,,,,False
