command,text_orig,key,is_skippable,fit_mode,image,width,height,fadetime,intro,volume,crossfade,delay,name,duration,xstrength,ystrength,vibrato,randomness,fadeout,a,r,g,b,block,name2,focus,options,values,references,time,option_number,index,text,jp_text,jp_name,text_match
header,第三十关（前）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,False
background,,,,,bg_wild_a,1,1,1,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,False
playmusic,,$m_bat_game02_loop,,,,,,,$m_bat_game02_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,,,,,0,2,,,,False
character,,,,,,,,,,,,,char_1002_nsabr_2,,,,,,,,,,,,,,,,,,0,3,,,,False
name,咕！他们还在反击！,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,0,4,咕！他们还在反击！,くっ！奴らはまだ反撃している！,レユニオンメンバー,True
playsound,,$e_skill_skulsrexplo,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,0,5,,,,False
camerashake,,,,,,,,,,,,,,1,12,1,30,90,true,,,,,,,,,,,,0,6,,,,False
character,,,,,,,,,,,,,char_1002_nsabr_2,,,,,,,,,,,,,,,,,,0,7,,,,False
name,碎骨！,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,0,8,碎骨！,スカルシュレッダー！,レユニオンメンバー,True
name,只要现在击退他们，我们就能胜利了！,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,0,9,只要现在击退他们，我们就能胜利了！,今、奴らを撃退できれば、俺たちの勝ちだ！,レユニオンメンバー,True
playsound,,$e_skill_skulsrexplo,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,0,10,,,,False
camerashake,,,,,,,,,,,,,,1,12,1,30,90,true,,,,,,,,,,,,0,11,,,,False
character,,,,,,,,,,,,,char_1500_skulsr,,,,,,,,,,,,,,,,,,0,12,,,,False
name,没错。,,,,,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,0,13,没错。,そうだ。,スカルシュレッダー,True
name,现在......只能战斗。,,,,,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,0,14,现在......只能战斗。,今は……戦うしかない。,スカルシュレッダー,True
playsound,,$e_skill_skulsrexplo,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,0,15,,,,False
blocker,,,,,,,,0.2,,,,,,,,,,,,0.7,0.95,0.95,0.95,true,,,,,,,0,16,,,,False
blocker,,,,,,,,0.25,,,,,,,,,,,,0,0.95,0.95,0.95,true,,,,,,,0,17,,,,False
playsound,,$p_imp_blunt_h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,18,,,,False
blocker,,,,,,,,0.2,,,,,,,,,,,,1,0.95,0.95,0.95,true,,,,,,,0,19,,,,False
blocker,,,,,,,,0.25,,,,,,,,,,,,0,0.95,0.95,0.95,true,,,,,,,0,20,,,,False
camerashake,,,,,,,,,,,,,,1,10,12,30,90,true,,,,,true,,,,,,,0,21,,,,False
character,,,,,,,,,,,,,char_136_hsguma,,,,,,,,,,,,,,,,,,0,22,,,,False
name,这些人......有点难缠！,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,0,23,这些人......有点难缠！,こいつら……手強いな！,ホシグマ,True
character,,,,,,,,,,,,,char_1002_nsabr_2,,,,,,,,,,,,,,,,,,0,24,,,,False
name,呃——！那面盾，可恶......,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,0,25,呃——！那面盾，可恶......,うっ――！あの盾、くそ……,レユニオンメンバー,True
name,没错，她，她是龙门近卫局的......！,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,0,26,没错，她，她是龙门近卫局的......！,そうだ、彼女、彼女は龍門近衛局の……！,レユニオンメンバー,True
character,,,,,,,,,,,,,char_136_hsguma,,,,,,,,,,,,,,,,,,0,27,,,,False
name,如果你们现在放下武器投降，你们还有机会。,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,0,28,如果你们现在放下武器投降，你们还有机会。,今、武器を捨てて投降すれば、まだチャンスはある。,ホシグマ,True
name,除非想白白送命的话......,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,0,29,除非想白白送命的话......,無駄死にしたくないなら……,ホシグマ,True
character,,,,,,,,,,,,,char_1002_nsabr_2,,,,,,,,,,,,,,,,,,0,30,,,,False
name,我们怎么可能会相信你的话？,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,0,31,我们怎么可能会相信你的话？,お前の言葉なんて信じられるか？,レユニオンメンバー,True
character,,,,,,,,,,,,,char_1002_nsabr_2,,,,,,,,,,,,,,,,,,0,32,,,,False
name,别骗人了！乌萨斯......不是没有劝降过感染者。一个接一个的，最后都被处决了......,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,0,33,别骗人了！乌萨斯......不是没有劝降过感染者。一个接一个的，最后都被处决了......,嘘をつくな！ウルサスだって……感染者に投降を勧めたが、次々に処刑した……,レユニオンメンバー,True
name,而我趴在死尸堆里，苟延残喘，最后活了下来。,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,0,34,而我趴在死尸堆里，苟延残喘，最后活了下来。,俺は死体の山に埋もれ、生き延びたんだ。,レユニオンメンバー,True
character,,,,,,,,,,,,,char_136_hsguma,,,,,,,,,,,,,,,,,,0,35,,,,False
name,......,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,0,36,......,……,ホシグマ,True
character,,,,,,,,,,,,,char_1002_nsabr_2,,,,,,,,,,,,,,,,,,0,37,,,,False
name,你们这些家伙为了消灭我们......做出来的事情有多卑鄙都不稀奇。,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,0,38,你们这些家伙为了消灭我们......做出来的事情有多卑鄙都不稀奇。,お前たちは俺たちを消すために……どんな汚いやり方でも平気なんだろう。,レユニオンメンバー,True
name,不就是要把我们感染者，赶尽杀绝吗？,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,0,39,不就是要把我们感染者，赶尽杀绝吗？,結局、感染者を根絶したいだけだろ？,レユニオンメンバー,True
name,那就战斗到最后一刻吧。,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,0,40,那就战斗到最后一刻吧。,なら、最後の瞬間まで戦うぞ。,レユニオンメンバー,True
character,,,,,,,,,,,,,char_136_hsguma,,,,,,,,,,,,,,,,,,0,41,,,,False
name,......,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,0,42,......,……,ホシグマ,True
character,,,,,,,,,,,,,char_106_franka_1,,,,,,,,,,,,,,,,,,0,43,,,,False
name,个子很大的小姐，无论你现在说什么，他们可都是听不进去的。,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,0,44,个子很大的小姐，无论你现在说什么，他们可都是听不进去的。,背の高いお嬢さん、今何を言っても彼らには届かないよ。,フランカ,True
name,毕竟他们可没法分辨龙门的好人和乌萨斯的恶人啊。,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,0,45,毕竟他们可没法分辨龙门的好人和乌萨斯的恶人啊。,だって、彼らには龍門の善人とウルサスの悪人の見分けなんてできないから。,フランカ,True
name,在那个地方——不，在很多地方......,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,0,46,在那个地方——不，在很多地方......,あの場所――いや、多くの場所で……,フランカ,True
name,普通人和感染者之间，就是只有互相憎恨而已，没别的。,,,,,,,,,,,,芙兰卡,,,,,,,,,,,,,,,,,,0,47,普通人和感染者之间，就是只有互相憎恨而已，没别的。,普通の人間と感染者の間には、憎しみしかない――それだけだよ。,フランカ,True
character,,,,,,,,,,,,,char_136_hsguma,,,,,,,,,,,,,,,,,,0,48,,,,False
name,看来......已经无法交流了。明明出路就摆在眼前。,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,0,49,看来......已经无法交流了。明明出路就摆在眼前。,どうやら……もう話し合うことはできないみたいだな。道は目の前にあるのに。,ホシグマ,True
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,50,,,,False
character,,,,,,,,,,,,,char_1500_skulsr,,,,,,,,,,,,,,,,,,0,51,,,,False
name,出路？,,,,,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,0,52,出路？,道？,スカルシュレッダー,True
name,......我们，能做什么？,,,,,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,0,53,......我们，能做什么？,……俺たちに、何ができる？,スカルシュレッダー,True
name,你，又能做什么？,,,,,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,0,54,你，又能做什么？,お前には、何ができる？,スカルシュレッダー,True
character,,,,,,,,,,,,,char_1002_nsabr_2,,,,,,,,,,,,,,,,,,0,55,,,,False
name,不要和她废话了！碎骨！我们一起干掉他们！,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,0,56,不要和她废话了！碎骨！我们一起干掉他们！,無駄口叩くな！スカルシュレッダー！一緒にやつらをやっちまおう！,レユニオンメンバー,True
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,57,,,,False
playsound,,$e_skill_skulsrexplo,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,0,58,,,,False
blocker,,,,,,,,0.2,,,,,,,,,,,,0.7,0.95,0.95,0.95,true,,,,,,,0,59,,,,False
blocker,,,,,,,,0.25,,,,,,,,,,,,0,0.95,0.95,0.95,true,,,,,,,0,60,,,,False
camerashake,,,,,,,,,,,,,,1,10,12,30,90,true,,,,,false,,,,,,,0,61,,,,False
character,,,,,,,,,,,,,char_136_hsguma,,,,,,,,,,,,,,,,,,0,62,,,,False
name,爆炸？,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,0,63,爆炸？,爆発？,ホシグマ,True
character,,,,,,,,,,,,,char_015_lmg,,,,,,,,,,,,,,,,,,0,64,,,,False
name,他打算从各个地方包围我们！,,,,,,,,,,,,近卫局队员,,,,,,,,,,,,,,,,,,0,65,他打算从各个地方包围我们！,奴は各所から我々を包囲するつもりだ！,近衛局隊員,True
character,,,,,,,,,,,,,char_010_chen_1#2,,,,,,,,,,,,,,,,,,0,66,,,,False
name,再这样被动下去侧翼会顶不住的......组织反击！,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,0,67,再这样被动下去侧翼会顶不住的......组织反击！,このまま受け身だと側面が持たない……反撃を組織しろ！,チェン,True
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,68,,,,False
character,,,,,,,,,,,,,char_1002_nsabr_2,,,,,,,,,,,,,,,,,,0,69,,,,False
name,碎骨！我掩护你！拿下他们战斗就结束了！,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,0,70,碎骨！我掩护你！拿下他们战斗就结束了！,スカルシュレッダー！俺が援護する！奴らを倒せば戦いが終わる！,レユニオンメンバー,True
name,碎骨——————！,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,0,71,碎骨——————！,スカルシュレッダー――――！,レユニオンメンバー,True
character,,,,,,,,,,,,,char_1500_skulsr,,,,,,,,,,,,char_1002_nsabr_2,1,,,,,0,72,,,,False
name,我必须......和你们一起......,,,,,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,0,73,我必须......和你们一起......,俺は……お前たちと共に……,スカルシュレッダー,True
name,我必须————！！,,,,,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,0,74,我必须————！！,俺は―――！！,スカルシュレッダー,True
name,————————————,,,,,,,,,,,,碎骨,,,,,,,,,,,,,,,,,,0,75,————————————,――――――――――,スカルシュレッダー,True
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,76,,,,False
playsound,,$e_skill_skulsrexplo,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,0,77,,,,False
blocker,,,,,,,,0.2,,,,,,,,,,,,0.7,0.95,0.95,0.95,true,,,,,,,0,78,,,,False
blocker,,,,,,,,0.25,,,,,,,,,,,,0,0.95,0.95,0.95,true,,,,,,,0,79,,,,False
camerashake,,,,,,,,,,,,,,1,12,18,30,90,true,,,,,false,,,,,,,0,80,,,,False
playsound,,$e_skill_skulsrexplo,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,0,81,,,,False
blocker,,,,,,,,0.2,,,,,,,,,,,,0.7,0.95,0.95,0.95,true,,,,,,,0,82,,,,False
blocker,,,,,,,,0.25,,,,,,,,,,,,0,0.95,0.95,0.95,true,,,,,,,0,83,,,,False
character,,,,,,,,,,,,,char_010_chen_1#2,,,,,,,,,,,,,,,,,,0,84,,,,False
name,我们没多少时间了！,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,0,85,我们没多少时间了！,もう時間がない！,チェン,True
name,星熊。,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,0,86,星熊。,ホシグマ。,チェン,True
character,,,,,,,,,,,,,char_010_chen_1#2,,,,,,,,,,,,char_136_hsguma,2,,,,,0,87,,,,False
name,我准备好了。,,,,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,0,88,我准备好了。,準備はできている。,ホシグマ,True
playsound,,$p_imp_sword_n,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,0,89,,,,False
camerashake,,,,,,,,,,,,,,1,12,1,30,90,true,,,,,true,,,,,,,0,90,,,,False
