command,text_orig,key,is_skippable,fit_mode,name,time,intro,volume,crossfade,delay,screenadapt,image,width,height,fadetime,block,name2,focus,a,r,g,b,options,values,references,option_number,index,text,jp_text,jp_name,text_match
header,第三十一关（前）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,0,0,,,,False
stopmusic,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,False
name,8:36 p.m. \ 雨 \ 能见度 12公里,,,,,,,,,,,,,,,,,,,,,,,,,0,2,8:36 p.m. \ 雨 \ 能见度 12公里,午後8時36分　雨　視界12キロ,,True
name,罗德岛,,,,,,,,,,,,,,,,,,,,,,,,,0,3,罗德岛,ロドス,,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,,,,False
delay,,,,,,1,,,,,,,,,,,,,,,,,,,,0,5,,,,False
playmusic,,$darkness01_loop,,,,,$darkness01_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,,0,6,,,,False
background,,,,,,,,,,,coverall,bg_ri_1,1,1,2,true,,,,,,,,,,0,7,,,,False
delay,,,,,,0.5,,,,,,,,,,,,,,,,,,,,0,8,,,,False
character,,,,,char_003_kalts_1,,,,,,,,,,0.2,true,,,,,,,,,,0,9,,,,False
name,你们回来了。,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,0,10,你们回来了。,君たちは戻ったか。,ケルシー,True
character,,,,,char_003_kalts_1,,,,,,,,,,,,char_002_amiya_1,2,,,,,,,,0,11,,,,False
name,......嗯。,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,0,12,......嗯。,……うん。,アーミヤ,True
character,,,,,char_003_kalts_1,,,,,,,,,,,,char_002_amiya_1,1,,,,,,,,0,13,,,,False
name,——,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,0,14,——,——,ケルシー,True
name,详细情况我从侦查小队那里了解过了。,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,0,15,详细情况我从侦查小队那里了解过了。,詳しい事情は偵察チームから聞き取った。,ケルシー,True
name,阿米娅，让我检查一下你的手。,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,0,16,阿米娅，让我检查一下你的手。,アーミヤ、手を見せてくれ。,ケルシー,True
character,,,,,char_003_kalts_1,,,,,,,,,,,,char_002_amiya_1,2,,,,,,,,0,17,,,,False
name,不用了，凯尔希医生.....,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,0,18,不用了，凯尔希医生.....,大丈夫です、ケルシー先生……,アーミヤ,True
character,,,,,char_003_kalts_1,,,,,,,,,,,,char_002_amiya_1,1,,,,,,,,0,19,,,,False
name,阿米娅。,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,0,20,阿米娅。,アーミヤ。,ケルシー,True
character,,,,,char_003_kalts_1,,,,,,,,,,,,char_002_amiya_1,2,,,,,,,,0,21,,,,False
name,我，我......,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,0,22,我，我......,わ、私は……,アーミヤ,True
name,......好吧。,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,0,23,......好吧。,……わかりました。,アーミヤ,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,0,24,,,,False
blocker,,,,,,,,,,,,,,,0.6,true,,,1,0,0,0,,,,0,25,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,0,26,,,,False
blocker,,,,,,,,,,,,,,,0.6,false,,,0,,,,,,,0,27,,,,False
character,,,,,char_003_kalts_1,,,,,,,,,,,,char_002_amiya_1,1,,,,,,,,0,28,,,,False
name,——,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,0,29,——,——,ケルシー,True
name,还好。戒指没有裂纹，也没有变色。,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,0,30,还好。戒指没有裂纹，也没有变色。,問題ない。指輪にひびもないし、変色もしていない。,ケルシー,True
name,下次就不一定了。,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,0,31,下次就不一定了。,次はどうなるかわからないぞ。,ケルシー,True
name,听着，阿米娅——,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,0,32,听着，阿米娅——,よく聞いてくれ、アーミヤ――,ケルシー,True
name,小心一点。,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,0,33,小心一点。,気を付けろ。,ケルシー,True
character,,,,,char_003_kalts_1,,,,,,,,,,,,char_002_amiya_1#2,2,,,,,,,,0,34,,,,False
name,凯尔希医生，我......,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,0,35,凯尔希医生，我......,ケルシー先生、私は……,アーミヤ,True
name,......我想休息一下。,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,0,36,......我想休息一下。,……少し休みたいです。,アーミヤ,True
character,,,,,char_003_kalts_1,,,,,,,,,,,,char_002_amiya_1#2,1,,,,,,,,0,37,,,,False
name,去吧。,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,0,38,去吧。,行っていいぞ。,ケルシー,True
character,,,,,char_002_amiya_1,,,,,,,,,,,,,,,,,,,,,0,39,,,,False
name,嗯......,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,0,40,嗯......,うん……,アーミヤ,True
dialog,,,,,,,,,,,,,,,0.6,,,,,,,,,,,0,41,,,,False
character,,,,,,,,,,,,,,,0.6,,,,,,,,,,,0,42,,,,False
delay,,,,,,0.6,,,,,,,,,,,,,,,,,,,,0,43,,,,False
character,,,,,char_003_kalts_1#2,,,,,,,,,,,,,,,,,,,,,0,44,,,,False
name,——,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,0,45,——,——,ケルシー,True
name,不要再让阿米娅置身这种危险之下了。,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,0,46,不要再让阿米娅置身这种危险之下了。,もう二度とアーミヤをこんな危険にさらさないでくれ。,ケルシー,True
name,你也有责任。,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,0,47,你也有责任。,お前にも責任がある。,ケルシー,True
character,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,,0,48,,,,False
name,你刚回罗德岛的时候，大概也是这种气氛，,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,0,49,你刚回罗德岛的时候，大概也是这种气氛，,お前がロドスへ戻ったばかりの時も、このような雰囲気だった。,ケルシー,True
name,这种情绪从来没有离开过阿米娅。,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,0,50,这种情绪从来没有离开过阿米娅。,この感情はアーミヤを離れたことがない。,ケルシー,True
name,这不行。,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,0,51,这不行。,よくないな。,ケルシー,True
name,......博士，你去陪陪她。,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,0,52,......博士，你去陪陪她。,……ドクター、お前が彼女のそばにいてやれ。,ケルシー,True
name,别搞砸了。,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,0,53,别搞砸了。,失敗するなよ。,ケルシー,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,0,54,,,,False
blocker,,,,,,,,,,,,,,,0.6,true,,,1,0,0,0,,,,0,55,,,,False
character,,,,,,,,,,,,,,,0,,,,,,,,,,,0,56,,,,False
background,,,,,,,,,,,,,,,0,,,,,,,,,,,0,57,,,,False
playsound,,$d_gen_walk_n,,,,,,,,,,,,,,,,,,,,,,,,0,58,,,,False
delay,,,,,,0.6,,,,,,,,,,,,,,,,,,,,0,59,,,,False
decision,（敲门）,,,,,,,,,,,,,,,,,,,,,,（敲门）,1,,1,60,（敲门）,（ノック）,,True
predicate,,,,,,,,,,,,,,,,,,,,,,,,,1,0,61,,,,False
name,门开着。,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,0,62,门开着。,ドアは開いてますよ。,アーミヤ,True
blocker,,,,,,,,,,,,,,,0.6,true,,,0,,,,,,,0,63,,,,False
background,,,,,,,,,,,coverall,bg_rhodesroom,1,1,2,true,,,,,,,,,,0,64,,,,False
name,......,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,0,65,......,……,アーミヤ,True
character,,,,,char_002_amiya_1#2,,,,,,,,,,,,,,,,,,,,,0,66,,,,False
name,博士......？,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,0,67,博士......？,ドクター……？,アーミヤ,True
name,心事？我吗？,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,0,68,心事？我吗？,悩みごと？私ですか？,アーミヤ,True
character,,,,,char_002_amiya_1#10,,,,,,,,,,,,,,,,,,,,,0,69,,,,False
name,......被你发现了呀......哈哈......,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,0,70,......被你发现了呀......哈哈......,……気付かれちゃいましたね……ふふ……,アーミヤ,True
character,,,,,char_002_amiya_1#2,,,,,,,,,,,,,,,,,,,,,0,71,,,,False
name,我以为我一直藏得很好呢。,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,0,72,我以为我一直藏得很好呢。,ずっと隠せていると思っていました。,アーミヤ,True
name,是的，我是有一点心事......就一点点。,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,0,73,是的，我是有一点心事......就一点点。,そうですね、ちょっとだけ悩みごとがあります……本当に少しだけ。,アーミヤ,True
name,我已经习惯了这么做了。,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,0,74,我已经习惯了这么做了。,もうこうしていることに慣れてしまいました。,アーミヤ,True
name,毕竟不能增加大家的负担呢。,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,0,75,毕竟不能增加大家的负担呢。,やっぱり、みんなの負担を増やすわけにはいきませんからね。,アーミヤ,True
name,是吧，博士？,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,0,76,是吧，博士？,そうですよね、ドクター？,アーミヤ,True
name,......,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,0,77,......,……,アーミヤ,True
character,,,,,char_002_amiya_1,,,,,,,,,,,,,,,,,,,,,0,78,,,,False
name,......我不明白。,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,0,79,......我不明白。,……わかりません。,アーミヤ,True
name,博士......我不明白。,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,0,80,博士......我不明白。,ドクター……わかりません。,アーミヤ,True
character,,,,,char_002_amiya_1,,,,,,,,,,,,,-1,,,,,,,,0,81,,,,False
decision,（沉默）,,,,,,,,,,,,,,,,,,,,,,（沉默）,1,,1,82,（沉默）,（沈黙）,,True
predicate,,,,,,,,,,,,,,,,,,,,,,,,,1,0,83,,,,False
character,,,,,char_002_amiya_1,,,,,,,,,,,,,,,,,,,,,0,84,,,,False
name,不，我......我知道我们在做什么。我也知道，牺牲是不可避免的。,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,0,85,不，我......我知道我们在做什么。我也知道，牺牲是不可避免的。,いいえ、私は……私たちが何をしようとしているかはわかっています。犠牲が避けられないことも知っています。,アーミヤ,True
name,可我......我不知道......,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,0,86,可我......我不知道......,でも……私はわからないんです……,アーミヤ,True
