command,text_orig,key,is_skippable,fit_mode,intro,volume,crossfade,delay,time,image,fadetime,block,duration,xstrength,ystrength,vibrato,randomness,fadeout,name,a,r,g,b,width,height,name2,focus,options,values,references,initr,Delay,option_number,index,text,jp_text,jp_name,text_match
header,第四十关（前）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,False
playmusic,,$frostnova_loop,,,$frostnova_intro,0.8,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,False
delay,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,False
playsound,,$d_gen_surfacefrozen,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,,,,False
image,,,,,,,,,,avg_40_2,1,true,,,,,,,,,,,,,,,,,,,,,0,4,,,,False
camerashake,,,,,,,,,,,,false,-1,5,5,15,90,true,,,,,,,,,,,,,,,0,5,,,,False
name,温度......急剧下降？,,,,,,,,,,,,,,,,,,杰西卡,,,,,,,,,,,,,,0,6,温度......急剧下降？,気温が……急激に下がってる？,ジェシカ,True
blocker,,,,,,,,,,,0.5,true,,,,,,,,0.05,1,1,1,,,,,,,,,,0,7,,,,False
name,地面结霜了......,,,,,,,,,,,,,,,,,,杰西卡,,,,,,,,,,,,,,0,8,地面结霜了......,地面が霜で覆われてる……,ジェシカ,True
blocker,,,,,,,,,,,0.5,true,,,,,,,,0.1,1,1,1,,,,,,,,,,0,9,,,,False
name,好冷......,,,,,,,,,,,,,,,,,,杰西卡,,,,,,,,,,,,,,0,10,好冷......,すごく寒い……,ジェシカ,True
name,怎么会......就连那个整合运动的标志都被......怎么会......！,,,,,,,,,,,,,,,,,,杰西卡,,,,,,,,,,,,,,0,11,怎么会......就连那个整合运动的标志都被......怎么会......！,どうして……あのレユニオンの旗まで……そんな……！,ジェシカ,True
name,火焰熄灭了......乌云覆盖住了天空......,,,,,,,,,,,,,,,,,,杰西卡,,,,,,,,,,,,,,0,12,火焰熄灭了......乌云覆盖住了天空......,炎が消えて……黒い雲が空を覆ってる……,ジェシカ,True
playsound,,$d_gen_surfacefrozen,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,,,,False
name,啊啊......！,,,,,,,,,,,,,,,,,,杰西卡,,,,,,,,,,,,,,0,14,啊啊......！,ああ……！,ジェシカ,True
blocker,,,,,,,,,,,1,true,,,,,,,,0.2,1,1,1,,,,,,,,,,0,15,,,,False
name,别慌张！,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,0,16,别慌张！,慌てないで！,アーミヤ,True
name,黑钢干员杰西卡！,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,0,17,黑钢干员杰西卡！,ブラックスチールオペレーター、ジェシカ！,アーミヤ,True
name,......,,,,,,,,,,,,,,,,,,杰西卡,,,,,,,,,,,,,,0,18,......,……,ジェシカ,True
name,是！,,,,,,,,,,,,,,,,,,杰西卡,,,,,,,,,,,,,,0,19,是！,はい！,ジェシカ,True
name,保持阵形！,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,0,20,保持阵形！,陣形を維持して！,アーミヤ,True
name,明白！,,,,,,,,,,,,,,,,,,杰西卡,,,,,,,,,,,,,,0,21,明白！,了解！,ジェシカ,True
name,你在做什么，霜叶！,,,,,,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,0,22,你在做什么，霜叶！,何してるの、フロストリーフ！,メテオ,True
playsound,,$d_gen_surfacefrozen,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,0,23,,,,False
camerashake,,,,,,,,,,,,false,1,5,5,15,90,true,,,,,,,,,,,,,,,0,24,,,,False
image,,,,,,,,,,,1,true,,,,,,,,,,,,,,,,,,,,,0,25,,,,False
blocker,,,,,,,,,,,0.2,true,,,,,,,,0,,,,,,,,,,,,,0,26,,,,False
background,,,,,,,,,,bg_cher_6,1,true,,,,,,,,,,,,1,1,,,,,,,,0,27,,,,False
character,,,,,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,0,28,,,,False
name,她......正在剥夺这片区域的热量！,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,0,29,她......正在剥夺这片区域的热量！,彼女は……このエリアの熱を奪ってる！,アーミヤ,True
name,居然能有这么广的范围吗！,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,0,30,居然能有这么广的范围吗！,こんな広範囲までできるなんて！,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,char_193_frostl_1,,,,,,,,,,,,,,0,31,,,,False
name,......哈，雪怪们的公主......,,,,,,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,0,32,......哈，雪怪们的公主......,……はあ、雪怪のプリンセス……,フロストリーフ,True
name,头次见到......比我体温还低的人呢。,,,,,,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,0,33,头次见到......比我体温还低的人呢。,初めて見たよ……自分より体温の低い人を。,フロストリーフ,True
character,,,,,,,,,,,,,,,,,,,char_219_meteo_1,,,,,,,,,,,,,,0,34,,,,False
name,霜叶！,,,,,,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,0,35,霜叶！,フロストリーフ！,メテオ,True
