command,text_orig,key,is_skippable,fit_mode,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,a,initr,r,g,b,block,duration,xstrength,ystrength,vibrato,randomness,fadeout,afrom,rfrom,gfrom,bfrom,name2,focus,xScale,yScale,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,yTO,screenadapt,x,y,tiled,index,text,jp_text,jp_name,text_match
header,第三十二关（前）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,False
background,,,,,bg_cher_6,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,False
playmusic,,$frostnova_loop,,,,,,,$frostnova_intro,0.8,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,False
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,False
character,,,,,,,,,,,,,,char_193_frostl_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,False
name,咳，咳......,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,咳，咳......,ゴホ、ゴホ......,フロストリーフ,True
character,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,False
name,陨星！我们击退了雪怪小队！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,陨星！我们击退了雪怪小队！,エクシア！　スノーデビル小隊を撃退した！,アーミヤ,True
name,可是——,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,可是——,でも——,アーミヤ,True
character,,,,,,,,,,,,,,char_1505_frstar_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,False
name,确实，我有点低估你们罗德岛了。,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,确实，我有点低估你们罗德岛了。,確かに、ロドスを少し甘く見ていた。,フロストノヴァ,True
name,下手是不是，还是太轻了些。,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,下手是不是，还是太轻了些。,手加減しすぎたようだな。,フロストノヴァ,True
character,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,False
name,（手指已经没有知觉了......可恶......）,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,（手指已经没有知觉了......可恶......）,（指の感覚がもう……くそっ……）,アーミヤ,True
name,......怎么回事.....？,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,......怎么回事.....？,……どういうこと……？,アーミヤ,True
name,寒流......还在凝聚？,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,寒流......还在凝聚？,寒気……まだ収束しているの？,アーミヤ,True
character,,,,,,,,,,,,,,char_1505_frstar_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,False
name,这一次......,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,这一次......,今度こそ……,フロストノヴァ,True
name,你们就不会那么好运了。,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,你们就不会那么好运了。,もう君たちはそれほど運が良くはないだろう。,フロストノヴァ,True
character,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,False
name,......？！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,......？！,……？！,アーミヤ,True
name,不好.......！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,不好.......！,だめだ……！,アーミヤ,True
name,她是想吸收整片区域内的寒气，一口气爆发出来吗？！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,她是想吸收整片区域内的寒气，一口气爆发出来吗？！,彼女、エリア全体の寒気を吸収して、一気に解放しようとしてる？！,アーミヤ,True
character,,,,,,,,,,,,,,char_1505_frstar_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,False
name,——♩——♬——,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,——♩——♬——,——♩——♬——,フロストノヴァ,True
character,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,False
name,——那种法术，会抽干我们所有人的热量！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,——那种法术，会抽干我们所有人的热量！,——あの術、私たちみんなの体温を奪い尽くす！,アーミヤ,True
name,这种规模，比起她刚才所使用的法术，庞大太多了......！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,这种规模，比起她刚才所使用的法术，庞大太多了......！,この規模、さっきの術どころじゃない……！,アーミヤ,True
character,,,,,,,,,,,,,,char_1505_frstar_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,False
name,就这样结束吧。,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,就这样结束吧。,これで終わりにしよう。,フロストノヴァ,True
name,就让纯粹无瑕的冰霜，埋葬你们的愤怒吧。,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,就让纯粹无瑕的冰霜，埋葬你们的愤怒吧。,純粋な氷霜で、君たちの怒りを葬ろう。,フロストノヴァ,True
character,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,False
name,......唔......！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,......唔......！,……うっ……！,アーミヤ,True
character,,,,,,,,,,,,,,char_1505_frstar_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,False
name,......♩......,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,......♩......,……♩……,フロストノヴァ,True
blocker,,,,,,,,1,,,,,,,0.3,2,255,255,255,true,,,,,,,,,,,,,,,,,,,,,,,,35,,,,False
playsound,,$e_skill_skulsrsword,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,False
camerashake,,,,,,,,,,,,,,,,,,,,,1,10,12,30,90,true,,,,,,,,,,,,,,,,,,37,,,,False
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,False
blocker,,,,,,,,0.5,,,,,,,0,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,39,,,,False
delay,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,False
character,,,,,,,,,,,,,,char_1505_frstar_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,False
name,......！？,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,......！？,……！？,フロストノヴァ,True
name,有什么，阻止了寒冷继续汇集......,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,有什么，阻止了寒冷继续汇集......,何かが、冷気の集積を止めた……,フロストノヴァ,True
character,,,,,,,,,,,,,,char_193_frostl_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,False
name,......咕......,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,......咕......,……ぐぅ……,フロストリーフ,True
character,,,,,,,,,,,,,,char_1505_frstar_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,False
name,是你做的吗？,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,是你做的吗？,君がやったのか？,フロストノヴァ,True
character,,,,,,,,,,,,,,char_193_frostl_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,False
name,我不是说过......,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,我不是说过......,……言っただろう……,フロストリーフ,True
name,不允许你......再前进了吗......！,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,不允许你......再前进了吗......！,もう進ませないって、言ったよな……！,フロストリーフ,True
character,,,,,,,,,,,,,,char_1505_frstar_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,False
name,——拼尽全力用自己的法术，停滞了寒潮的聚流吗？,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,——拼尽全力用自己的法术，停滞了寒潮的聚流吗？,——自分の術で全力を尽くして、寒流の流れを止めたのか？,フロストノヴァ,True
name,......真是个好孩子。,,,,,,,,,,,,,霜星,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,......真是个好孩子。,……本当にいい子だな。,フロストノヴァ,True
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,False
delay,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,False
character,,,,,,,,,,,,,,char_002_amiya_1#6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,False
name,霜叶用冰刃，分割了气流吗......！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,霜叶用冰刃，分割了气流吗......！,フロストリーフが氷刃で気流を分割したのか……！,アーミヤ,True
