command,text_orig,key,is_skippable,fit_mode,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,duration,xstrength,ystrength,vibrato,randomness,block,name2,focus,widgetID,style,fadestyle,offsetx,a,r,g,b,afrom,rfrom,gfrom,bfrom,screenadapt,index,text,jp_text,jp_name,text_match
header,第三十二关（前）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,False
background,,,,,bg_cher_2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,False
playmusic,,$chernormal_loop,,,,,,,$chernormal_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,2,,,,False
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,3,,,,False
character,,,,,,,,,,,,,,char_259_Jessica_1,,,,,,,,,,,,,,,,,,,,,,4,,,,False
name,还，还有两个敌人！,,,,,,,,,,,,,杰西卡,,,,,,,,,,,,,,,,,,,,,,5,还，还有两个敌人！,ま、まだ敵が二人いる！,ジェシカ,True
name,他们正向东侧的建筑物逃窜——,,,,,,,,,,,,,杰西卡,,,,,,,,,,,,,,,,,,,,,,6,他们正向东侧的建筑物逃窜——,彼らは東側の建物に逃げている――,ジェシカ,True
character,,,,,,,,,,,,,,char_219_meteo_1,,,,,,,,,,,,,,,,,,,,,,7,,,,False
name,我已经瞄准他们了。,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,,,,,,,,,8,我已经瞄准他们了。,もう狙いを定めた。,インセイン,True
name,——！,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,,,,,,,,,9,——！,――！,インセイン,True
character,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,False
playsound,,$p_imp_grenade_n,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,False
camerashake,,,,,,,,,,,,,,,1,10,12,30,90,false,,,,,,,,,,,,,,,,12,,,,False
character,,,,,,,,,,,,,,char_1002_nsabr_2,,,,,,,,,,,,,,,,,,,,,,13,,,,False
name,啊——！,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,14,啊——！,あ――！,整合運動メンバー,True
delay,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,15,,,,False
character,,,,,,,,,,,,,,char_193_frostl_1,,,,,,,char_219_meteo_1,2,,,,,,,,,,,,,,16,,,,False
name,正中靶心。,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,,,,,,,,,17,正中靶心。,的を直撃した。,インセイン,True
character,,,,,,,,,,,,,,char_193_frostl_1,,,,,,,char_219_meteo_1,1,,,,,,,,,,,,,,18,,,,False
name,噪音，会不会太大了些。,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,,,,,,,,,19,噪音，会不会太大了些。,騒音、少し大きすぎたんじゃない？,シュモク,True
character,,,,,,,,,,,,,,char_193_frostl_1,,,,,,,char_219_meteo_1,2,,,,,,,,,,,,,,20,,,,False
name,这废城区里爆炸声不断，我想，敌人也不会特别在意的。,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,,,,,,,,,21,这废城区里爆炸声不断，我想，敌人也不会特别在意的。,この廃地区では爆発音が絶えないし、敵も特に気にしないと思うよ。,インセイン,True
name,你通知凯尔希医生了吗？,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,,,,,,,,,22,你通知凯尔希医生了吗？,ケルシードクターには連絡した？,インセイン,True
character,,,,,,,,,,,,,,char_193_frostl_1,,,,,,,char_219_meteo_1,1,,,,,,,,,,,,,,23,,,,False
name,在战斗开始前，我就已经通知过凯尔希医生。,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,,,,,,,,,24,在战斗开始前，我就已经通知过凯尔希医生。,戦闘が始まる前に、もうケルシードクターには連絡しておいたよ。,シュモク,True
name,整合运动在这片废城中，确实有活动的迹象。,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,,,,,,,,,25,整合运动在这片废城中，确实有活动的迹象。,この廃墟の中で、整合運動の活動の兆候が確かにある。,シュモク,True
name,现在还在通话中。,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,,,,,,,,,26,现在还在通话中。,今も通話中だ。,シュモク,True
name,我们是不是更加隐蔽地行动会更好一些？,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,,,,,,,,,27,我们是不是更加隐蔽地行动会更好一些？,もっと隠密に動いた方がいいんじゃないかな？,シュモク,True
character,,,,,,,,,,,,,,char_193_frostl_1,,,,,,,char_219_meteo_1,2,,,,,,,,,,,,,,28,,,,False
