command,text,name,option_number,option_value,references,focus,image,values,jp_text,jp_name
header,第三十二关（前）,,0,,,,,,,
background,,,0,,,,bg_ri_1,,,
playmusic,,,0,,,,,,,
delay,,,0,,,,,,,
character,,char_003_kalts_1,0,,,,,,,
name,知道了。,凯尔希,0,,,,,,わかった。,ケルシー
name,好的，保持联络。嗅到气味就立刻告诉我。,凯尔希,0,,,,,,了解した、連絡を保って。匂いを察知したらすぐに教えて。,ケルシー
name,按第三个键就行。嗯。,凯尔希,0,,,,,,3番目のボタンを押せばいい。うん。,ケルシー
name,——嗯？博士？,凯尔希,0,,,,,,——ん？ドクター？,ケルシー
name,阿米娅呢？,凯尔希,0,,,,,,アーミヤは？,ケルシー
character,,char_003_kalts_1,0,,,-1,,,,
decision,阿米娅前往贫民区了。,,1,1,,,,1,アーミヤはスラム街に向かった。,
predicate,,,0,,1,,,,,
character,,char_003_kalts_1,0,,,,,,,
name,——你居然让她一个人去了。,凯尔希,0,,,,,,——まさか、一人で行かせたのか。,ケルシー
name,......也罢，至少有人保护她。,凯尔希,0,,,,,,……まあいい、少なくとも誰かが彼女を守っている。,ケルシー
name,你跟着去了，大概率也只是个拖油瓶。这次就不怪罪你了。,凯尔希,0,,,,,,あなたがついて行っても、多分お荷物なだけだし。今回は責めないでおこう。,ケルシー
name,你也是一个人回来的？,凯尔希,0,,,,,,あなたも一人で帰ってきたの？,ケルシー
name,哦，企鹅物流。,凯尔希,0,,,,,,ああ、ペンギン急便か。,ケルシー
name,你也要更加关注自己的人身安全。我们不是每次都能雇佣到可靠的本地向导的。,凯尔希,0,,,,,,あなたも自分の安全にもっと気をつけて。毎回信頼できる現地ガイドを雇えるわけじゃない。,ケルシー
name,博士——,凯尔希,0,,,,,,ドクター——,ケルシー
name,阿米娅不会在龙门逗留太长时间，毕竟之后还有任务。,凯尔希,0,,,,,,アーミヤは龍門に長く滞在しない、後で任務があるから。,ケルシー
name,你还会再一次面对他。,凯尔希,0,,,,,,あなたはまた彼と向き合うことになる。,ケルシー
name,——如果是我的话，会把当时没说出来的话，说出来。,凯尔希,0,,,,,,——もし私なら、その時言えなかったことを言うだろう。,ケルシー
dialog,,,0,,,,,,,
blocker,,,0,,,,,,,
character,,,0,,,,,,,
background,,,0,,,,bg_lungmen_m,,,
blocker,,,0,,,,,,,
delay,,,0,,,,,,,
character,,char_002_amiya_1,0,,,,,,,
name,啊，博士？,阿米娅,0,,,,,,あ、ドクター？,アーミヤ
name,一直在等我吗......,阿米娅,0,,,,,,ずっと待っていてくれたの……,アーミヤ
name,对不起，让你久等了,阿米娅,0,,,,,,ごめんなさい、長く待たせちゃって,アーミヤ
name,嗯？我的表情与离开时不太一样？,阿米娅,0,,,,,,ん？私の表情、出発した時と違う？,アーミヤ
character,,char_002_amiya_1#3,0,,,,,,,
name,.....,阿米娅,0,,,,,,.....,アーミヤ
name,发生了些事情。,阿米娅,0,,,,,,ちょっとしたことがあったの。,アーミヤ
name,我觉得......,阿米娅,0,,,,,,私は……,アーミヤ
name,也许陈长官，她也有着自己的想法。,阿米娅,0,,,,,,もしかしたら、チェン指揮官にも彼女自身の考えがあるのかもしれない。,アーミヤ
name,即使她嘴巴很凶，即使她做了我难以接受的事情......,阿米娅,0,,,,,,彼女の言葉がきつくても、私が受け入れにくいことをしたとしても……,アーミヤ
name,但也许......我们之间的隔阂也没有那么大。,阿米娅,0,,,,,,でももしかしたら……私たちの間の隔たりはそれほど大きくないのかもしれない。,アーミヤ
name,她有她的责任。,阿米娅,0,,,,,,彼女には彼女の責任がある。,アーミヤ
character,,char_002_amiya_1#2,0,,,,,,,
name,......啊......原来是这样。,阿米娅,0,,,,,,……ああ……そういうことなんだ。,アーミヤ
name,她也承担了很多吧。,阿米娅,0,,,,,,彼女もたくさん背負ってきたんだよね。,アーミヤ
name,也许我也......,阿米娅,0,,,,,,もしかしたら、私も……,アーミヤ
character,,char_002_amiya_1#2,0,,,-1,,,,
decision,阿米娅，你也承担了许多事情。,,2,1,,,,1;2,アーミヤ、君もたくさんのことを背負ってきた。,
decision,......,,2,2,,,,1;2,......,
predicate,,,0,,1;2,,,,,
character,,char_002_amiya_1,0,,,,,,,
name,是吗......,阿米娅,0,,,,,,そうですか……,アーミヤ
name,我......只是没有其他的选择而已。,阿米娅,0,,,,,,私は……他に選択肢がなかっただけです。,アーミヤ
character,,char_002_amiya_1,0,,,-1,,,,
decision,至少阿米娅你坚持了自己的选择。,,2,1,,,,1;2,少なくともアーミヤは自分の選択を貫いた。,
decision,......,,2,2,,,,1;2,......,
predicate,,,0,,1;2,,,,,
character,,char_002_amiya_1,0,,,,,,,
name,......如果导致那样的结果，也算是坚持的话。,阿米娅,0,,,,,,……そんな結果になっても、それが選択を貫くってことなら。,アーミヤ
name,博士没必要......这样安慰我的。,阿米娅,0,,,,,,ドクター……そんなに慰めなくていいです。,アーミヤ
character,,char_002_amiya_1,0,,,,,,,
name,其实，我明白的。,阿米娅,0,,,,,,実は、私わかってるんです。,アーミヤ
name,我不知道......,阿米娅,0,,,,,,私は分からない……,アーミヤ
name,我不知道，我们走到哪一天，这片大地才会变得不同......,阿米娅,0,,,,,,私たちがいつまで進めば、この大地が変わるのか分からないけれど……,アーミヤ
character,,char_002_amiya_1#3,0,,,,,,,
name,但，我明白。,阿米娅,0,,,,,,でも、分かっています。,アーミヤ
name,我不会放弃。,阿米娅,0,,,,,,私は諦めない。,アーミヤ
name,我会承担任何后果，因为......这是我自己选的。,阿米娅,0,,,,,,どんな結果でも受け止めます、だって……これは私が自分で選んだことだから。,アーミヤ
character,,char_002_amiya_1#3,0,,,,,,,
name,博士......,阿米娅,0,,,,,,ドクター……,アーミヤ
name,你会......陪在我身边吗？,阿米娅,0,,,,,,あなたは……私のそばにいてくれますか？,アーミヤ
character,,char_002_amiya_1,0,,,,,,,
name,尽管......这种愧疚，会一直存在......,阿米娅,0,,,,,,たとえ……こんな罪悪感がずっと残っても……,アーミヤ
name,没能抓住大家的遗憾，没能救助朋友的遗憾......,阿米娅,0,,,,,,みんなを守れなかった、友達を救えなかった……そんな後悔……,アーミヤ
character,,char_002_amiya_1#3,0,,,,,,,
name,但我必须坦然面对。,阿米娅,0,,,,,,でも私は、しっかりと向き合わなくちゃいけない。,アーミヤ
name,和罗德岛的大家一起——,阿米娅,0,,,,,,ロドスのみんなと一緒に——,アーミヤ
delay,,,0,,,,,,,
dialog,,,0,,,,,,,
playsound,,,0,,,,,,,
delay,,,0,,,,,,,
character,,char_002_amiya_1,0,,,,,,,
name,嗯？是凯尔希医生的通讯......,阿米娅,0,,,,,,ん？ケルシー先生からの通信だ……,アーミヤ
name,凯尔希医生？请问有什么事？,阿米娅,0,,,,,,ケルシー先生？どうされましたか？,アーミヤ
character,,,0,,,,,,,
name,阿米娅，有几支侦查小队发来了消息。,凯尔希,0,,,,,,アーミヤ、何隊かの偵察小隊から連絡が入った。,ケルシー
name,情况变得有些刻不容缓。,凯尔希,0,,,,,,状況は少しも猶予がないものになってきた。,ケルシー
character,,char_002_amiya_1#7,0,,,,,,,
name,好的，我马上就来。,阿米娅,0,,,,,,分かりました、すぐに行きます。,アーミヤ
delay,,,0,,,,,,,
dialog,,,0,,,,,,,
blocker,,,0,,,,,,,
image,,,0,,,,,,,
