command,text_orig,key,is_skippable,fit_mode,screenadapt,image,width,height,fadetime,intro,volume,crossfade,delay,name,a,r,g,b,block,name2,focus,time,index,text,jp_text,jp_name,text_match
header,第三十二关（前）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,0,,,,False
background,,,,,coverall,bg_cher_2,1,1,1,,,,,,,,,,,,,,1,,,,False
playmusic,,$chernormal_loop,,,,,,,,$chernormal_intro,0.8,1,0.5,,,,,,,,,,2,,,,False
character,,,,,,,,,1,,,,,char_1002_nsabr_1,,,,,,,,,3,,,,False
name,动作快！......,,,,,,,,,,,,,整合运动,,,,,,,,,4,动作快！......,動きを早く！……,インテグレーター,True
blocker,,,,,,,,,0.6,,,,,,1,0,0,0,true,,,,5,,,,False
blocker,,,,,,,,,0.6,,,,,,0,,,,false,,,,6,,,,False
character,,,,,,,,,,,,,,char_193_frostl_1,,,,,,char_259_Jessica_1,2,,7,,,,False
name,怎么会......,,,,,,,,,,,,,杰西卡,,,,,,,,,8,怎么会......,どうして......,ジェシカ,True
character,,,,,,,,,,,,,,char_193_frostl_1,,,,,,char_259_Jessica_1,1,,9,,,,False
name,（别出声！）,,,,,,,,,,,,,霜叶,,,,,,,,,10,（别出声！）,（声を出さないで！）,ソウヨウ,True
character,,,,,,,,,,,,,,char_193_frostl_1,,,,,,char_259_Jessica_1,2,,11,,,,False
name,（唔——）,,,,,,,,,,,,,杰西卡,,,,,,,,,12,（唔——）,（んっ——）,ジェシカ,True
character,,,,,,,,,,,,,,char_193_frostl_1,,,,,,char_259_Jessica_1,1,,13,,,,False
name,（他们还在吗？）,,,,,,,,,,,,,霜叶,,,,,,,,,14,（他们还在吗？）,（彼らはまだいる？）,ソウヨウ,True
character,,,,,,,,,,,,,,char_193_frostl_1,,,,,,char_219_meteo_1,2,,15,,,,False
name,（还在......！）,,,,,,,,,,,,,陨星,,,,,,,,,16,（还在......！）,（まだいる……！）,インセイ,True
name,（似乎是在找什么东西——）,,,,,,,,,,,,,陨星,,,,,,,,,17,（似乎是在找什么东西——）,（何かを探しているみたい——）,インセイ,True
name,（——有一个整合运动，望向我们这边了！撤回掩体！）,,,,,,,,,,,,,陨星,,,,,,,,,18,（——有一个整合运动，望向我们这边了！撤回掩体！）,（――インテグレーターの一人がこちらを見てる！遮蔽物に下がって！）,インセイ,True
blocker,,,,,,,,,0.6,,,,,,1,0,0,0,true,,,,19,,,,False
character,,,,,,,,,0,,,,,,,,,,,,,,20,,,,False
blocker,,,,,,,,,0.6,,,,,,0,,,,true,,,,21,,,,False
character,,,,,,,,,,,,,,char_1002_nsabr_1,,,,,,,,,22,,,,False
name,————,,,,,,,,,,,,,整合运动成员,,,,,,,,,23,————,————,インテグレーター兵,True
name,是我的错觉吗。,,,,,,,,,,,,,整合运动成员,,,,,,,,,24,是我的错觉吗。,気のせいか。,インテグレーター兵,True
blocker,,,,,,,,,0.6,,,,,,1,0,0,0,true,,,,25,,,,False
character,,,,,,,,,0,,,,,,,,,,,,,,26,,,,False
blocker,,,,,,,,,0.6,,,,,,0,,,,true,,,,27,,,,False
character,,,,,,,,,,,,,,char_193_frostl_1,,,,,,char_219_meteo_1,1,,28,,,,False
name,（能不能狙击他们？）,,,,,,,,,,,,,霜叶,,,,,,,,,29,（能不能狙击他们？）,（狙撃できるかな？）,ソウヨウ,True
character,,,,,,,,,,,,,,char_193_frostl_1,,,,,,char_219_meteo_1,2,,30,,,,False
name,（我们与敌人距离太远了......）,,,,,,,,,,,,,陨星,,,,,,,,,31,（我们与敌人距离太远了......）,（私たちと敵の距離が遠すぎる……）,インセイ,True
name,（自从他们出现以后，爆炸声就停止了......）,,,,,,,,,,,,,陨星,,,,,,,,,32,（自从他们出现以后，爆炸声就停止了......）,（あいつらが現れてから、爆発音が止んだ……）,インセイ,True
name,（他们的站位很分散，我不可能一次性消灭全部三个。）,,,,,,,,,,,,,陨星,,,,,,,,,33,（他们的站位很分散，我不可能一次性消灭全部三个。）,（配置がバラバラで、一度に三人を倒すのは無理だ。）,インセイ,True
name,（而且那些整合运动的动作，和普通的暴徒有明显的区别。）,,,,,,,,,,,,,陨星,,,,,,,,,34,（而且那些整合运动的动作，和普通的暴徒有明显的区别。）,（しかも、あのインテグレーターたちの動きは普通の暴徒と明らかに違う。）,インセイ,True
character,,,,,,,,,,,,,,char_259_Jessica_1,,,,,,char_219_meteo_1,1,,35,,,,False
name,（其他整合运动，似乎没有那么厚重的装扮。）,,,,,,,,,,,,,杰西卡,,,,,,,,,36,（其他整合运动，似乎没有那么厚重的装扮。）,（ほかのインテグレーターは、そこまで重装備っぽくないみたい。）,ジェシカ,True
character,,,,,,,,,,,,,,char_259_Jessica_1,,,,,,char_219_meteo_1,2,,37,,,,False
name,（没错。可见，一旦轻举妄动，只要有一个活下来、引来更多的暴徒，我们就危险了。）,,,,,,,,,,,,,陨星,,,,,,,,,38,（没错。可见，一旦轻举妄动，只要有一个活下来、引来更多的暴徒，我们就危险了。）,（その通り。軽率な行動は危険だ。一人でも生き残りがいれば、暴徒がもっと集まって危なくなる。）,インセイ,True
name,（再加上，其中有一个人是术师的装扮，而且正在测试什么的样子。）,,,,,,,,,,,,,陨星,,,,,,,,,39,（再加上，其中有一个人是术师的装扮，而且正在测试什么的样子。）,（さらに、術師みたいな格好のやつがいて、何かを試しているようだ。）,インセイ,True
name,（如果他们同样也有索敌式的法术......）,,,,,,,,,,,,,陨星,,,,,,,,,40,（如果他们同样也有索敌式的法术......）,（もし向こうも索敵魔法のようなものを使えるなら……）,インセイ,True
name,（在我们的位置射出一发弹药，他们完全有可能感觉得到。）,,,,,,,,,,,,,陨星,,,,,,,,,41,（在我们的位置射出一发弹药，他们完全有可能感觉得到。）,（私たちの位置から弾を撃つと、感知されるかもしれない。）,インセイ,True
character,,,,,,,,,,,,,,char_193_frostl_1,,,,,,char_219_meteo_1,1,,42,,,,False
