command,text_orig,key,is_skippable,fit_mode,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,name2,focus,duration,xstrength,ystrength,vibrato,randomness,fadeout,a,r,g,b,block,index,text,jp_text,jp_name,text_match
header,第三十二关（前）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,0,,,,False
background,,,,,bg_cher_2,1,1,1,,,,,,,,,,,,,,,,,,,,1,,,,False
playmusic,,$cherimp_loop,,,,,,,$cherimp_intro,0.8,1,0.5,,,,,,,,,,,,,,,,2,,,,False
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,,3,,,,False
character,,,,,,,,,,,,,,char_193_frostl_1,,,,,,,,,,,,,,4,,,,False
name,哈，哈......可恶......,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,5,哈，哈......可恶......,はぁ、はぁ……くそっ……,フロストリーフ,True
character,,,,,,,,,,,,,,char_259_Jessica_1,,,,,,,,,,,,,,6,,,,False
name,总算......解决了......,,,,,,,,,,,,,杰西卡,,,,,,,,,,,,,,7,总算......解决了......,やっと……片付いた……,ジェシカ,True
character,,,,,,,,,,,,,,char_219_meteo_1,,,,,,,,,,,,,,8,,,,False
name,......,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,9,......,……,メテオ,True
name,......不，还没有。,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,10,......不，还没有。,……いや、まだだ。,メテオ,True
character,,,,,,,,,,,,,,char_259_Jessica_1,,,,,,,,,,,,,,11,,,,False
name,那些空中飘荡下来的粉尘......是怎么回事？,,,,,,,,,,,,,杰西卡,,,,,,,,,,,,,,12,那些空中飘荡下来的粉尘......是怎么回事？,あの空中に漂っている粉塵……どういうこと？,ジェシカ,True
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,,13,,,,False
name,咕，咕......,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,14,咕，咕......,ぐっ、ぐぅ……,レユニオンメンバー,True
name,呃，呃啊！,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,15,呃，呃啊！,うっ、うあ！,レユニオンメンバー,True
name,好疼......好疼啊......,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,16,好疼......好疼啊......,痛い……すごく痛い……,レユニオンメンバー,True
name,啊啊......啊啊！好痒，好痒！！,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,17,啊啊......啊啊！好痒，好痒！！,ああ……ああ！かゆい、かゆい！！,レユニオンメンバー,True
name,啊啊？！！,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,18,啊啊？！！,ああ？！,レユニオンメンバー,True
name,罗......罗德岛！,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,19,罗......罗德岛！,ロ、ロドス！,レユニオンメンバー,True
name,敌人......敌人！！,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,20,敌人......敌人！！,敵……敵だ！！,レユニオンメンバー,True
character,,,,,,,,,,,,,,char_259_Jessica_1#3,,,,,,,,,,,,,,21,,,,False
name,什......！怎么......,,,,,,,,,,,,,杰西卡,,,,,,,,,,,,,,22,什......！怎么......,えっ……！どうして……,ジェシカ,True
name,刚才被打倒的整合运动又站起来了——？,,,,,,,,,,,,,杰西卡,,,,,,,,,,,,,,23,刚才被打倒的整合运动又站起来了——？,さっき倒したレユニオンがまた立ち上がった——？,ジェシカ,True
character,,,,,,,,,,,,,,char_1507_Mephisto_1,,,,,,,,,,,,,,24,,,,False
name,怎么？不行了吗？,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,25,怎么？不行了吗？,どうした？もうダメか？,メフィスト,True
character,,,,,,,,,,,,,,char_193_frostl_1,,,,,,,,,,,,,,26,,,,False
name,光芒，从那个家伙的法杖里......？,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,27,光芒，从那个家伙的法杖里......？,光が、あいつの杖から……？,フロストリーフ,True
character,,,,,,,,,,,,,,char_1507_Mephisto_1,,,,,,,,,,,,,,28,,,,False
name,我可还没有动手哦。,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,29,我可还没有动手哦。,僕はまだ手を出してないよ。,メフィスト,True
character,,,,,,,,,,,,,,char_259_Jessica_1,char_219_meteo_1,1,,,,,,,,,,,,30,,,,False
name,而且......还有更多敌人增援.....,,,,,,,,,,,,,杰西卡,,,,,,,,,,,,,,31,而且......还有更多敌人增援.....,それに……まだ敵の増援が……,ジェシカ,True
character,,,,,,,,,,,,,,char_259_Jessica_1,char_219_meteo_1,2,,,,,,,,,,,,32,,,,False
name,可恶......！,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,33,可恶......！,くそっ……！,メテオ,True
