command,text_orig,key,is_skippable,fit_mode,screenadapt,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,focus,name2,block,index,text,jp_text,jp_name,text_match
header,第三十二关（前）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,0,,,,False
background,,,,,coverall,bg_lungmen_m,1,1,1,,,,,,,,,,1,,,,False
playmusic,,$mist_loop,,,,,,,,$mist_loop,0.8,1.5,0.5,,,,,,2,,,,False
delay,,,,,,,,,,,,,,1,,,,,3,,,,False
character,,,,,,,,,,,,,,,char_002_amiya_1#6,,,,4,,,,False
name,霜叶？霜叶？！,,,,,,,,,,,,,,阿米娅,,,,5,霜叶？霜叶？！,シュワイヤ？シュワイヤ？！,アーミヤ,True
name,怎么回事——,,,,,,,,,,,,,,阿米娅,,,,6,怎么回事——,どうしたの——,アーミヤ,True
character,,,,,,,,,,,,,,,char_002_amiya_1,-1,,,7,,,,False
name,阿米娅！这里是第二侦查小队——,,,,,,,,,,,,,,近卫干员,,,,8,阿米娅！这里是第二侦查小队——,アーミヤ！こちらは第2偵察小隊——,近衛オペレーター,True
name,我们正在撤退！但是对方......,,,,,,,,,,,,,,近卫干员,,,,9,我们正在撤退！但是对方......,我々は撤退中だ！だが相手が……,近衛オペレーター,True
name,整合运动......,,,,,,,,,,,,,,近卫干员,,,,10,整合运动......,レユニオン……,近衛オペレーター,True
name,......,,,,,,,,,,,,,,近卫干员,,,,11,......,......,近衛オペレーター,True
character,,,,,,,,,,,,,,,char_002_amiya_1,,,,12,,,,False
name,又断了？,,,,,,,,,,,,,,阿米娅,,,,13,又断了？,また切れた？,アーミヤ,True
name,第三侦查小队！听得见吗！第三侦查小队！,,,,,,,,,,,,,,阿米娅,,,,14,第三侦查小队！听得见吗！第三侦查小队！,第3偵察小隊！聞こえますか！第3偵察小隊！,アーミヤ,True
name,......,,,,,,,,,,,,,,阿米娅,,,,15,......,......,アーミヤ,True
character,,,,,,,,,,,,,,,char_010_chen_1#3,,,,16,,,,False
name,......,,,,,,,,,,,,,,陈,,,,17,......,......,チェン,True
character,,,,,,,,,,,,,,,char_010_chen_1#3,-1,,,18,,,,False
name,阿米娅。,,,,,,,,,,,,,,凯尔希,,,,19,阿米娅。,アーミヤ。,ケルシー,True
character,,,,,,,,,,,,,,,char_002_amiya_1,,,,20,,,,False
name,凯尔希医生！是我！你接到了吗——,,,,,,,,,,,,,,阿米娅,,,,21,凯尔希医生！是我！你接到了吗——,ケルシー・ドクター！私です！受信できましたか——,アーミヤ,True
character,,,,,,,,,,,,,,,char_002_amiya_1,-1,,,22,,,,False
name,我一直在舰桥监控。,,,,,,,,,,,,,,凯尔希,,,,23,我一直在舰桥监控。,ずっと艦橋で監視している。,ケルシー,True
name,你帮我问问你身边那个陈警官。,,,,,,,,,,,,,,凯尔希,,,,24,你帮我问问你身边那个陈警官。,そちらのチェン警官に聞いてくれる？,ケルシー,True
name,就问——,,,,,,,,,,,,,,凯尔希,,,,25,就问——,こう聞いて——,ケルシー,True
name,“龙门还要装腔作势到什么时候？”,,,,,,,,,,,,,,凯尔希,,,,26,“龙门还要装腔作势到什么时候？”,「龍門はいつまで見せかけの態度を続けるつもり？」,ケルシー,True
character,,,,,,,,,,,,,,,char_010_chen_1#5,,,,27,,,,False
name,刚才的发言，我就当没听到。,,,,,,,,,,,,,,陈,,,,28,刚才的发言，我就当没听到。,今の発言は聞かなかったことにする。,チェン,True
name,不过，这确实不是什么还能慢慢悠悠的情况。,,,,,,,,,,,,,,陈,,,,29,不过，这确实不是什么还能慢慢悠悠的情况。,でも、これはもう悠長にしていられる状況じゃない。,チェン,True
character,,,,,,,,,,,,,,,char_136_hsguma,,,,30,,,,False
name,出了什么事？我不过拿个报表，你们两个的表情就变得那么严肃。,,,,,,,,,,,,,,星熊,,,,31,出了什么事？我不过拿个报表，你们两个的表情就变得那么严肃。,何かあった？ただ報告書を取ってきただけなのに、二人ともそんなに真剣な顔して。,ホシグマ,True
name,——有任务？,,,,,,,,,,,,,,星熊,,,,32,——有任务？,——任務か？,ホシグマ,True
character,,,,,,,,,,,,,,,char_010_chen_1,,,,33,,,,False
name,没错。,,,,,,,,,,,,,,陈,,,,34,没错。,その通り。,チェン,True
character,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,35,,,,False
name,大家......整理下装备，我觉得，应该是时候出发了。,,,,,,,,,,,,,,阿米娅,,,,36,大家......整理下装备，我觉得，应该是时候出发了。,みんな……装備を整えて。そろそろ出発の時だと思う。,アーミヤ,True
character,,,,,,,,,,,,,,,char_002_amiya_1,1,char_010_chen_1,,37,,,,False
name,陈长官，我请求龙门出动近卫局，配合罗德岛进行救援任务。,,,,,,,,,,,,,,阿米娅,,,,38,陈长官，我请求龙门出动近卫局，配合罗德岛进行救援任务。,チェン長官、私は龍門に近衛局を出動させて、ロドスと協力して救助任務に当たってほしいと要請します。,アーミヤ,True
name,甚至，那里会有整合运动的临时指挥部——,,,,,,,,,,,,,,阿米娅,,,,39,甚至，那里会有整合运动的临时指挥部——,場合によっては、あそこにレユニオンの臨時指揮所があるかもしれません——,アーミヤ,True
character,,,,,,,,,,,,,,,char_002_amiya_1,2,char_010_chen_1,,40,,,,False
name,......,,,,,,,,,,,,,,陈,,,,41,......,......,チェン,True
character,,,,,,,,,,,,,,,char_002_amiya_1#4,1,char_010_chen_1,,42,,,,False
