command,text_orig,key,is_skippable,fit_mode,screenadapt,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,block,name2,focus,a,r,g,b,duration,xstrength,ystrength,vibrato,randomness,fadeout,index,text,jp_text,jp_name,text_match
header,第三十二关（前）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,False
background,,,,,coverall,bg_cher_2,1,1,2,,,,,,,,,,,,,,,,,,,,1,,,,False
playmusic,,$cherimp_loop,,,,,,,,$cherimp_intro,0.8,1,0.5,,,,,,,,,,,,,,,,2,,,,False
delay,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,3,,,,False
character,,,,,,,,,0.3,,,,,,char_002_amiya_1,true,,,,,,,,,,,,,4,,,,False
name,我们到了。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,5,我们到了。,着きました。,アーミヤ,True
name,......真是个阴沉的地方。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,6,......真是个阴沉的地方。,……本当に陰気な場所ですね。,アーミヤ,True
character,,,,,,,,,,,,,,,char_136_hsguma,,char_010_chen_1,2,,,,,,,,,,,7,,,,False
name,外交频道呢？,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,8,外交频道呢？,外交チャンネルは？,チェン,True
character,,,,,,,,,,,,,,,char_136_hsguma,,char_010_chen_1,1,,,,,,,,,,,9,,,,False
name,没消息。,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,10,没消息。,連絡はない。,ホシグマ,True
name,看来，这里已经被乌萨斯抛弃了。,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,11,看来，这里已经被乌萨斯抛弃了。,ここはもうウルサスに見捨てられたようだな。,ホシグマ,True
character,,,,,,,,,,,,,,,char_136_hsguma,,char_010_chen_1,2,,,,,,,,,,,12,,,,False
name,废城......吗。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,13,废城......吗。,廃墟……か。,チェン,True
name,如果它已经成了整合运动的窝点，对于龙门而言，情况会变得越来越难以处理。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,14,如果它已经成了整合运动的窝点，对于龙门而言，情况会变得越来越难以处理。,ここがすでにレユニオンの拠点になっているなら、龍門にとってはますます厄介な状況になるわね。,チェン,True
character,,,,,,,,,,,,,,,char_136_hsguma,,char_010_chen_1,1,,,,,,,,,,,15,,,,False
name,离龙门太近了。,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,16,离龙门太近了。,龍門に近すぎる。,ホシグマ,True
name,如果碎骨的行动是接受了这里的指挥，那我们放任不管的后果，确实不堪设想。,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,17,如果碎骨的行动是接受了这里的指挥，那我们放任不管的后果，确实不堪设想。,もしスカルシュレッダーの行動がここから指揮されているなら、放置した場合の結果は本当に想像もつかない。,ホシグマ,True
name,只不过，切尔诺伯格的这个分城——究竟发生了什么事？,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,18,只不过，切尔诺伯格的这个分城——究竟发生了什么事？,しかし、チェルノボーグのこのサブシティで一体何が起きたんだ？,ホシグマ,True
name,遭受天灾之后是不可能移动这么长的距离的。,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,19,遭受天灾之后是不可能移动这么长的距离的。,天災の後でこんなに長い距離を移動するのは不可能なはずだ。,ホシグマ,True
name,为什么，它会出现在这里？,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,20,为什么，它会出现在这里？,どうして、ここに現れたんだ？,ホシグマ,True
character,,,,,,,,,,,,,,,char_136_hsguma,,char_002_amiya_1,2,,,,,,,,,,,21,,,,False
name,从观测得来的数据分析......这里遭受过天灾的余波。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,22,从观测得来的数据分析......这里遭受过天灾的余波。,観測データの分析によれば……ここは天災の余波を受けています。,アーミヤ,True
name,分城是在移动到这里后才被天灾摧毁的。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,23,分城是在移动到这里后才被天灾摧毁的。,サブシティはここに移動してから天災で壊されたのです。,アーミヤ,True
character,,,,,,,,,,,,,,,char_136_hsguma,,char_002_amiya_1,1,,,,,,,,,,,24,,,,False
name,哈。看来，罗德岛还有些很不错的天灾信使嘛。,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,25,哈。看来，罗德岛还有些很不错的天灾信使嘛。,はは、ロドスにはなかなか優秀な天災メッセンジャーがいるようだ。,ホシグマ,True
name,谨慎是正确的选择。,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,26,谨慎是正确的选择。,慎重なのは正しい判断だ。,ホシグマ,True
name,一路上都有散漫的整合运动埋伏......,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,27,一路上都有散漫的整合运动埋伏......,道中ずっと気ままなレユニオンが待ち伏せている……,ホシグマ,True
name,简直像是食腐野兽一样盘踞在这废城之上。,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,28,简直像是食腐野兽一样盘踞在这废城之上。,まるで腐肉を漁る野獣のように、この廃墟に巣食っているな。,ホシグマ,True
name,真的令人有点不太舒服。,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,29,真的令人有点不太舒服。,本当に少し気分が悪くなる。,ホシグマ,True
character,,,,,,,,,,,,,,,char_136_hsguma,,char_002_amiya_1,2,,,,,,,,,,,30,,,,False
name,我确认了坐标，我们罗德岛还得继续深入——,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,31,我确认了坐标，我们罗德岛还得继续深入——,座標を確認しました。ロドスはさらに奥へ進まなければなりません——,アーミヤ,True
name,但这个地形，我认为，不适合整个部队一同行动。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,32,但这个地形，我认为，不适合整个部队一同行动。,でもこの地形だと、部隊全体での行動は適していないと思います。,アーミヤ,True
character,,,,,,,,,,,,,,,char_136_hsguma,,char_002_amiya_1,1,,,,,,,,,,,33,,,,False
name,接下来就是源石多生地带了吧？,,,,,,,,,,,,,,星熊,,,,,,,,,,,,,,34,接下来就是源石多生地带了吧？,次はオリジニウムの多いエリアだろう？,ホシグマ,True
blocker,,,,,,,,,0.2,,,,,,,true,,,1,0,0,0,,,,,,,35,,,,False
character,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,36,,,,False
background,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,37,,,,False
blocker,,,,,,,,,0.2,,,,,,,true,,,0,,,,,,,,,,38,,,,False
name,————,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,,39,————,————,タルラ,True
name,（竟然是你。）,,,,,,,,,,,,,,塔露拉,,,,,,,,,,,,,,40,（竟然是你。）,（まさかあなたとは。）,タルラ,True
blocker,,,,,,,,,0.2,,,,,,,true,,,1,0,0,0,,,,,,,41,,,,False
character,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,42,,,,False
background,,,,,coverall,bg_cher_2,1,1,0,,,,,,,,,,,,,,,,,,,,43,,,,False
blocker,,,,,,,,,0.2,,,,,,,true,,,0,,,,,,,,,,44,,,,False
character,,,,,,,,,,,,,,,char_010_chen_1#3,,char_136_hsguma,2,,,,,,,,,,,45,,,,False
