command,text_orig,key,is_skippable,fit_mode,screenadapt,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,name2,focus,a,r,g,b,block,index,text,jp_text,jp_name,text_match
header,第三十二关（前）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,0,,,,False
background,,,,,coverall,bg_cher_2,1,1,1,,,,,,,,,,,,,,1,,,,False
playmusic,,$cherimp_loop,,,,,,,,$cherimp_intro,0.8,1,0.5,,,,,,,,,,2,,,,False
delay,,,,,,,,,,,,,,1,,,,,,,,,3,,,,False
character,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,4,,,,False
name,击溃整合运动了！,,,,,,,,,,,,,,阿米娅,,,,,,,,5,击溃整合运动了！,レユニオンを撃退しました！,アーミヤ,True
character,,,,,,,,,,,,,,,char_136_hsguma,char_002_amiya_1,1,,,,,,6,,,,False
name,咳，作为路障来说，这家伙也未免太凶残了些！！,,,,,,,,,,,,,,星熊,,,,,,,,7,咳，作为路障来说，这家伙也未免太凶残了些！！,げほっ、バリケードとしてはこいつ、ちょっと凶悪すぎるぞ！！,ホシグマ,True
name,......,,,,,,,,,,,,,,星熊,,,,,,,,8,......,……,ホシグマ,True
name,老陈已经跑得没影了。,,,,,,,,,,,,,,星熊,,,,,,,,9,老陈已经跑得没影了。,チェンはもう、どこにも見当たらなくなったな。,ホシグマ,True
character,,,,,,,,,,,,,,,char_136_hsguma,char_002_amiya_1#4,2,,,,,,10,,,,False
name,这下糟了......,,,,,,,,,,,,,,阿米娅,,,,,,,,11,这下糟了......,これはまずいですね……,アーミヤ,True
character,,,,,,,,,,,,,,,char_136_hsguma,char_002_amiya_1#4,1,,,,,,12,,,,False
name,通讯也不接！啧，这衰样，真是没变过！,,,,,,,,,,,,,,星熊,,,,,,,,13,通讯也不接！啧，这衰样，真是没变过！,連絡も出ない！ったく、あのダメなところ、昔から変わってないな！,ホシグマ,True
character,,,,,,,,,,,,,,,char_136_hsguma,,,,,,,,14,,,,False
name,近卫局！全员，准备跟我一起进入——,,,,,,,,,,,,,,星熊,,,,,,,,15,近卫局！全员，准备跟我一起进入——,近衛局！全員、私と一緒に突入の準備をしろ——,ホシグマ,True
character,,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,16,,,,False
name,不，星熊督察。,,,,,,,,,,,,,,阿米娅,,,,,,,,17,不，星熊督察。,いえ、ホシグマ督察。,アーミヤ,True
name,交给我们吧。,,,,,,,,,,,,,,阿米娅,,,,,,,,18,交给我们吧。,ここは私たちに任せてください。,アーミヤ,True
character,,,,,,,,,,,,,,,char_136_hsguma,char_002_amiya_1,2,,,,,,19,,,,False
name,接下来，就是天灾留下的源石丛多生地段......,,,,,,,,,,,,,,阿米娅,,,,,,,,20,接下来，就是天灾留下的源石丛多生地段......,次は、天災で残されたオリジニウムが密集するエリアです……,アーミヤ,True
name,身为健康人的各位继续深入下去，可能会染上矿石病。,,,,,,,,,,,,,,阿米娅,,,,,,,,21,身为健康人的各位继续深入下去，可能会染上矿石病。,健康な皆さんがこれ以上進むと、鉱石病に感染するかもしれません。,アーミヤ,True
name,这是非常严重的后果。,,,,,,,,,,,,,,阿米娅,,,,,,,,22,这是非常严重的后果。,それは非常に深刻な結果になります。,アーミヤ,True
name,而且，作为感染者的我们——,,,,,,,,,,,,,,阿米娅,,,,,,,,23,而且，作为感染者的我们——,そして、感染者である私たちは――,アーミヤ,True
character,,,,,,,,,,,,,,,char_136_hsguma,char_002_amiya_1,1,,,,,,24,,,,False
name,哈。你用那小小的身子努力讲着官话的样子，真是有点可爱。,,,,,,,,,,,,,,星熊,,,,,,,,25,哈。你用那小小的身子努力讲着官话的样子，真是有点可爱。,はは。小さな体で必死に公用語を話そうとしている姿、ちょっと可愛いな。,ホシグマ,True
character,,,,,,,,,,,,,,,char_136_hsguma,char_002_amiya_1,2,,,,,,26,,,,False
name,......,,,,,,,,,,,,,,阿米娅,,,,,,,,27,......,……,アーミヤ,True
character,,,,,,,,,,,,,,,char_136_hsguma,char_002_amiya_1#6,2,,,,,,28,,,,False
name,唉，唉？！,,,,,,,,,,,,,,阿米娅,,,,,,,,29,唉，唉？！,えっ、えっ？！,アーミヤ,True
character,,,,,,,,,,,,,,,char_136_hsguma,char_002_amiya_1#6,1,,,,,,30,,,,False
name,哈哈哈，别在意。,,,,,,,,,,,,,,星熊,,,,,,,,31,哈哈哈，别在意。,ははは、気にするな。,ホシグマ,True
name,不过你确实不用花力气劝我，你的意思，我都明白。,,,,,,,,,,,,,,星熊,,,,,,,,32,不过你确实不用花力气劝我，你的意思，我都明白。,でも、お前が無理に説得しようとしなくても、言いたいことは分かったよ。,ホシグマ,True
character,,,,,,,,,,,,,,,char_136_hsguma,,,,,,,,33,,,,False
name,近卫局！我们当好罗德岛的盾！,,,,,,,,,,,,,,星熊,,,,,,,,34,近卫局！我们当好罗德岛的盾！,近衛局！ロドスの盾となるぞ！,ホシグマ,True
name,守住入口，不要让一个整合运动进去，也不要放一个整合运动出来！,,,,,,,,,,,,,,星熊,,,,,,,,35,守住入口，不要让一个整合运动进去，也不要放一个整合运动出来！,入口を死守しろ！レユニオンを一人も入れず、一人も逃がすな！,ホシグマ,True
name,就让感染者问题的专家去处理感染者的问题！,,,,,,,,,,,,,,星熊,,,,,,,,36,就让感染者问题的专家去处理感染者的问题！,感染者の問題は、その専門家に任せるんだ！,ホシグマ,True
character,,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,37,,,,False
name,星熊督察......,,,,,,,,,,,,,,阿米娅,,,,,,,,38,星熊督察......,ホシグマ督察……,アーミヤ,True
character,,,,,,,,,,,,,,,char_136_hsguma,char_002_amiya_1,1,,,,,,39,,,,False
name,还有，叫我星熊就行。,,,,,,,,,,,,,,星熊,,,,,,,,40,还有，叫我星熊就行。,それと、ホシグマって呼びな。,ホシグマ,True
