command,text_orig,key,is_skippable,fit_mode,screenadapt,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,widgetID,style,fadestyle,offsetx,block,focus,options,values,references,a,r,g,b,option_number,index,text,jp_text,jp_name,text_match
header,第三十二关（前）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,False
background,,,,,coverall,bg_cher_2,1,1,1,,,,,,,,,,,,,,,,,,,,0,1,,,,False
playmusic,,$cherimp_loop,,,,,,,,$cherimp_intro,0.8,1,0.5,,,,,,,,,,,,,,,,0,2,,,,False
delay,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0,3,,,,False
character,,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,,,0,4,,,,False
name,这里......倒下的都是些整合运动。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,0,5,这里......倒下的都是些整合运动。,ここ……倒れているのはみんなレユニオンの人たちです。,アーミヤ,True
name,......这个，伤口流出的血液冻成了冰渣，其他部分却很完好。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,0,6,......这个，伤口流出的血液冻成了冰渣，其他部分却很完好。,……これは、傷口から流れた血が氷の粒になっていて、他の部分はとてもきれいなままです。,アーミヤ,True
name,确实是霜叶的技巧。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,0,7,确实是霜叶的技巧。,間違いなくフロストリーフの技です。,アーミヤ,True
name,——那边的废墟，应该是爆炸导致的。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,0,8,——那边的废墟，应该是爆炸导致的。,――そっちの廃墟は、きっと爆発のせいですね。,アーミヤ,True
name,应该是陨星炸出来的没错。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,0,9,应该是陨星炸出来的没错。,多分エクシアが爆破したものです。,アーミヤ,True
character,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,0,10,,,,False
name,（霜叶......杰西卡......陨星......她们，一定还......）,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,0,11,（霜叶......杰西卡......陨星......她们，一定还......）,（フロストリーフ……ジェシカ……エクシア……みんな、きっとまだ……）,アーミヤ,True
character,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,0,12,,,,False
charactercutin,,,,,,,200,,0.5,,,,,,char_003_kalts_1,1,cutin,horiz_expand_center,0,true,,,,,,,,,0,13,,,,False
name,阿米娅，各救援小队都已抵达罗德岛、,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,0,14,阿米娅，各救援小队都已抵达罗德岛、,アーミヤ、各救助隊がすでにロドス島に到着した。,ケルシー,True
name,我们救出了除了陨星她们以外的所有侦查小队。,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,0,15,我们救出了除了陨星她们以外的所有侦查小队。,私たちはエクシアたち以外のすべての偵察隊を救助できた。,ケルシー,True
name,没有干员在任务中牺牲。但相应的——,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,0,16,没有干员在任务中牺牲。但相应的——,任務中に殉職したオペレーターはいない。ただし――,ケルシー,True
name,所有人都有不同程度的冻伤。,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,0,17,所有人都有不同程度的冻伤。,全員が程度の差はあれ凍傷を負っている。,ケルシー,True
name,你要重视这点。,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,0,18,你要重视这点。,この点を重視しなさい。,ケルシー,True
charactercutin,,,,,,,,,0.5,,,,,,,1,,,,true,,,,,,,,,0,19,,,,False
character,,,,,,,,,,,,,,,char_002_amiya_1#6,,,,,,,,,,,,,,0,20,,,,False
name,......冻伤？,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,0,21,......冻伤？,……凍傷？,アーミヤ,True
character,,,,,,,,,,,,,,,char_002_amiya_1#6,,,,,,-1,,,,,,,,0,22,,,,False
name,所有侦查小队都指出，分城中徘徊着一些特殊的整合运动成员。,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,0,23,所有侦查小队都指出，分城中徘徊着一些特殊的整合运动成员。,すべての偵察隊が指摘している、サブシティには特殊なレユニオンのメンバーがうろついていると。,ケルシー,True
name,他们有着特殊的作战方式，完全不像一般的整合运动成员那样盲目。,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,0,24,他们有着特殊的作战方式，完全不像一般的整合运动成员那样盲目。,彼らは独特な戦い方をし、普通のレユニオンのように無謀ではない。,ケルシー,True
name,多加小心。,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,0,25,多加小心。,十分に注意して。,ケルシー,True
