command,text_orig,key,is_skippable,fit_mode,screenadapt,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,name2,focus,block,index,text,jp_text,jp_name,text_match
header,第三十二关（前）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,0,,,,False
background,,,,,coverall,bg_cher_2,1,1,1,,,,,,,,,,1,,,,False
playmusic,,$cherimp_loop,,,,,,,,$cherimp_intro,0.8,1,0.5,,,,,,2,,,,False
delay,,,,,,,,,,,,,,1,,,,,3,,,,False
character,,,,,,,,,,,,,,,char_002_amiya_1,,,,4,,,,False
name,为了攀爬个观测点，都要解决那么多整合运动......,,,,,,,,,,,,,,阿米娅,,,,5,为了攀爬个观测点，都要解决那么多整合运动......,観測ポイントに登るだけなのに、こんなに多くのレユニオンを片付けなきゃいけないなんて……,アーミヤ,True
name,咦......,,,,,,,,,,,,,,阿米娅,,,,6,咦......,えっ……,アーミヤ,True
name,那个......是陈长官吗？,,,,,,,,,,,,,,阿米娅,,,,7,那个......是陈长官吗？,あれ……チェン長官ですか？,アーミヤ,True
name,陈长官！,,,,,,,,,,,,,,阿米娅,,,,8,陈长官！,チェン長官！,アーミヤ,True
character,,,,,,,,,,,,,,,char_002_amiya_1#6,,,,9,,,,False
name,——,,,,,,,,,,,,,,阿米娅,,,,10,——,——,アーミヤ,True
name,（怎么会有这么多尸体......）,,,,,,,,,,,,,,阿米娅,,,,11,（怎么会有这么多尸体......）,（なんでこんなに死体が……）,アーミヤ,True
name,（这么多整合运动......全都是陈长官一个人打倒的吗？！）,,,,,,,,,,,,,,阿米娅,,,,12,（这么多整合运动......全都是陈长官一个人打倒的吗？！）,（こんなにたくさんのレユニオン……全部チェン長官が一人で倒したの！？）,アーミヤ,True
character,,,,,,,,,,,,,,,char_010_chen_1#5,,,,13,,,,False
name,——！,,,,,,,,,,,,,,陈,,,,14,——！,——！,チェン,True
character,,,,,,,,,,,,,,,char_010_chen_1#3,,,,15,,,,False
name,是你们......,,,,,,,,,,,,,,陈,,,,16,是你们......,君たちか……,チェン,True
character,,,,,,,,,,,,,,,char_010_chen_1#6,,,,17,,,,False
name,我冲动了。抱歉。,,,,,,,,,,,,,,陈,,,,18,我冲动了。抱歉。,私が感情的になってしまった。すまない。,チェン,True
name,我可能中了敌人的陷阱......,,,,,,,,,,,,,,陈,,,,19,我可能中了敌人的陷阱......,敵の罠にはまったかもしれない……,チェン,True
character,,,,,,,,,,,,,,,char_002_amiya_1,char_010_chen_1,1,,20,,,,False
name,不......没事，没有偏离计划太多，只是————,,,,,,,,,,,,,,阿米娅,,,,21,不......没事，没有偏离计划太多，只是————,いいえ……大丈夫です、計画から大きく外れていません、ただ――,アーミヤ,True
name,之前，出现的是......塔露拉？,,,,,,,,,,,,,,阿米娅,,,,22,之前，出现的是......塔露拉？,さっき現れたのは……タルラ？,アーミヤ,True
character,,,,,,,,,,,,,,,char_002_amiya_1,char_010_chen_1,2,,23,,,,False
name,......,,,,,,,,,,,,,,陈,,,,24,......,……,チェン,True
name,......不。无所谓了。应该是我的错觉，这里无论如何也不像有那个人在的状况。,,,,,,,,,,,,,,陈,,,,25,......不。无所谓了。应该是我的错觉，这里无论如何也不像有那个人在的状况。,……いや。気にしなくていい。きっと私の勘違いだ。ここはどう見てもあの人がいる状況じゃない。,チェン,True
name,还是，要以任务优先。,,,,,,,,,,,,,,陈,,,,26,还是，要以任务优先。,やはり、任務を優先しよう。,チェン,True
character,,,,,,,,,,,,,,,char_002_amiya_1,char_010_chen_1,2,,27,,,,False
name,......如果不是我来带队，近卫局将很难开展搜查任务。,,,,,,,,,,,,,,陈,,,,28,......如果不是我来带队，近卫局将很难开展搜查任务。,……私が隊を率いていなければ、近衛局は捜索任務を進めるのが難しかっただろう。,チェン,True
name,尤其是现在的情况......,,,,,,,,,,,,,,陈,,,,29,尤其是现在的情况......,特に今の状況では……,チェン,True
character,,,,,,,,,,,,,,,char_002_amiya_1,char_010_chen_1#5,2,,30,,,,False
name,比我预想更复杂。,,,,,,,,,,,,,,陈,,,,31,比我预想更复杂。,私が予想していたよりも複雑だ。,チェン,True
name,依照现状，独自深入的代价太大了。,,,,,,,,,,,,,,陈,,,,32,依照现状，独自深入的代价太大了。,現状を考えると、単独で深く入り込むのはリスクが大きすぎる。,チェン,True
character,,,,,,,,,,,,,,,char_002_amiya_1,char_010_chen_1#5,1,,33,,,,False
name,陈长官，罗德岛也希望你能够暂时返回近卫局队伍。,,,,,,,,,,,,,,阿米娅,,,,34,陈长官，罗德岛也希望你能够暂时返回近卫局队伍。,チェン長官、ロドスもあなたに一時的に近衛局の隊に戻ってほしいと思っています。,アーミヤ,True
name,这里毕竟是天灾残留的源石丛多生地段，对于健康人而言是很不利的。,,,,,,,,,,,,,,阿米娅,,,,35,这里毕竟是天灾残留的源石丛多生地段，对于健康人而言是很不利的。,ここはやはり天災の残留が多く、オリジニウムが多く生い茂る場所です。健康な人にとってとても不利です。,アーミヤ,True
name,事先准备的防护消耗品也不一定能维持很久......,,,,,,,,,,,,,,阿米娅,,,,36,事先准备的防护消耗品也不一定能维持很久......,事前に用意した防護用品も、長くは持たないかもしれませんし……,アーミヤ,True
character,,,,,,,,,,,,,,,char_002_amiya_1,char_010_chen_1,2,,37,,,,False
name,你们呢？,,,,,,,,,,,,,,陈,,,,38,你们呢？,君たちは？,チェン,True
character,,,,,,,,,,,,,,,char_002_amiya_1,char_010_chen_1,1,,39,,,,False
name,保护龙门，优先清理龙门的威胁，当然是我们的任务——,,,,,,,,,,,,,,阿米娅,,,,40,保护龙门，优先清理龙门的威胁，当然是我们的任务——,龍門を守り、龍門の脅威を優先して排除するのは、もちろん私たちの任務です――,アーミヤ,True
character,,,,,,,,,,,,,,,char_002_amiya_1#7,char_010_chen_1,1,,41,,,,False
