command,text,name,focus,image,name2,jp_text,jp_name
header,第三十二关（前）,,,,,,
playmusic,,,,,,,
delay,,,,,,,
character,,char_002_amiya_1,,,,,
name,嗯？,阿米娅,,,,ん？,アーミヤ
name,这里是......,阿米娅,,,,ここは……,アーミヤ
name,我们已经很接近霜叶给出的坐标了，但......,阿米娅,,,,私たちはもう霜葉が示した座標にかなり近付いている、でも……,アーミヤ
name,这股味道有些恶心。,阿米娅,,,,この匂い、ちょっと気持ち悪い……,アーミヤ
name,难道是焦臭味......？,阿米娅,,,,もしかして焦げ臭い匂い……？,アーミヤ
name,整合运动把我们引到了什么地方？,阿米娅,,,,レユニオンは私たちをどこに連れてきたの？,アーミヤ
blocker,,,,,,,
dialog,,,,,,,
delay,,,,,,,
blocker,,,,,,,
blocker,,,,,,,
character,,char_002_amiya_1#7,,,,,
name,啧！小心偷袭！,阿米娅,,,,くっ！不意打ちに気を付けて！,アーミヤ
playsound,,,,,,,
camerashake,,,,,,,
name,可恶！,阿米娅,,,,くっそ！,アーミヤ
dialog,,,,,,,
blocker,,,,,,,
character,,,,,,,
background,,,,bg_cher_2,,,
blocker,,,,,,,
character,,char_1011_wizard_1#2,1,,char_1002_nsabr_2,,
name,没，没打中吗！,整合运动术师,,,,あれ、当たってないのか！,レユニオン術師
character,,char_1011_wizard_1#2,2,,char_1002_nsabr_2,,
name,没关系，我们这里是安全的！,整合运动成员,,,,大丈夫、ここは安全だ！,レユニオンメンバー
dialog,,,,,,,
character,,char_1011_wizard_1#2,0,,char_1002_nsabr_2,,
blocker,,,,,,,
blocker,,,,,,,
blocker,,,,,,,
character,,char_1011_wizard_1,,,,,
name,呃......,整合运动术师,,,,うっ……,レユニオン術師
character,,char_1002_nsabr_2,,,,,
name,你，你怎么了？,整合运动成员,,,,ど、どうした？,レユニオンメンバー
character,,char_1011_wizard_1,,,,,
name,咕，咕......啊......,整合运动术师,,,,ぐ、ぐ……あ……,レユニオン術師
character,,char_193_frostl_1#2,,,,,
name,他没机会回答你了。,？？？,,,,もう彼は君に答えることはできない。,？？？
character,,char_1002_nsabr_2,,,,,
name,什，什么！,整合运动成员,,,,な、なにっ！,レユニオンメンバー
dialog,,,,,,,
blocker,,,,,,,
character,,,,,,,
blocker,,,,,,,
character,,char_002_amiya_1#7,,,,,
name,是在那座建筑里吗！,阿米娅,,,,あの建物の中なの！？,アーミヤ
name,等等......那个难道是——,阿米娅,,,,まって……あれはまさか——,アーミヤ
character,,char_002_amiya_1#6,,,,,
name,霜叶！霜叶，是你吗？,阿米娅,,,,フロストリーフ！フロストリーフ、君なの？,アーミヤ
dialog,,,,,,,
character,,char_193_frostl_1,,,,,
delay,,,,,,,
name,是我。敌人我解决掉了。,霜叶,,,,私だ。敵は片付けた。,フロストリーフ
name,抱歉让你担心了，阿米娅。,霜叶,,,,心配かけてごめんね、アーミヤ。,フロストリーフ
name,唔......,霜叶,,,,うぅ……,フロストリーフ
character,,char_002_amiya_1,1,,char_193_frostl_1,,
name,你受伤了？,阿米娅,,,,怪我したの？,アーミヤ
name,医生，快来！,阿米娅,,,,ドクター、早く来て！,アーミヤ
name,......怎么会？你身上的，也是冻伤？你们......,阿米娅,,,,……どうして？君のその傷も、凍傷なの？あなたたち……,アーミヤ
character,,char_002_amiya_1,2,,char_193_frostl_1,,
name,没关系，是小伤。,霜叶,,,,大丈夫、軽い怪我だ。,フロストリーフ
name,陨星和杰西卡还在广场那......,霜叶,,,,エクシアとジェシカはまだ広場の方に……,フロストリーフ
name,暂时还不要紧，但继续拖下去就很难说了。,霜叶,,,,今はまだ大丈夫だけど、これ以上時間をかけると危ない。,フロストリーフ
name,我把敌人引了出来，整合运动还没发现她们。,霜叶,,,,私が敵をおびき出した。レユニオンはまだ彼女たちに気付いていない。,フロストリーフ
character,,char_002_amiya_1,1,,char_193_frostl_1,,
name,敌人？,阿米娅,,,,敵？,アーミヤ
character,,char_002_amiya_1,2,,char_193_frostl_1,,
name,我们现在的位置还比较隐蔽，不用太担心。,霜叶,,,,今の場所はまだ隠れてるから、あまり心配いらない。,フロストリーフ
name,但他们马上就要来了......,霜叶,,,,でも、奴らはもうすぐ来る……,フロストリーフ
dialog,,,,,,,
character,,,,,,,
delay,,,,,,,
character,,char_1507_Mephisto_1,,,,,
delay,,,,,,,
name,小狐狸，你躲到那里去了？,梅菲斯特,,,,小さな狐ちゃん、どこに隠れたの？,メフィスト
name,快出来吧，捉迷藏要结束了哦。,梅菲斯特,,,,早く出ておいで、かくれんぼはもう終わりだよ。,メフィスト
name,你每多藏一分钟，我就会折断你同伴一根手指——,梅菲斯特,,,,君が一分長く隠れているごとに、君の仲間の指を一本ずつ折っていくよ——,メフィスト
name,就算这样，你也还是要逃跑吗？,梅菲斯特,,,,それでも逃げ続けるつもり？,メフィスト
character,,char_002_amiya_1#7,1,,char_193_frostl_1,,
name,（梅菲斯特——！）,阿米娅,,,,（メフィスト——！）,アーミヤ
character,,char_002_amiya_1#7,2,,char_193_frostl_1,,
name,（他在虚张声势。别激动。）,霜叶,,,,（ハッタリだ。興奮するな。）,フロストリーフ
character,,char_002_amiya_1#7,1,,char_193_frostl_1,,
name,（他在做什么......）,阿米娅,,,,（彼は何をしているの……）,アーミヤ
dialog,,,,,,,
blocker,,,,,,,
character,,,,,,,
blocker,,,,,,,
character,,char_002_amiya_1,2,,char_193_frostl_1,,
name,整合运动转移了。,霜叶,,,,レユニオンが移動した。,フロストリーフ
character,,char_002_amiya_1,1,,char_193_frostl_1,,
name,那个家伙......！,阿米娅,,,,あいつ……！,アーミヤ
name,我们需要先联系陨星她们——,阿米娅,,,,まずはエクシアたちに連絡しなきゃ——,アーミヤ
name,......嗯？,阿米娅,,,,……ん？,アーミヤ
name,我们明明已经跨过了污染地带，为什么通讯依然接不通？,阿米娅,,,,もう汚染区域は抜けたのに、どうして通信が繋がらないの？,アーミヤ
character,,char_002_amiya_1,2,,char_193_frostl_1,,
name,哈......,霜叶,,,,はぁ……,フロストリーフ
name,看看这个。,霜叶,,,,これを見て。,フロストリーフ
character,,char_002_amiya_1,1,,char_193_frostl_1,,
name,这是你的通讯器？,阿米娅,,,,これはあなたの通信機？,アーミヤ
character,,char_002_amiya_1#6,1,,char_193_frostl_1,,
name,——！,阿米娅,,,,——！,アーミヤ
name,怎么会结冰了？难道是被......冻坏了？,阿米娅,,,,どうして凍ってるの？まさか……壊れた？,アーミヤ
character,,char_002_amiya_1#6,2,,char_193_frostl_1,,
name,梅菲斯特只是个添头而已。,霜叶,,,,メフィストなんて添え物にすぎない。,フロストリーフ
name,这座废城里......,霜叶,,,,この廃墟の中には……,フロストリーフ
name,徘徊着更可怕的东西。,霜叶,,,,もっと恐ろしいものがうろついている。,フロストリーフ
character,,char_002_amiya_1,1,,char_193_frostl_1,,
name,可怕的东西？,阿米娅,,,,恐ろしいもの？,アーミヤ
character,,char_002_amiya_1,2,,char_193_frostl_1,,
name,雪怪们。撞上他们，事情就难办了。,霜叶,,,,イエティたちだ。あいつらに出くわしたら、厄介だぞ。,フロストリーフ
character,,char_002_amiya_1,1,,char_193_frostl_1,,
name,雪怪，是说那个雪怪小队吗？他们究竟是......？,阿米娅,,,,イエティ、つまりあのイエティ小隊のこと？彼らは一体……？,アーミヤ
character,,char_002_amiya_1,2,,char_193_frostl_1,,
name,这点时间，很难讲的清。,霜叶,,,,この短い時間じゃ、説明は難しい。,フロストリーフ
name,但整个区域的低温，以及各个小队的遭遇......都是这些家伙的杰作。,霜叶,,,,でも、このエリアの低温も、各小隊の被害も……全部あいつらの仕業だ。,フロストリーフ
name,整合运动的这支队伍，似乎在废城中划下了自己的地盘呢。,霜叶,,,,レユニオンのこの部隊は、この廃墟で自分たちの縄張りを作ったみたいだな。,フロストリーフ
character,,char_002_amiya_1,1,,char_193_frostl_1,,
name,天色暗下来了，这是个好机会......,阿米娅,,,,暗くなってきた、今がチャンスだ……,アーミヤ
name,我们可以更加隐蔽的通过这片开阔地带。,阿米娅,,,,もっと隠れてこの開けた場所を抜けられる。,アーミヤ
name,走吧，先去救出陨星她们。,阿米娅,,,,行こう、まずはエクシアたちを助けに。,アーミヤ
character,,char_193_frostl_1,,,,,
name,我来带路。,霜叶,,,,私が案内する。,フロストリーフ
dialog,,,,,,,
blocker,,,,,,,
character,,,,,,,
blocker,,,,,,,
character,,char_002_amiya_1,1,,char_193_frostl_1,,
name,......,阿米娅,,,,……,アーミヤ
name,广场上这些......看不太清。,阿米娅,,,,広場にあるもの……よく見えない。,アーミヤ
name,是什么......雕塑吗？好奇怪的样子......,阿米娅,,,,何だろう……彫刻？なんだか妙な形……,アーミヤ
name,这股味道也令人作呕......,阿米娅,,,,この匂いも吐き気がする……,アーミヤ
character,,char_002_amiya_1,2,,char_193_frostl_1,,
name,......,霜叶,,,,……,
name,这边，别走散了。,霜叶,,,,こっちだ、はぐれるなよ。,フロストリーフ
name,那些东西......别去看。,霜叶,,,,あれは……見ない方がいい。,フロストリーフ
name,——有敌人。,霜叶,,,,——敵がいる。,フロストリーフ
name,悄无声息的干掉吧。,霜叶,,,,静かに片付けるぞ。,フロストリーフ
delay,,,,,,,
dialog,,,,,,,
blocker,,,,,,,
image,,,,,,,
