command,text_orig,key,is_skippable,fit_mode,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,a,r,g,b,block,name2,focus,afrom,rfrom,gfrom,bfrom,index,text,jp_text,jp_name,text_match
header,第三十二关（前）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,0,,,,False
background,,,,,bg_cher_2,1,1,1,,,,,,,,,,,,,,,,,,1,,,,False
playmusic,,$cherimp_loop,,,,,,,$cherimp_intro,0.8,1,0.5,,,,,,,,,,,,,,2,,,,False
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,3,,,,False
character,,,,,,,,,,,,,,char_219_meteo_1#2,,,,,,,,,,,,4,,,,False
name,——！,,,,,,,,,,,,,陨星,,,,,,,,,,,,5,——！,——！,エクシア,True
blocker,,,,,,,,0.2,,,,,,,1,0,0,0,true,,,,,,,6,,,,False
character,,,,,,,,,,,,,,char_193_frostl_1,,,,,,,,,,,,7,,,,False
blocker,,,,,,,,0.2,,,,,,,0,,,,true,,,,,,,8,,,,False
name,我知道你在掩体后面，别开火。,,,,,,,,,,,,,霜叶,,,,,,,,,,,,9,我知道你在掩体后面，别开火。,あなたが遮蔽物の後ろにいるのはわかってる、撃たないで。,フロストリーフ,True
name,看看我带了谁来。,,,,,,,,,,,,,霜叶,,,,,,,,,,,,10,看看我带了谁来。,私が誰を連れてきたか見てみて。,フロストリーフ,True
character,,,,,,,,,,,,,,char_002_amiya_1#2,,,,,,,,,,,,11,,,,False
name,陨星，是我们！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,12,陨星，是我们！,エクシア、私たちだよ！,アーミヤ,True
character,,,,,,,,,,,,,,char_219_meteo_1#4,,,,,,,,,,,,13,,,,False
name,谁？难道是......阿米娅吗！,,,,,,,,,,,,,陨星,,,,,,,,,,,,14,谁？难道是......阿米娅吗！,誰？まさか……アーミヤなの！？,エクシア,True
character,,,,,,,,,,,,,,char_219_meteo_1#5,,,,,,,,,,,,15,,,,False
name,阿米娅！你......你居然来了！,,,,,,,,,,,,,陨星,,,,,,,,,,,,16,阿米娅！你......你居然来了！,アーミヤ！君が……君が本当に来てくれたんだ！,エクシア,True
name,见到你，真是，真是太好了......,,,,,,,,,,,,,陨星,,,,,,,,,,,,17,见到你，真是，真是太好了......,君に会えて、本当に、本当に嬉しいよ……,エクシア,True
blocker,,,,,,,,0.2,,,,,,,1,0,0,0,true,,,,,,,18,,,,False
character,,,,,,,,0,,,,,,,,,,,,,,,,,,19,,,,False
blocker,,,,,,,,0.2,,,,,,,0,,,,true,,,,,,,20,,,,False
character,,,,,,,,,,,,,,char_002_amiya_1,,,,,,char_219_meteo_1,2,,,,,21,,,,False
name,——,,,,,,,,,,,,,陨星,,,,,,,,,,,,22,——,——,エクシア,True
name,——你不该来。这是个巨大的陷阱。,,,,,,,,,,,,,陨星,,,,,,,,,,,,23,——你不该来。这是个巨大的陷阱。,——君は来るべきじゃなかった。ここは大きな罠なんだ。,エクシア,True
name,让你来营救我们，代价太大了。,,,,,,,,,,,,,陨星,,,,,,,,,,,,24,让你来营救我们，代价太大了。,君に私たちを救いに来させるのは、代償が大きすぎる。,エクシア,True
character,,,,,,,,,,,,,,char_002_amiya_1,,,,,,char_219_meteo_1#3,2,,,,,25,,,,False
name,这是个错误的决定......！,,,,,,,,,,,,,陨星,,,,,,,,,,,,26,这是个错误的决定......！,これは間違った決断だった……！,エクシア,True
character,,,,,,,,,,,,,,char_193_frostl_1,,,,,,,,,,,,27,,,,False
name,现在责怪她也没有用。,,,,,,,,,,,,,霜叶,,,,,,,,,,,,28,现在责怪她也没有用。,今さら彼女を責めても意味がないよ。,フロストリーフ,True
name,更何况，谁都看得出来你们根本没有机会逃出来......阿米娅是不会放弃你们的。,,,,,,,,,,,,,霜叶,,,,,,,,,,,,29,更何况，谁都看得出来你们根本没有机会逃出来......阿米娅是不会放弃你们的。,それに、誰が見ても君たちが逃げ出せる見込みがなかったのは明らかだ……アーミヤは君たちを見捨てたりしないよ。,フロストリーフ,True
character,,,,,,,,,,,,,,char_002_amiya_1,,,,,,char_219_meteo_1#5,2,,,,,30,,,,False
name,我没在责怪她！只是......,,,,,,,,,,,,,陨星,,,,,,,,,,,,31,我没在责怪她！只是......,私は彼女を責めてない！ただ……,エクシア,True
name,啧。对不起，阿米娅。,,,,,,,,,,,,,陨星,,,,,,,,,,,,32,啧。对不起，阿米娅。,くっ。ごめん、アーミヤ。,エクシア,True
character,,,,,,,,,,,,,,char_002_amiya_1#2,,,,,,char_219_meteo_1#5,1,,,,,33,,,,False
