command,text_orig,key,is_skippable,fit_mode,screenadapt,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,name2,focus,a,r,g,b,block,xScale,yScale,xScaleTo,yScaleTo,duration,options,values,references,initr,y,yto,option_number,index,text,jp_text,jp_name,text_match
header,第三十二关（前）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,False
background,,,,,coverall,bg_cher_2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,False
playmusic,,$cherimp_loop,,,,,,,,$cherimp_intro,0.8,1,0.5,,,,,,,,,,,,,,,,,,,,,0,2,,,,False
delay,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0,3,,,,False
character,,,,,,,,,,,,,,,char_002_amiya_1,char_219_meteo_1,1,,,,,,,,,,,,,,,,,0,4,,,,False
name,陨星......,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,0,5,陨星......,メテオライト……,アーミヤ,True
name,杰西卡究竟看到了什么......？你们也在一起吗？,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,0,6,杰西卡究竟看到了什么......？你们也在一起吗？,ジェシカはいったい何を見たの……？あなたたちも一緒にいたの？,アーミヤ,True
character,,,,,,,,,,,,,,,char_002_amiya_1,char_219_meteo_1,2,,,,,,,,,,,,,,,,,0,7,,,,False
name,......你最好还是不知道为妙。,,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,,,,,,0,8,......你最好还是不知道为妙。,……知らない方がいいわ。,メテオライト,True
name,不是什么战略上的问题......就先别关心了。,,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,,,,,,0,9,不是什么战略上的问题......就先别关心了。,戦略の問題じゃない……今は気にしないで。,メテオライト,True
character,,,,,,,,,,,,,,,char_002_amiya_1#6,char_219_meteo_1,1,,,,,,,,,,,,,,,,,0,10,,,,False
name,......？,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,0,11,......？,……？,アーミヤ,True
blocker,,,,,,,,,0.3,,,,,,,,,1,0,0,0,true,,,,,,,,,,,,0,12,,,,False
character,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,13,,,,False
background,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,14,,,,False
blocker,,,,,,,,,0.3,,,,,,,,,0,,,,true,,,,,,,,,,,,0,15,,,,False
character,,,,,,,,,,,,,,,char_1507_Mephisto_1#6,,,,,,,,,,,,,,,,,,,0,16,,,,False
name,还想藏到什么时候呢？罗德岛的小虫子们？,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,,,0,17,还想藏到什么时候呢？罗德岛的小虫子们？,いつまで隠れているつもりだ？ロドスのちっぽけな虫けら共？,？？？,True
blocker,,,,,,,,,0.6,,,,,,,,,1,0,0,0,true,,,,,,,,,,,,0,18,,,,False
character,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,19,,,,False
background,,,,,coverall,bg_cher_2,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,0,20,,,,False
blocker,,,,,,,,,0.6,,,,,,,,,0,,,,true,,,,,,,,,,,,0,21,,,,False
character,,,,,,,,,,,,,,,char_002_amiya_1#7,char_193_frostl_1,1,,,,,,,,,,,,,,,,,0,22,,,,False
name,（——！梅菲斯特！他发现我们的踪迹了吗？）,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,0,23,（——！梅菲斯特！他发现我们的踪迹了吗？）,（――！メフィスト！私たちの痕跡に気づいたの？）,アーミヤ,True
character,,,,,,,,,,,,,,,char_002_amiya_1#7,char_193_frostl_1,2,,,,,,,,,,,,,,,,,0,24,,,,False
name,（别出声。还没有，这是他惯用的伎俩。）,,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,,,,,,0,25,（别出声。还没有，这是他惯用的伎俩。）,（声を出すな。まだだ、あれはあいつの常套手段だ。）,フロストリーフ,True
blocker,,,,,,,,,0.6,,,,,,,,,1,0,0,0,true,,,,,,,,,,,,0,26,,,,False
character,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,27,,,,False
blocker,,,,,,,,,0.6,,,,,,,,,0,,,,true,,,,,,,,,,,,0,28,,,,False
character,,,,,,,,,,,,,,,char_1507_Mephisto_1,,,,,,,,,,,,,,,,,,,0,29,,,,False
name,啊，啊，不想出来吗？,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,0,30,啊，啊，不想出来吗？,ああ、ああ、出てきたくないのか？,メフィスト,True
