command,text_orig,key,is_skippable,fit_mode,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,name2,focus,a,initr,r,g,b,block,duration,xstrength,ystrength,vibrato,randomness,afrom,rfrom,gfrom,bfrom,screenadapt,fadeout,xScale,yScale,xScaleTo,yScaleTo,yScaleFrom,xScaleFrom,x,y,index,text,jp_text,jp_name,text_match
header,第三十二关（前）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,False
background,,,,,bg_cher_2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,False
playmusic,,$cherimp_loop,,,,,,,$cherimp_intro,0.8,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,False
delay,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,False
character,,,,,,,,,,,,,,char_219_meteo_1#3,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,False
name,霜叶，小心！别冲那么前！,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,霜叶，小心！别冲那么前！,霜葉、気をつけて！そんなに前に出ないで！,流れ星,True
character,,,,,,,,,,,,,,char_193_frostl_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,False
name,我知道自己在做什么——！,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,我知道自己在做什么——！,自分のやっていることはわかっている——！,霜葉,True
character,,,,,,,,,,,,,,char_1002_nsabr_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,False
name,唔，唔唔额！,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,唔，唔唔额！,う、ううっ！,レユニオン構成員,True
name,寒气切开了盾牌？！,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,寒气切开了盾牌？！,冷気が盾を切り裂いた？！,レユニオン構成員,True
name,什，什么？！,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,什，什么？！,な、なんだ？！,レユニオン構成員,True
character,,,,,,,,,,,,,,char_193_frostl_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,False
name,闪开！,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,闪开！,どいて！,霜葉,True
character,,,,,,,,,,,,,,char_002_amiya_1#7,char_219_meteo_1,2,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,False
name,阿米娅！霜叶打乱敌阵，冲向敌方指挥官了！,,,,,,,,,,,,,陨星,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,阿米娅！霜叶打乱敌阵，冲向敌方指挥官了！,アーミヤ！霜葉が敵陣を乱して、指揮官に突撃したよ！,流れ星,True
character,,,,,,,,,,,,,,char_002_amiya_1#7,char_219_meteo_1,1,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,False
name,狙击干员，术师干员，掩护霜叶！,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,狙击干员，术师干员，掩护霜叶！,スナイパーと術師のオペレーター、霜葉を援護して！,アーミヤ,True
blocker,,,,,,,,0.2,,,,,,,,,1,2,0,0,0,true,,,,,,,,,,,,,,,,,,,,18,,,,False
character,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,False
character,,,,,,,,,,,,,,char_1507_Mephisto_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,False
blocker,,,,,,,,0.2,,,,,,,,,0,,,,,true,,,,,,,,,,,,,,,,,,,,21,,,,False
name,哦哦......,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,哦哦......,おお……,メフィスト,True
name,你想做什么呢，小狐狸？,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,你想做什么呢，小狐狸？,君は何をしたいんだい、小さなキツネ？,メフィスト,True
character,,,,,,,,,,,,,,char_193_frostl_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,False
name,要你赎罪，要你痛哭流涕——,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,要你赎罪，要你痛哭流涕——,君に贖罪させて、涙を流させてやる——,霜葉,True
name,——要你的命。,,,,,,,,,,,,,霜叶,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,——要你的命。,——君の命も奪う。,霜葉,True
blocker,,,,,,,,0.2,,,,,,,,,1,2,0,0,0,true,,,,,,,,,,,,,,,,,,,,27,,,,False
