command,text_orig,key,is_skippable,fit_mode,time,name,fadetime,block,a,r,g,b,image,screenadapt,intro,volume,crossfade,delay,name2,focus,index,text,jp_text,jp_name,text_match
header,第一关（前）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,0,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,1,,,,False
character,,,,,,,,,,,,,,,,,,,,,2,,,,False
stopmusic,,,,,,,,,,,,,,,,,,,,,3,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,4,,,,False
name,以后我们就是朋友了。现在那些大人们，再也没办法欺负我们了！,,,,,？？？,,,,,,,,,,,,,,,5,以后我们就是朋友了。现在那些大人们，再也没办法欺负我们了！,これからは私たち友達だよ。もうあの大人たちは私たちをいじめることはできない！,？？？,True
name,别害怕，从今天开始无论发生什么，我都会帮你的。,,,,,？？？,,,,,,,,,,,,,,,6,别害怕，从今天开始无论发生什么，我都会帮你的。,怖がらないで。今日から何があっても、ずっとあなたを助けるよ。,？？？,True
dialog,,,,,,,,,,,,,,,,,,,,,7,,,,False
name,如果我遇到什么坏事情，你可也一定要帮我哦！这就是朋友！,,,,,？？？,,,,,,,,,,,,,,,8,如果我遇到什么坏事情，你可也一定要帮我哦！这就是朋友！,もし私が悪いことにあったときは、あなたも必ず助けてね！それが友達ってことだよ！,？？？,True
dialog,,,,,,,,,,,,,,,,,,,,,9,,,,False
name,嘿嘿，我们不会分开的，对吧！,,,,,？？？,,,,,,,,,,,,,,,10,嘿嘿，我们不会分开的，对吧！,うふふ、私たちは離れないよね！,？？？,True
dialog,,,,,,,2,,,,,,,,,,,,,,11,,,,False
delay,,,,,2,,,,,,,,,,,,,,,,12,,,,False
name,你还记得那个老公爵掳走她时你做了什么吗？,,,,,？？？,,,,,,,,,,,,,,,13,你还记得那个老公爵掳走她时你做了什么吗？,あの老公爵に彼女がさらわれたとき、あなたが何をしたか覚えている？,？？？,True
dialog,,,,,,,,,,,,,,,,,,,,,14,,,,False
name,你为了龙门能做到哪一步，是否真的什么都可以？,,,,,？？？,,,,,,,,,,,,,,,15,你为了龙门能做到哪一步，是否真的什么都可以？,あなたは龍門のためにどこまでできる？本当に何でもできるの？,？？？,True
name,现在，魏彦吾，你又要牺牲谁、牺牲什么？,,,,,？？？,,,,,,,,,,,,,,,16,现在，魏彦吾，你又要牺牲谁、牺牲什么？,今、魏彦吾、あなたはまた誰を、何を犠牲にするつもり？,？？？,True
dialog,,,,,,,1,,,,,,,,,,,,,,17,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,18,,,,False
name,唔......呃......,,,,,陈,,,,,,,,,,,,,,,19,唔......呃......,う……え……,チェン,True
character,,,,,,char_308_swire_1#4,,,,,,,,,,,,,,,20,,,,False
name,喂，醒醒！,,,,,？？？,,,,,,,,,,,,,,,21,喂，醒醒！,おい、起きて！,？？？,True
character,,,,,,,,,,,,,,,,,,,,,22,,,,False
name,救她......,,,,,陈,,,,,,,,,,,,,,,23,救她......,彼女を……助けて……,チェン,True
character,,,,,,char_308_swire_1#4,0.5,true,,,,,,,,,,,,,24,,,,False
delay,,,,,0.5,,,,,,,,,,,,,,,,25,,,,False
name,陈警司，醒醒！,,,,,？？？,,,,,,,,,,,,,,,26,陈警司，醒醒！,チェン警司、起きて！,？？？,True
character,,,,,,,,,,,,,,,,,,,,,27,,,,False
name,......让我过去！让我......,,,,,陈,,,,,,,,,,,,,,,28,......让我过去！让我......,……どいてくれ！私を……,チェン,True
character,,,,,,char_308_swire_1#4,,,,,,,,,,,,,,,29,,,,False
name,*龙门粗口*，我哪有时间和你这么耗下去！,,,,,？？？,,,,,,,,,,,,,,,30,*龙门粗口*，我哪有时间和你这么耗下去！,＊龍門の罵り言葉＊、お前とこんなことで時間を潰している暇はない！,？？？,True
character,,,,,,,,,,,,,,,,,,,,,31,,,,False
,哗啦——,,,,,,,,,,,,,,,,,,,,32,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,33,,,,False
character,,,,,,,,,,,,,,,,,,,,,34,,,,False
blocker,,,,,,,2,true,1,0,0,0,,,,,,,,,35,,,,False
delay,,,,,0.3,,,,,,,,,,,,,,,,36,,,,False
character,,,,,,,,,,,,,,,,,,,,,37,,,,False
