command,text_orig,key,is_skippable,fit_mode,name,intro,volume,crossfade,delay,image,fadetime,screenadapt,time,name2,focus,a,r,g,b,block,index,text,jp_text,jp_name,text_match
header,第一关（后）,title_test,true,BLACK_MASK,,,,,,,,,,,,,,,,,0,,,,False
name,07:55 A.M    天气/阴,,,,,,,,,,,,,,,,,,,,1,07:55 A.M    天气/阴,07:55 A.M    天気／曇り,,True
name,龙门接舷区，落蹄州，罗德岛七号舱室,,,,,,,,,,,,,,,,,,,,2,龙门接舷区，落蹄州，罗德岛七号舱室,龍門接舷区、落蹄州、ロドス第七船室,,True
playmusic,,$newhope01_loop,,,,$newhope01_intro,0.6,1.5,0.5,,,,,,,,,,,,3,,,,False
background,,,,,,,,,,bg_corridor,1,coverall,,,,,,,,,4,,,,False
delay,,,,,,,,,,,,,1,,,,,,,,5,,,,False
character,,,,,char_308_swire_1#5,,,,,,1,,,char_010_chen_1#1,1,,,,,,6,,,,False
delay,,,,,,,,,,,,,1,,,,,,,,7,,,,False
name,在本小姐和罗德岛的接应下，阻挠你们的整合运动溃散了，而你的小队相对保持了完整。哼哼，你总算可以回龙门了。,,,,诗怀雅,,,,,,,,,,,,,,,,8,在本小姐和罗德岛的接应下，阻挠你们的整合运动溃散了，而你的小队相对保持了完整。哼哼，你总算可以回龙门了。,このお嬢様とロドスの援護があったおかげで、統合運動を阻止して散り散りにしたけど、あなたの小隊はわりと無事だったわ。ふん、やっと龍門に帰れるのね。,スワイヤー,True
name,在你觉得事情告一段落了的时候，你正面吃了一发爆炸，昏了过去。,,,,诗怀雅,,,,,,,,,,,,,,,,9,在你觉得事情告一段落了的时候，你正面吃了一发爆炸，昏了过去。,事が一段落したと思ったら、正面から爆発を受けて気を失ったのよ。,スワイヤー,True
character,,,,,char_308_swire_1#5,,,,,,,,,char_010_chen_1#4,2,,,,,,10,,,,False
name,......真的？,,,,陈,,,,,,,,,,,,,,,,11,......真的？,……本当か？,チェン,True
character,,,,,char_308_swire_1#5,,,,,,,,,char_010_chen_1#4,1,,,,,,12,,,,False
name,你是想问“你因为被人偷袭昏了过去”是不是真的，还是想问“你被爆炸正面掀翻在地却仅仅只是昏了过去”是不是真的？,,,,诗怀雅,,,,,,,,,,,,,,,,13,你是想问“你因为被人偷袭昏了过去”是不是真的，还是想问“你被爆炸正面掀翻在地却仅仅只是昏了过去”是不是真的？,あなたが聞きたいのは『不意打ちで気絶した』のが本当か、それとも『爆発を正面から受けて倒れたのに、ただ気絶しただけ』が本当か、どっち？,スワイヤー,True
character,,,,,char_308_swire_1#5,,,,,,,,,char_010_chen_1#5,2,,,,,,14,,,,False
name,算了，别扯了。现在龙门的整体状况呢？,,,,陈,,,,,,,,,,,,,,,,15,算了，别扯了。现在龙门的整体状况呢？,もういい、余計なことはやめろ。今の龍門の全体状況は？,チェン,True
character,,,,,char_308_swire_1#5,,,,,,,,,char_010_chen_1#5,1,,,,,,16,,,,False
